	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
UNMAPPED	0.823974	0.892195	0.141363	0.0541484	0.222323	0.261508	0.0541484	0.860103	0.427536	0.164093	0.21917	0.332115	0.892195	0.913239	0.253972	0.332115	0.0541484	0.155095	0.338311	0.86213	0.231771	0.210286	0.105426	0.164093
UNGROUPED	0.7279643561060932	0.2013047314150922	0.0842870149499999	0.0842870149499999	0.2013047314150922	0.4421613364815936	0.0260825379	0.2143265064368998	0.07491969292	0.1702741978456207	0.356454230109511	0.5440470551333159	0.02873800144	0.7862128700568267	0.0237965272	0.02873800144	0.0221017578799999	0.2013047314150922	0.0256637178	0.1702741978456207	0.02873800144	0.7024737267479324	0.5194446768344163	0.6783373195572385
1.1.1.1	0.0003006653877	5.515252e-05	0.0003771228	1.38427427e-05	1.5426156e-05	0.0004576320778	8.0007801e-05	0.000132493361	1.5426156e-05	8.0007801e-05	0.0	5.06919e-05	5.06919e-05	2.39863791e-05	0.0	0.0	0.0003771228	5.06919e-05	0.0004576320778	1.5426156e-05	0.000132493361	1.5426156e-05	0.0	0.000132493361
1.1.1.100	0.0001636041274999	0.000319437456	0.0002033629637	0.0001636041274999	0.0	0.0	0.0	8.992221000000001e-05	8.284386700000001e-05	0.0003382396714	5.536413500000001e-05	0.0002033629637	0.000319437456	0.0001768872719	0.0	0.000319437456	0.0	0.0	4.930303e-06	0.0003382396714	4.930303e-06	4.5850767e-05	0.0	4.48029e-05
1.1.1.103	0.0003184911903	0.0002583862269999	0.0	0.0002073828903	0.0	0.0002583862269999	6.483272200000001e-06	1.76735554e-05	0.0	9.37085e-06	9.37085e-06	6.483272200000001e-06	0.0	9.37085e-06	0.0002583862269999	1.76735554e-05	0.0003184911903	2.66388e-06	2.36703588e-05	2.66388e-06	0.0	0.0	0.0	2.36703588e-05
1.1.1.107	0.0	0.0	0.0	0.0	0.0	1.72394e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.11	1.70699e-06	0.0	0.0	1.41212e-06	0.0	1.41212e-06	1.70699e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.026884e-07	0.0	0.0	0.0	0.0	0.0	1.70699e-06	0.0	0.0	0.0	0.0
1.1.1.121	0.0	0.0	0.0	0.0	0.0	0.0	1.71194e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71194e-07
1.1.1.122	2.07817e-06	6.39393e-06	0.0	7.61323e-06	1.732707e-05	2.07817e-06	1.732707e-05	0.0	1.732707e-05	0.0	3.65717068e-05	0.0	1.732707e-05	1.732707e-05	4.0897882e-05	0.0	0.0	3.8857464e-05	6.39393e-06	4.9177e-06	6.39393e-06	0.0	0.0	2.126631e-05
1.1.1.125	7.28009e-07	8.655299e-06	0.0	0.0	4.342681e-06	0.0	0.0	0.0	0.0	7.75882e-06	0.0	0.0	0.0	0.0	7.28009e-07	0.0	0.0	0.0	0.0	0.0	0.0	7.75882e-06	0.0	1.609336e-05
1.1.1.127	0.000138693554	2.13090883e-05	0.000138693554	1.0453458e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000138693554	0.0	2.3315851999999995e-06	5.7583197e-05	0.0	0.0	0.0	2.13090883e-05	0.0
1.1.1.130	2.4633474000000003e-05	0.0	0.0	0.0	0.000136760793	0.0	5.638271999999999e-05	0.0	0.0	0.0	0.0	5.638271999999999e-05	0.0	0.0	2.4633474000000003e-05	0.0	0.000136760793	0.0	2.4633474000000003e-05	0.0	5.638271999999999e-05	0.0	1.5477419e-06	0.0
1.1.1.131	2.60829e-06	0.0	1.448203e-05	0.0	1.969592e-05	1.448203e-05	0.0	4.76398e-05	3.770836e-05	3.8274e-07	1.448203e-05	0.0	0.0	0.0	0.0	0.0	1.448203e-05	6.8818e-05	1.448203e-05	2.3272670000000003e-05	0.0	1.448203e-05	0.0	1.030385e-05
1.1.1.132	0.0	9.244419e-06	6.02572e-08	0.0	2.75197e-06	9.244419e-06	6.221312699999999e-05	1.339259e-05	9.244419e-06	8.05338e-07	9.244419e-06	5.65924e-08	9.0283743e-06	0.0	6.221312699999999e-05	4.4812660000000003e-07	2.56173e-06	8.05338e-07	0.0	1.2140635e-06	0.0	1.339259e-05	0.0	1.339259e-05
1.1.1.133	0.000298821858	3.0462848e-05	0.0	0.0001952227569999	0.0	0.0	0.0	0.000212182793	5.985759e-05	0.0	0.000298821858	0.000298821858	0.0	0.0	0.0	0.000158857415	7.4826704e-05	0.000232066231	8.001694199999999e-05	9.1243079e-05	7.4826704e-05	3.9943157e-05	0.000298821858	5.985759e-05
