	SRR6915091_500K_merged_Abundance.RPKs	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs	SRR6915101_500K_merged_Abundance.RPKs	SRR6915102_500K_merged_Abundance.RPKs	SRR6915113_500K_merged_Abundance.RPKs	SRR6915115_500K_merged_Abundance.RPKs	SRR6915116_500K_merged_Abundance.RPKs	SRR6915118_500K_merged_Abundance.RPKs	SRR6915119_500K_merged_Abundance.RPKs	SRR6915120_500K_merged_Abundance.RPKs	SRR6915121_500K_merged_Abundance.RPKs	SRR6915122_500K_merged_Abundance.RPKs	SRR6915123_500K_merged_Abundance.RPKs	SRR6915124_500K_merged_Abundance.RPKs	SRR6915137_500K_merged_Abundance.RPKs	SRR6915138_500K_merged_Abundance.RPKs	SRR6915139_500K_merged_Abundance.RPKs	SRR6915140_500K_merged_Abundance.RPKs	SRR6915141_500K_merged_Abundance.RPKs	SRR6915142_500K_merged_Abundance.RPKs	SRR6915143_500K_merged_Abundance.RPKs	SRR6915144_500K_merged_Abundance.RPKs	SRR6915145_500K_merged_Abundance.RPKs	SRR6915146_500K_merged_Abundance.RPKs	SRR6915157_500K_merged_Abundance.RPKs	SRR6915158_500K_merged_Abundance.RPKs	SRR6915159_500K_merged_Abundance.RPKs	SRR6915160_500K_merged_Abundance.RPKs	SRR6915161_500K_merged_Abundance.RPKs	SRR6915162_500K_merged_Abundance.RPKs	SRR6915163_500K_merged_Abundance.RPKs	SRR6915164_500K_merged_Abundance.RPKs	SRR6915165_500K_merged_Abundance.RPKs	SRR6915166_500K_merged_Abundance.RPKs	SRR6915188_500K_merged_Abundance.RPKs	SRR6915189_500K_merged_Abundance.RPKs	SRR6915190_500K_merged_Abundance.RPKs	SRR6915191_500K_merged_Abundance.RPKs	SRR6915192_500K_merged_Abundance.RPKs	SRR6915193_500K_merged_Abundance.RPKs	SRR6915194_500K_merged_Abundance.RPKs	SRR6915201_500K_merged_Abundance.RPKs	SRR6915202_500K_merged_Abundance.RPKs	SRR6915203_500K_merged_Abundance.RPKs	SRR6915204_500K_merged_Abundance.RPKs	SRR6915205_500K_merged_Abundance.RPKs	SRR6915206_500K_merged_Abundance.RPKs	SRR6915207_500K_merged_Abundance.RPKs	SRR6915208_500K_merged_Abundance.RPKs	SRR6915209_500K_merged_Abundance.RPKs	SRR6915210_500K_merged_Abundance.RPKs	SRR6915211_500K_merged_Abundance.RPKs	SRR6915212_500K_merged_Abundance.RPKs	SRR6915213_500K_merged_Abundance.RPKs	SRR6915214_500K_merged_Abundance.RPKs	SRR6915215_500K_merged_Abundance.RPKs	SRR6915216_500K_merged_Abundance.RPKs	SRR6915217_500K_merged_Abundance.RPKs	SRR6915218_500K_merged_Abundance.RPKs	SRR6915219_500K_merged_Abundance.RPKs	SRR6915220_500K_merged_Abundance.RPKs	SRR6915221_500K_merged_Abundance.RPKs	SRR6915222_500K_merged_Abundance.RPKs	SRR6915223_500K_merged_Abundance.RPKs	SRR6915224_500K_merged_Abundance.RPKs	SRR6915225_500K_merged_Abundance.RPKs	SRR6915226_500K_merged_Abundance.RPKs	SRR6915227_500K_merged_Abundance.RPKs	SRR6915228_500K_merged_Abundance.RPKs	SRR6915229_500K_merged_Abundance.RPKs	SRR6915230_500K_merged_Abundance.RPKs
1.1.1.1	8.37804e-05	2.739447667999997e-05	9.70246e-05	0.000269573	0.000598881	0.000314968	4.05253e-05	0.000277826	3.55452e-05	4.45058e-05	5.80506e-05	8.89396e-05	2.50405e-05	0.000161597	2.03627e-05	9.98557e-06	3.6230221100000013e-05	1.5248e-05	4.64783e-05	0.000120115	4.25007e-05	5.77241e-05	5.87151e-05	9.12832e-05	7.15956e-05	4.61686e-05	0.000237571	1.69557e-05	1.60414e-05	4.94754e-05	7.91642e-06	0.000107549	0.000181049	5.37728e-06	3.75776e-05	0.000215183	1.4089839659999955e-05	3.96921e-05	4.34199e-05	3.41101e-05	4.70315e-06	2.1378847319999996e-05	3.84421e-05	4.05707e-05	1.35156e-05	1.361097132000001e-05	4.97362e-05	3.13398e-05	6.65955e-05	5.303e-05	3.0470603739999927e-05	9.81314e-05	7.04263e-05	3.29391e-05	1.75158e-05	2.09889e-05	3.61772e-05	7.81942e-05	2.43707e-05	2.43621e-05	3.6623533219999904e-05	0.00015017	4.84477e-05	1.32527e-05	3.43121e-05	5.56919e-05	5.40551e-05	0.000489459	5.15774e-05	0.000195537	1.82682e-05	4.37155e-05	4.37462e-05	0.000209908	4.494586362000002e-05	9.26567e-05	5.91485e-06	4.5239984499999934e-05	0.000121724
1.1.1.100	0.000302721	4.46159e-05	0.000111236	0.000588678	0.000491523	0.000702737	6.22312e-05	0.000734551	0.000119434	0.000123367	9.71092e-05	0.00015756	0.0001121	0.000206047	9.59342e-05	2.37884e-05	0.000284468	0.000167705	0.00012845	0.000157463	5.99015e-05	8.96156e-05	0.000246016	8.6014e-05	0.000197964	0.000215643	0.00020152	0.00011881	7.36716e-05	0.000120196	5.06525e-05	0.00017187	0.000165371	7.4897e-05	6.77048e-05	0.000236335	6.65115e-06	0.000150784	0.000123446	0.000142993	1.34374e-05	9.07126e-05	7.55994e-05	0.000246111	8.80362e-05	3.57204e-05	0.000227471	8.44948e-05	0.000174427	0.000329853	0.00011889	0.000211559	8.96714e-05	0.0001184	9.30615e-05	0.000119715	0.000207179	0.000169706	7.15404e-05	5.64506e-05	2.29468e-05	0.000303006	0.000112171	2.86596e-05	0.000118963	8.25163e-05	6.96596e-05	0.000319599	8.35898e-05	0.000182199	0.000110751	9.43445e-05	9.30612e-05	0.000391012	0.000211644	9.71625e-05	5.13895e-06	0.000107173	0.000832657
1.1.1.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.103	3.76865e-05	3.49826e-05	1.21176e-05	0.000126402	0.000176045	0.000183016	4.44154e-05	0.000186699	3.87051e-05	9.17552e-05	3.58028e-05	4.09708e-05	6.01446e-05	1.777445301333334e-05	1.02125e-05	6.823443329999968e-06	3.33899e-05	2.61047e-05	3.01452e-05	3.77666e-05	3.05194e-05	3.57971e-05	3.17818e-05	2.97078e-05	4.33847e-05	5.42041e-05	0.000101924	3.17842e-05	4.95446e-05	1.1963139069999991e-05	7.21743e-06	5.19595e-05	0.000130553	1.69388e-05	4.08656e-05	0.000113968	6.668632993333308e-06	6.21225e-06	4.23931e-05	1.49454e-05	4.9773e-06	2.65123e-05	3.46512e-05	1.467e-05	8.45898e-05	1.86107e-05	1.5967489446666662e-05	1.02763e-05	5.96346e-05	0.000189842	6.85968e-05	4.5691e-05	4.38255e-05	3.12899e-05	1.5175240456666657e-05	6.52806e-05	0.000117206	6.26723e-05	2.0456e-05	2.7194e-05	7.259760076666638e-06	9.26548e-05	1.96369e-05	0.000112392	4.46556e-05	6.58585e-06	5.55774e-06	0.000178387	6.55012e-05	6.63935e-05	7.06416e-05	1.1795798769999998e-05	1.24186e-05	0.000222324	0.000149754	1.3854568306666649e-05	6.636131679999986e-06	2.34874e-05	1.23282e-05
1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.634950000000001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72699e-09	0.0	0.0	0.0	0.0	8.634950000000001e-09	0.0	0.0	1.329782300000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1809700000000006e-09	0.0	8.634950000000001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6595645999999974e-07
1.1.1.107	9.73076e-06	1.721910342000001e-06	6.446222374449614e-08	2.13621e-05	1.0449259923842636e-05	5.55812e-05	5.899912849123527e-08	5.72957e-05	1.940211763630067e-07	8.693248277661448e-08	7.4302683943385e-08	8.208405840560721e-08	5.530933233804301e-07	6.279816894338503e-08	3.6562943336300664e-07	1.5119991359383665e-07	1.1153498676619282e-06	6.258270456838502e-08	1.8937190536300678e-07	1.8985733067175114e-07	4.7601e-06	7.112779594338502e-08	1.685580070891364e-06	4.086558030000001e-07	2.0557249879958183e-07	3.1173473058093467e-09	8.548364928443573e-07	6.760072111949614e-08	7.791164182476013e-09	8.026651536300656e-08	6.468611667457627e-08	4.541867884358711e-08	1.906795209435871e-07	9.694587053569883e-08	1.0433214447394053e-07	2.428069595876589e-07	1.1590842055938366e-06	5.4164628859745723e-08	1.6542682231139744e-06	5.140372690727393e-08	1.5225349359383664e-07	7.912742736300656e-08	1.4928218482745818e-06	2.036913950820865e-08	7.63754843587124e-10	1.5310455759383667e-07	1.7179267970430874e-08	5.3978238395986426e-08	1.988933937296407e-07	1.8079534466944946e-06	5.949362706005168e-08	6.878013460196281e-07	1.0093529196005167e-07	5.384981240560727e-08	2.106879234847459e-07	5.8388074657273926e-08	1.2328946884863378e-06	7.08348e-06	2.3807788074760126e-09	2.1013852892132095e-07	1.9441927948474589e-07	8.364e-06	1.4216241508208653e-08	2.045683408597458e-07	5.785300511949614e-08	2.4941472517995804e-06	6.671568740000002e-07	2.5791897159989736e-06	7.36107717444961e-08	7.45177780485638e-07	1.776522241969824e-08	1.7099669448630074e-06	5.3354177907273927e-08	4.952720030209918e-07	7.654443139555677e-08	1.4007203472097542e-08	1.855766194847459e-07	1.5377665673245103e-07	1.755978559845504e-06
1.1.1.108	0.0	0.0	0.0	8.706645599999997e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.209965159999998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08247e-05	0.0	0.0	0.0	0.0	3.8511e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73047e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.64047e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.11	1.39732e-05	1.8500926668961556e-08	1.8500926668961556e-08	6.604312113637969e-07	0.00016185	6.774535127859265e-06	1.8500926668961556e-08	6.806492745617796e-06	2.2537951038593322e-07	2.4934086402324064e-09	1.8500926668961556e-08	5.175885019287206e-08	1.8500926668961556e-08	1.9391555475044596e-07	1.8500926668961556e-08	1.8500926668961556e-08	2.4934086402324064e-09	3.7490574416095014e-08	8.701394247375259e-09	1.8500926668961556e-08	4.943932979475011e-07	2.701342255876461e-07	2.6417702331095233e-07	5.766394282237561e-08	2.2313226945006994e-07	1.8500926668961556e-08	4.2949851129042286e-08	1.220105973343916e-09	1.5914323386778424e-08	1.8500926668961556e-08	1.8500926668961556e-08	1.7947620944818e-06	3.682961588060205e-06	8.701394247375259e-09	1.8500926668961556e-08	3.547861465745424e-07	1.8500926668961556e-08	1.8500926668961556e-08	2.2313226945006994e-07	1.6978247400258584e-08	1.8500926668961556e-08	1.8500926668961556e-08	1.8500926668961556e-08	1.8500926668961556e-08	5.559752337760211e-07	1.8500926668961556e-08	1.8500926668961556e-08	1.8500926668961556e-08	2.4985942473752635e-09	4.0485020220273826e-07	1.8500926668961556e-08	1.41538e-05	4.326982148566242e-07	8.518782285728981e-10	4.424015150627706e-08	1.8500926668961556e-08	2.5175111224107355e-09	9.66674e-06	1.8500926668961556e-08	1.8500926668961556e-08	1.8500926668961556e-08	3.410084749737675e-06	1.8500926668961556e-08	5.2444538685700854e-08	3.7490574416095014e-08	1.8500926668961556e-08	7.608090518788962e-07	1.590881412842719e-05	1.8500926668961556e-08	6.082526419287206e-08	8.701394247375259e-09	1.8500926668961556e-08	1.8500926668961556e-08	4.1275345037241927e-07	8.518782285728981e-10	1.8500926668961556e-08	1.8500926668961556e-08	1.8500926668961556e-08	1.8500926668961556e-08
1.1.1.121	0.0	0.0	0.0	1.6230294000000004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.687538e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.687538e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.988099e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.20636e-06	0.0	0.0	0.0	0.0	0.0	1.6230294000000004e-07	0.0	0.0	0.0	1.687538e-08	0.0
