	SRR6915091_500K_merged_Abundance.RPKs	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs	SRR6915101_500K_merged_Abundance.RPKs	SRR6915102_500K_merged_Abundance.RPKs	SRR6915113_500K_merged_Abundance.RPKs	SRR6915115_500K_merged_Abundance.RPKs	SRR6915116_500K_merged_Abundance.RPKs	SRR6915118_500K_merged_Abundance.RPKs	SRR6915119_500K_merged_Abundance.RPKs	SRR6915120_500K_merged_Abundance.RPKs	SRR6915121_500K_merged_Abundance.RPKs	SRR6915122_500K_merged_Abundance.RPKs	SRR6915123_500K_merged_Abundance.RPKs	SRR6915124_500K_merged_Abundance.RPKs	SRR6915137_500K_merged_Abundance.RPKs	SRR6915138_500K_merged_Abundance.RPKs	SRR6915139_500K_merged_Abundance.RPKs	SRR6915140_500K_merged_Abundance.RPKs	SRR6915141_500K_merged_Abundance.RPKs	SRR6915142_500K_merged_Abundance.RPKs	SRR6915143_500K_merged_Abundance.RPKs	SRR6915144_500K_merged_Abundance.RPKs	SRR6915145_500K_merged_Abundance.RPKs	SRR6915146_500K_merged_Abundance.RPKs	SRR6915157_500K_merged_Abundance.RPKs	SRR6915158_500K_merged_Abundance.RPKs	SRR6915159_500K_merged_Abundance.RPKs	SRR6915160_500K_merged_Abundance.RPKs	SRR6915161_500K_merged_Abundance.RPKs	SRR6915162_500K_merged_Abundance.RPKs	SRR6915163_500K_merged_Abundance.RPKs	SRR6915164_500K_merged_Abundance.RPKs	SRR6915165_500K_merged_Abundance.RPKs	SRR6915166_500K_merged_Abundance.RPKs	SRR6915188_500K_merged_Abundance.RPKs	SRR6915189_500K_merged_Abundance.RPKs	SRR6915190_500K_merged_Abundance.RPKs	SRR6915191_500K_merged_Abundance.RPKs	SRR6915192_500K_merged_Abundance.RPKs	SRR6915193_500K_merged_Abundance.RPKs	SRR6915194_500K_merged_Abundance.RPKs	SRR6915201_500K_merged_Abundance.RPKs	SRR6915202_500K_merged_Abundance.RPKs	SRR6915203_500K_merged_Abundance.RPKs	SRR6915204_500K_merged_Abundance.RPKs	SRR6915205_500K_merged_Abundance.RPKs	SRR6915206_500K_merged_Abundance.RPKs	SRR6915207_500K_merged_Abundance.RPKs	SRR6915208_500K_merged_Abundance.RPKs	SRR6915209_500K_merged_Abundance.RPKs	SRR6915210_500K_merged_Abundance.RPKs	SRR6915211_500K_merged_Abundance.RPKs	SRR6915212_500K_merged_Abundance.RPKs	SRR6915213_500K_merged_Abundance.RPKs	SRR6915214_500K_merged_Abundance.RPKs	SRR6915215_500K_merged_Abundance.RPKs	SRR6915216_500K_merged_Abundance.RPKs	SRR6915217_500K_merged_Abundance.RPKs	SRR6915218_500K_merged_Abundance.RPKs	SRR6915219_500K_merged_Abundance.RPKs	SRR6915220_500K_merged_Abundance.RPKs	SRR6915221_500K_merged_Abundance.RPKs	SRR6915222_500K_merged_Abundance.RPKs	SRR6915223_500K_merged_Abundance.RPKs	SRR6915224_500K_merged_Abundance.RPKs	SRR6915225_500K_merged_Abundance.RPKs	SRR6915226_500K_merged_Abundance.RPKs	SRR6915227_500K_merged_Abundance.RPKs	SRR6915228_500K_merged_Abundance.RPKs	SRR6915229_500K_merged_Abundance.RPKs	SRR6915230_500K_merged_Abundance.RPKs
1.2.1.4	4.277414311718961e-10	1.62178221220149e-05	4.064519136378137e-06	3.3901660116694985e-06	1.123701958951498e-05	0.000128306	2.01010742290069e-06	0.000224978	1.9099474229006895e-06	1.9066513554849144e-06	2.85295741431172e-07	2.85295741431172e-07	1.5784800395853257e-05	2.082942822576609e-06	2.0830212447014252e-06	4.055559352500011e-06	1.9216045573281e-06	3.5813114110709244e-07	2.01084758290069e-06	1.9099474229006895e-06	2.0189808545531018e-06	1.8253977393885682e-06	5.04839e-06	2.4673927568309578e-05	4.056698674500012e-06	1.7343879413885682e-06	1.771334660625257e-05	2.0907060142290218e-06	2.088195510350897e-06	1.5576127574076423e-05	4.0636926241524245e-06	2.023060622353102e-06	4.072107456352425e-06	2.088195510350897e-06	2.088195510350897e-06	2.495810988521561e-06	2.451142762579782e-06	3.959734416900011e-06	2.080432318698484e-06	2.01010742290069e-06	1.3361628369750994e-05	1.7169340746295615e-05	1.9188208545531017e-06	2.3328467027086127e-06	4.055559352500011e-06	2.01010742290069e-06	3.1880221078498947e-06	2.338992054482901e-06	2.85295741431172e-07	7.33988540768512e-06	2.0189808545531018e-06	2.080432318698484e-06	1.8983115611893049e-06	2.080432318698484e-06	4.126743477950221e-06	4.746522101721622e-06	3.5562063722896744e-07	4.122967502500749e-06	2.01010742290069e-06	4.070141904152424e-06	4.0636926241524245e-06	4.0625533021524245e-06	4.055559352500011e-06	1.798941900706598e-05	2.85295741431172e-07	3.956427562700011e-06	3.9420337944381e-06	4.8198e-06	2.080432318698484e-06	3.895373575440303e-06	1.8270287813885683e-06	3.8789829406403e-06	1.9124579267788146e-06	1.609466754531834e-05	1.125326578015387e-05	2.0346369069531033e-06	3.953009596700011e-06	2.095714670350897e-06	5.559230352440064e-06
4.1.1.53	1.0661178e-07	2.17098e-09	1.8608400000000002e-09	9.475193399999972e-07	1.626545400000002e-07	1.364616e-08	3.1014e-10	6.603975999999995e-08	1.8608400000000002e-09	3.1014e-10	1.5507e-09	0.0	3.7216800000000003e-09	1.8608400000000002e-09	1.8608400000000002e-09	1.8608400000000002e-09	3.1014e-10	1.5507e-09	3.1014e-10	7.731358000000001e-08	3.1014e-10	6.2028e-10	3.1014e-10	3.7216800000000003e-09	1.8608400000000002e-09	1.8608400000000002e-09	2.48112e-09	1.8608400000000002e-09	1.8608400000000002e-09	3.7216800000000003e-09	1.8608400000000002e-09	1.182158e-08	2.17098e-09	1.8608400000000002e-09	3.1014e-10	2.79126e-09	1.8608400000000002e-09	1.8608400000000002e-09	7.731358000000001e-08	1.8608400000000002e-09	3.1014e-10	3.7216800000000003e-09	3.1014e-10	0.0	3.1014e-10	1.8608400000000002e-09	1.5507e-09	0.0	1.5507e-09	2.5937810000000013e-07	1.8608400000000002e-09	1.3062140000000001e-08	3.1014e-10	3.1014e-10	2.17098e-09	3.1014e-10	1.5507e-09	1.3062140000000001e-08	3.1014e-10	1.8608400000000002e-09	1.8608400000000002e-09	2.17098e-09	3.1014e-10	2.17098e-09	1.5507e-09	3.1014e-10	1.8608400000000002e-09	1.3983302000000013e-07	3.1014e-10	1.023462e-08	7.576288e-08	3.1014e-10	3.1014e-10	2.48112e-09	1.8608400000000002e-09	3.1014e-10	1.8608400000000002e-09	1.8608400000000002e-09	3.1014e-10
2.4.1.1	0.00029798	0.000112678	0.000143938	0.000322489	0.000363134	0.000408446	0.00021515	0.00037289	0.000171933	0.000111069	8.20256e-05	0.000258263	0.000179758	0.000110546	0.000145811	2.79198e-05	4.75507e-05	0.000152103	0.000229695	0.000234994	0.000196985	0.00012605	3.72989e-05	0.000166239	0.000142791	0.000152311	0.000326401	0.000155236	0.00028391	0.000123323	5.14382e-05	0.000317373	0.000310977	0.000130106	0.000143895	0.000222777	7.39605e-06	0.000168217	0.000145621	0.000208174	1.20351e-05	0.000103057	0.000174665	0.000142007	0.00015558	1.30162e-05	0.000169279	0.000201185	0.000132744	0.000182671	0.000167578	0.000152389	0.0001615	0.00013457	0.000155544	0.000160603	0.000163747	0.000167555	0.000174813	0.000124631	0.000151797	0.000265885	0.000171172	0.000127293	0.000197166	0.000169222	0.000139789	0.000267289	0.00016804	0.000344474	0.000361023	0.000148061	7.71233e-05	0.00030186	0.000181992	0.000213684	6.30277e-05	0.000157568	0.000317044
5.1.3.11	6.06264e-05	1.44375e-05	3.73989e-05	0.000110423	2.4562649800000014e-06	6.668488600000002e-06	9.14824e-05	5.572696240000003e-06	0.000112718	0.000111652	0.000125481	2.72177e-05	1.1835e-05	5.23912e-05	5.42644e-05	4.56249e-05	3.85723e-05	3.63786e-05	2.21157e-05	7.54541e-05	2.98674e-05	3.38595e-05	1.07539e-05	4.92903e-05	5.62186e-05	7.37568e-05	2.0890139160000002e-05	7.26814e-05	8.59845e-05	4.72071e-05	7.66007e-05	3.04152e-05	2.77433e-05	4.54697e-06	1.16502e-05	7.01035e-05	3.2351475359999894e-05	2.97499e-05	4.36121e-05	6.41379e-05	4.26057e-05	2.02927e-05	9.85606e-06	3.89875e-05	0.000160341	5.87577e-05	5.27873e-05	5.24265e-05	8.47557e-05	1.91744e-05	5.67234e-05	3.215463254333332e-05	3.80853e-05	5.76584e-05	4.207556021761892e-05	5.51052e-05	4.51645e-05	3.642708877666663e-05	6.37535e-05	1.22353e-05	1.68506e-05	3.0359985073333273e-05	3.33662e-05	3.178061972666664e-05	6.6381e-05	6.7588e-05	1.17202e-05	1.1758664873333362e-05	5.72461e-05	2.2338639703333323e-05	4.2165e-05	3.31982e-05	7.42608e-05	1.8128907993333363e-05	0.000168802	3.67752e-05	4.42211e-05	7.53722e-06	2.9244587206666663e-05
3.4.21.92	0.000170726	0.000135922	0.00015245	0.00015701	0.000120768	0.000188379	0.000183755	0.000123576	8.97153e-05	9.81062e-05	0.00013395	0.000126624	9.93231e-05	0.000228751	0.000168449	0.00011387	0.000188471	0.000148177	0.000148517	0.000159642	0.000141394	0.000183102	0.000147165	0.000174401	0.000120612	0.00016928	0.000156285	0.000106537	0.000133374	0.000171723	0.000185158	0.000160092	0.000145729	0.000135995	0.000117256	9.96679e-05	0.000224414	0.000132722	0.000186224	0.000168472	0.00029133	0.000173525	0.000145576	0.00011613	0.000132097	0.000156555	0.000147895	0.000154837	0.000146813	0.000234895	7.65031e-05	0.00010337	0.000149957	0.000125063	0.000188763	0.000191156	0.000142457	0.000131447	0.000213518	0.000129943	0.0001278	0.000172689	8.7412e-05	0.00021596	0.000198908	0.00015624	0.000100327	0.000173792	0.000125916	0.000203893	0.000141837	0.000131972	0.00021641	0.000179532	0.000143299	0.000121262	0.000169929	0.000168153	0.000273712
2.5.1.1	6.78324e-05	1.4842144740000043e-05	1.10396e-05	1.5864258578000018e-05	1.1526643223999947e-05	1.1531893755999948e-05	3.75967e-05	9.211597497999996e-06	1.35546e-05	0.000108728	1.31606e-05	1.17274e-05	2.74142e-05	8.08117e-06	1.8677807183999997e-05	5.389921645999977e-06	6.91071e-06	1.60414e-05	2.280236861e-05	4.17914e-05	1.41192e-05	1.34968e-05	1.7083536461333332e-05	2.82227e-05	3.481102168600005e-05	6.52864e-05	7.38246e-05	2.50953e-05	1.75946e-05	1.17703e-05	8.444107899999995e-06	7.70821e-05	8.78673e-05	3.63777e-05	1.0190328109333329e-05	1.96847e-05	1.2263906332000031e-05	1.41478e-05	0.000136247	1.600326642000002e-05	2.0763779012000006e-05	2.11361e-05	1.60226e-05	2.33931e-05	1.43968e-05	4.6949746279999905e-06	2.58129e-05	2.02797e-05	3.61551e-05	1.60157e-05	2.26991e-05	5.59331e-06	1.22219e-05	2.47297e-05	1.3799620555999998e-05	1.06367e-05	7.2362e-05	1.68107e-05	1.45768e-05	1.9674779999999975e-05	2.7999063227333353e-05	7.44084e-05	2.72374e-05	1.622701176266667e-05	1.69726e-05	8.599852555142843e-06	1.69081e-05	5.60582e-06	1.04217e-05	1.19727e-05	3.63625e-05	1.6886438174000014e-05	1.379018181200003e-05	3.757343776999991e-05	2.9719e-05	6.13815e-05	1.7020505031999984e-05	2.02557e-05	1.0567e-05
1.1.1.243	0.0	3.2031402000000017e-07	2.217558600000001e-07	2.0385667800000005e-07	9.140228e-09	4.002632100000001e-07	3.285272000000002e-07	1.6014606800000002e-07	0.0	9.034497999999997e-08	3.9423264000000026e-07	9.089360199999999e-08	5.7492259999999987e-08	1.1498451999999996e-07	5.7492259999999987e-08	2.381822200000001e-07	2.9567448000000016e-07	8.213179999999997e-08	1.8890314000000004e-07	9.04052e-06	3.121008400000002e-07	2.463954000000001e-07	3.367403800000002e-07	1.4783724e-07	2.381822200000001e-07	7.391861999999999e-08	4.9742604e-08	2.948492e-09	7.391861999999999e-08	2.9567448000000016e-07	8.988287999999999e-08	1.0095945399999998e-07	4.63524e-10	9.190432399999998e-08	1.0677133999999997e-07	2.1015441999999987e-07	1.6472712400000004e-07	2.0532950000000007e-07	2.0827799200000006e-07	2.546085800000001e-07	2.140062040000001e-07	1.8068996000000003e-07	1.8890314000000004e-07	0.0	1.8890314000000004e-07	2.463954000000001e-07	0.0	6.570543999999999e-08	1.3141087999999997e-07	2.1780994799999996e-07	3.7780628000000024e-07	7.391861999999999e-08	0.0	1.9711632000000005e-07	2.9567448000000016e-07	3.860194600000003e-07	1.642636e-07	5.7492259999999987e-08	2.874613000000001e-07	1.8068996000000003e-07	2.628217600000001e-07	3.1825162199999925e-07	1.7247678e-07	3.121008400000002e-07	9.855815999999997e-08	2.2996904000000008e-07	5.7492259999999987e-08	3.344241840000002e-07	2.710349400000001e-07	3.503033460000002e-07	1.8890314000000004e-07	2.2996904000000008e-07	2.1354268000000008e-07	2.401294e-09	2.628217600000001e-07	1.9711632000000005e-07	9.855815999999997e-08	2.7924812000000013e-07	3.372039040000002e-07
3.1.3.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.5.1.2	0.000288842	8.57096e-05	0.00014682	0.000267234	0.0003123	0.000277201	0.000197465	0.000238005	0.000258335	0.000322144	0.000136371	0.000195693	0.000141073	0.000270479	0.00016626	0.000133323	0.000308423	0.000166735	0.000147715	0.000229402	0.000137532	0.000154602	0.000299978	0.000270793	0.000184464	0.000268061	0.000303243	0.000157941	0.000224787	0.000136195	5.29756e-05	0.0002842	0.00033483	0.000198236	0.000168089	0.000179234	0.000346365	8.94387e-05	0.000440154	0.000179608	8.00899e-05	0.000139412	0.000179514	0.000191636	0.000233523	6.92938e-05	0.000206676	0.000198905	0.000271394	7.4586e-05	0.000264824	0.000178551	0.000210947	0.000220977	0.00013412	0.000132368	0.000297709	0.000182722	0.000157865	0.000153119	0.00013861	0.000232898	0.00017386	0.000300026	0.000166059	0.000196407	0.000102682	0.000314771	0.000132769	0.000219576	0.000228456	0.000122916	0.000125675	0.000269257	0.000236971	0.000148789	7.38473e-05	0.000121905	0.000425802
2.10.1.1	5.00338e-06	2.5649111747042756e-05	6.887668236761886e-07	1.88728e-05	0.00013339	8.28962e-05	1.3310719745095208e-06	8.08226e-05	3.9150785017933304e-05	2.1526987723666657e-06	1.2768402862095215e-06	1.33341e-05	4.0265e-06	1.5468324494428517e-06	2.5648863678266555e-05	2.529665195616654e-05	2.5545545805733218e-05	1.1453889163428553e-06	2.6179944580742736e-05	1.4091258055952354e-06	7.066646872909524e-06	9.275425316304755e-06	3.4879530710999916e-05	1.6751697039095198e-06	6.331966435666661e-07	1.0691184943000007e-06	8.8448e-05	1.2909719802761882e-06	2.90808e-06	2.5539889730233232e-05	2.841181833663321e-05	2.29921e-05	4.1471e-05	9.823849015333325e-07	2.5680705766033243e-05	1.94498e-05	2.5279867057966545e-05	2.1991469432714266e-06	1.2419461740333326e-06	7.16042e-06	2.5279867057966545e-05	1.6379054515333296e-06	2.001745611238097e-06	7.43397e-06	9.872792215095233e-07	4.407138732333334e-07	8.03644e-06	9.19744e-06	6.304754175999982e-06	2.12881e-05	1.2602216602999983e-06	3.56665657921999e-05	1.00113e-05	2.5386163245466567e-05	3.9446754786476106e-05	1.2701862097999982e-06	2.8878846545399952e-05	8.63825e-06	1.405815362299998e-06	2.546412488419988e-05	1.8915886375333294e-06	2.0903e-05	2.568671829403324e-05	1.7785e-05	1.6085903436095172e-06	2.6003463348966574e-05	2.5729533785309424e-05	8.47383e-05	1.6112032736380945e-06	2.16955e-05	4.977815030809521e-06	2.569256257426656e-05	1.6762347603999974e-06	5.50744e-05	1.150528355566665e-06	9.164302144999986e-07	8.451295986999986e-07	6.23295e-06	9.97487e-05
