	SRR6915103_500K_merged_Abundance.RPKs	SRR6915104_500K_merged_Abundance.RPKs	SRR6915105_500K_merged_Abundance.RPKs	SRR6915106_500K_merged_Abundance.RPKs	SRR6915107_500K_merged_Abundance.RPKs	SRR6915108_500K_merged_Abundance.RPKs	SRR6915109_500K_merged_Abundance.RPKs	SRR6915110_500K_merged_Abundance.RPKs	SRR6915111_500K_merged_Abundance.RPKs	SRR6915112_500K_merged_Abundance.RPKs	SRR6915114_500K_merged_Abundance.RPKs	SRR6915117_500K_merged_Abundance.RPKs	SRR6915125_500K_merged_Abundance.RPKs	SRR6915126_500K_merged_Abundance.RPKs	SRR6915127_500K_merged_Abundance.RPKs	SRR6915128_500K_merged_Abundance.RPKs	SRR6915129_500K_merged_Abundance.RPKs	SRR6915130_500K_merged_Abundance.RPKs	SRR6915131_500K_merged_Abundance.RPKs	SRR6915132_500K_merged_Abundance.RPKs	SRR6915133_500K_merged_Abundance.RPKs	SRR6915134_500K_merged_Abundance.RPKs	SRR6915135_500K_merged_Abundance.RPKs	SRR6915136_500K_merged_Abundance.RPKs	SRR6915147_500K_merged_Abundance.RPKs	SRR6915149_500K_merged_Abundance.RPKs	SRR6915150_500K_merged_Abundance.RPKs	SRR6915151_500K_merged_Abundance.RPKs	SRR6915152_500K_merged_Abundance.RPKs	SRR6915153_500K_merged_Abundance.RPKs	SRR6915155_500K_merged_Abundance.RPKs	SRR6915156_500K_merged_Abundance.RPKs	SRR6915167_500K_merged_Abundance.RPKs	SRR6915168_500K_merged_Abundance.RPKs	SRR6915169_500K_merged_Abundance.RPKs	SRR6915170_500K_merged_Abundance.RPKs	SRR6915171_500K_merged_Abundance.RPKs	SRR6915172_500K_merged_Abundance.RPKs	SRR6915173_500K_merged_Abundance.RPKs	SRR6915174_500K_merged_Abundance.RPKs	SRR6915175_500K_merged_Abundance.RPKs	SRR6915176_500K_merged_Abundance.RPKs	SRR6915177_500K_merged_Abundance.RPKs	SRR6915178_500K_merged_Abundance.RPKs	SRR6915179_500K_merged_Abundance.RPKs	SRR6915180_500K_merged_Abundance.RPKs	SRR6915181_500K_merged_Abundance.RPKs	SRR6915182_500K_merged_Abundance.RPKs	SRR6915183_500K_merged_Abundance.RPKs	SRR6915184_500K_merged_Abundance.RPKs	SRR6915185_500K_merged_Abundance.RPKs	SRR6915186_500K_merged_Abundance.RPKs	SRR6915195_500K_merged_Abundance.RPKs	SRR6915196_500K_merged_Abundance.RPKs	SRR6915197_500K_merged_Abundance.RPKs	SRR6915198_500K_merged_Abundance.RPKs	SRR6915199_500K_merged_Abundance.RPKs	SRR6915200_500K_merged_Abundance.RPKs
1.1.1.43	5.67301704772559e-10	2.8857643731309667e-09	1.1453742012011269e-09	7.3863390477256e-10	7.386339047725589e-10	1.0425290206276308e-08	5.67301704772559e-10	5.67301704772559e-10	1.7295657047725554e-09	9.847217709847738e-09	5.67301704772559e-10	9.847217709847738e-09	1.1453742012011269e-09	7.3863390477256e-10	1.1453742012011269e-09	5.67301704772559e-10	1.0425290206276308e-08	5.67301704772559e-10	5.67301704772559e-10	1.0596622406276308e-08	9.847217709847738e-09	7.3863390477256e-10	1.0425290206276308e-08	9.099661047725599e-10	5.67301704772559e-10	1.1453742012011269e-09	1.8337625047725528e-09	1.1453742012011269e-09	1.0596622406276308e-08	4.219306897629709e-09	5.67301704772559e-10	1.0425290206276308e-08	7.386339047725589e-10	1.1453742012011269e-09	5.021938904772566e-09	5.67301704772559e-10	5.67301704772559e-10	2.794620304772564e-09	9.847217709847738e-09	1.316706401201127e-09	5.67301704772559e-10	5.67301704772559e-10	1.0596622406276308e-08	5.67301704772559e-10	1.1703894704772547e-08	5.67301704772559e-10	1.1453742012011269e-09	7.386339047725589e-10	1.0596622406276308e-08	1.1453742012011269e-09	9.847217709847738e-09	5.67301704772559e-10	4.047974697629709e-09	1.053254650984774e-08	1.0018549909847741e-08	9.847217709847738e-09	1.0425290206276308e-08	5.67301704772559e-10
2.7.1.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.11.2.3	5.034215000000002e-08	4.9314834000000015e-08	5.535798800000004e-08	4.975236400000003e-08	2.2688531999999995e-08	3.583367e-08	1.5434291999999998e-08	1.9473565999999997e-08	6.572569000000003e-08	2.4489403999999995e-08	1.494601e-08	5.8084672000000035e-08	2.9505241999999993e-08	5.1115706000000025e-08	5.209227000000003e-08	6.076060400000004e-08	4.990462000000003e-08	5.8522202000000044e-08	1.8598505999999998e-08	3.0868583999999996e-08	3.4419576e-08	1.0150860799999998e-07	5.540874000000003e-08	2.2920598800000045e-07	4.902956000000003e-08	4.854127800000002e-08	3.0431053999999994e-08	3.539614e-08	6.855387800000004e-08	7.308143400000002e-08	1.0418454e-08	3.62712e-08	3.5732166000000005e-08	6.397557000000003e-08	3.539614e-08	4.6791158000000016e-08	2.0887659999999992e-08	2.3563591999999997e-08	3.043105399999999e-08	2.0887659999999992e-08	2.4926934e-08	7.122981000000002e-08	8.077320399999999e-08	1.0418454000000002e-08	3.4419576000000004e-08	3.8896380000000015e-08	5.039290200000003e-08	2.8040396e-08	4.975236400000003e-08	4.041197800000001e-08	4.221285000000001e-08	3.850960200000001e-08	4.8103748000000024e-08	4.493953400000002e-08	4.172456800000001e-08	2.9841267999999995e-08	4.9467090000000024e-08	6.626472400000004e-08
4.1.1.21	6.635146511833331e-07	5.194136966380948e-07	8.588323621e-07	7.82424e-06	7.187334684452375e-07	5.18228646295238e-07	9.917857590309526e-07	6.1449425387619e-07	7.31123996419048e-07	5.079046409309521e-07	6.614911478714279e-07	5.050307939666668e-07	3.2015908288476108e-06	7.283233121476186e-07	7.014746603095237e-07	6.653714862476192e-07	1.03883e-05	8.095147803190474e-07	6.408362236047617e-07	1.2985327980190459e-06	7.104926815047622e-07	6.50573e-06	6.932776071142861e-07	5.49589366676191e-07	9.623804094333334e-07	6.492218403809527e-07	6.669550989190463e-07	7.404464796142853e-07	5.774400799904764e-07	8.869813003999996e-07	7.186435854357141e-07	8.943966514666665e-07	5.525357429714287e-07	7.42592058178571e-07	7.045834048833329e-07	4.6286055103809503e-07	5.049728636619045e-07	6.432293849142853e-07	5.258738035047618e-07	7.94758968923809e-07	5.529971707619045e-07	4.050519039238095e-07	4.6644178129047633e-07	2.22342e-05	7.73486e-06	6.469950705833332e-07	7.499934049333331e-07	8.704918614428558e-07	1.98394e-05	1.0807415271952373e-06	6.402699374761902e-07	5.297477716380945e-07	6.774233646690479e-07	3.747834455333329e-07	6.585597473761905e-07	8.418952148071421e-07	6.683580360428574e-07	4.7609415728333344e-07
3.1.4.52	3.33137e-05	0.000221792	7.32642e-05	0.000383351	0.000206893	0.000122517	6.82867e-05	2.67003e-05	0.000153612	0.000237734	0.000145261	0.000185945	0.000465808	2.92428e-05	1.59456e-05	1.82411e-05	0.000121137	2.12963e-05	9.10673e-05	3.10221e-05	4.70312e-05	5.47738e-05	8.51256e-05	0.0002077	0.0002152	0.000113997	0.000131097	5.18487e-05	0.000458319	0.000105816	0.000257839	7.81137e-05	8.84076e-05	1.58802e-05	0.000138862	0.000230576	0.000210407	3.45643e-05	0.000134469	6.40612e-05	8.94699e-05	5.56356e-05	0.000402338	0.000106565	0.000134522	5.75585e-05	6.30202e-06	3.11211e-05	7.1585e-05	6.64916e-05	0.000211665	0.000120429	7.31382e-05	0.000229794	8.69549e-05	0.000140228	0.000134981	3.80921e-05
2.7.8.31	8.177572697333334e-06	1.68263e-05	1.60581e-05	6.97912e-06	8.941881560666655e-06	9.169584160666667e-06	1.8646e-05	8.385601003999989e-06	2.66597e-05	8.53359e-06	8.627427616666664e-06	1.600771320399999e-05	1.15287e-06	1.18529e-05	1.579085389333331e-05	1.0359390776666648e-05	8.607120363999992e-06	5.471731166666667e-06	1.0926818833333317e-05	1.5108983433333305e-05	1.5925672583999977e-05	6.243411204999985e-06	1.4059167953333323e-05	1.5582555183999984e-05	1.1900884412333312e-05	1.5866871023999973e-05	8.977881543999992e-06	7.52274e-06	1.591235868399997e-05	5.72839e-06	7.43182943000001e-06	1.5898225943999976e-05	7.35702e-06	8.02139e-06	8.690570804e-06	7.59195e-06	8.33907e-06	9.089343920000001e-06	9.48138e-06	6.34254e-06	8.673686170666664e-06	1.4154816960000028e-05	8.856125080666674e-06	8.47169e-06	8.624771700000016e-06	1.09568e-05	7.6132810400000104e-06	5.557841760000006e-06	1.5915750237333307e-05	1.4333550939999996e-05	1.37657e-05	6.397715419999985e-06	1.5898225943999976e-05	6.82403e-06	1.5063190299999972e-05	1.627949510399997e-05	1.4838016959999981e-05	5.64454e-06
2.3.1.51	2.29143e-05	0.000151299	4.93114e-05	0.000154893	0.000144677	0.000126576	0.000102886	0.000106884	0.000149686	0.000137836	0.000136029	0.000120281	0.000182945	0.000107061	3.80765e-05	2.30759e-05	6.89652e-05	0.000157739	0.000121493	5.07355e-05	6.25831e-05	3.7729e-05	4.26769e-05	9.74927e-05	9.87391e-05	6.19446e-05	0.000116875	6.09594e-05	0.000149396	9.54243e-05	8.15942e-05	5.45223e-05	0.000143377	4.39556e-05	7.25996e-05	0.000119964	0.000209433	0.000136574	0.000119917	0.000135665	8.06507e-05	6.2631e-05	0.000120072	0.000126811	9.00431e-05	0.000162014	6.76025e-05	4.06587e-05	0.000127599	0.000121411	0.000124542	0.00011331	7.43113e-05	9.28739e-05	6.61565e-05	7.66578e-05	9.00022e-05	7.16672e-05
2.2.1.7	0.000247895	0.000240787	0.000137271	0.000231006	0.000260143	0.000187857	0.000227872	0.000213487	0.000264724	0.000178337	0.000268305	0.000222474	0.000173082	0.000156906	0.000198928	0.00016309	0.000209959	0.00014295	0.000208377	0.000184675	0.000124299	0.000160389	0.000163672	0.000160268	0.000261646	0.000142676	0.000317685	0.000134411	0.000212635	0.000196747	0.000262949	0.000201639	0.000236869	9.65114e-05	0.000222924	0.000252133	0.00030322	0.00023729	0.000274785	0.00024132	0.000225227	0.000226532	0.00015866	0.000235462	0.000166509	0.000207062	0.000195986	0.000246581	0.000235411	0.000261549	0.000288291	0.000411974	0.000223983	0.00034665	0.000282081	0.000240528	0.000148326	0.000376667
1.17.1.4	1.2053892199999991e-05	3.12281e-05	1.0515105940000003e-05	0.000161304	1.5950189599999968e-05	1.333511495999999e-05	5.72842e-06	7.5812e-06	1.3138795270000007e-05	1.59223e-05	2.39647e-05	1.12453e-05	6.8866e-05	8.54289e-06	2.142993867000003e-05	7.53178e-06	2.00475e-05	1.1528128759999999e-05	1.42068e-05	9.05786e-06	1.2358087900000015e-05	1.0531247419999996e-05	1.654846049999999e-05	1.1288443959999988e-05	1.77686e-05	1.41601e-05	1.04905e-05	1.2276635700000004e-05	6.48496e-06	1.01821e-05	2.59081e-05	9.639668160000005e-06	1.7430172319999996e-05	9.12981e-06	1.1402616179999997e-05	8.64412e-06	7.69059e-06	2.57948e-05	9.59023e-06	3.13345e-05	1.1313975439999993e-05	9.770596280000005e-06	8.18553e-06	1.4971277420000003e-05	2.28338e-05	8.3023e-06	8.60585e-06	1.638134617999998e-05	1.3110279099999988e-05	1.22844e-05	1.38979e-05	6.83967e-06	1.91549e-05	1.41977e-05	1.0332105560000023e-05	2.47437e-05	1.1843713959999994e-05	1.3690851159999984e-05
3.7.1.2	8.385993434666665e-08	3.3287481360952266e-07	1.8782736898930276e-07	1.363112881257475e-07	2.0081378000952386e-07	1.7025537890952376e-07	1.1843389859812828e-07	2.1341698856285723e-07	2.724033931095241e-07	9.171590316285723e-08	1.9450241784285708e-07	1.2689357168952373e-07	1.8221282240714333e-07	1.0574883075333319e-07	2.21310151969524e-07	1.2391603388000007e-07	1.235120873561904e-07	1.3894352131333343e-07	7.981785100952382e-08	2.0602624742285747e-07	1.5150667648930242e-07	1.299797224533333e-07	2.275620108228573e-07	1.202928365561904e-07	1.0041791029812849e-07	2.139914180228572e-07	2.0839554319285775e-07	1.5291686492930224e-07	1.8989046172952385e-07	1.837508325559692e-07	1.3144917552952397e-07	1.3700944310285727e-07	2.0654900692952422e-07	1.771467117959692e-07	2.048133746124031e-08	1.0772174728952395e-07	1.641479173666668e-07	6.447752405193795e-08	1.1516511501904779e-07	1.2431330048952375e-07	1.0686099268666653e-07	7.640531318666667e-08	1.779184084226358e-07	2.6206944519619085e-07	6.299318154790694e-08	1.3647953508e-07	1.8597954063619083e-07	1.69914412729524e-07	1.8796923992952387e-07	2.55658584761905e-07	1.1032972770790686e-07	1.0783152362952393e-07	2.0087370062285734e-07	1.2141603450285702e-07	1.1486360581860476e-07	6.653744698790698e-08	2.0643394275619053e-07	1.1444531984666655e-07
