	SRR6915103_500K_merged_Abundance.RPKs	SRR6915104_500K_merged_Abundance.RPKs	SRR6915105_500K_merged_Abundance.RPKs	SRR6915106_500K_merged_Abundance.RPKs	SRR6915107_500K_merged_Abundance.RPKs	SRR6915108_500K_merged_Abundance.RPKs	SRR6915109_500K_merged_Abundance.RPKs	SRR6915110_500K_merged_Abundance.RPKs	SRR6915111_500K_merged_Abundance.RPKs	SRR6915112_500K_merged_Abundance.RPKs	SRR6915114_500K_merged_Abundance.RPKs	SRR6915117_500K_merged_Abundance.RPKs	SRR6915125_500K_merged_Abundance.RPKs	SRR6915126_500K_merged_Abundance.RPKs	SRR6915127_500K_merged_Abundance.RPKs	SRR6915128_500K_merged_Abundance.RPKs	SRR6915129_500K_merged_Abundance.RPKs	SRR6915130_500K_merged_Abundance.RPKs	SRR6915131_500K_merged_Abundance.RPKs	SRR6915132_500K_merged_Abundance.RPKs	SRR6915133_500K_merged_Abundance.RPKs	SRR6915134_500K_merged_Abundance.RPKs	SRR6915135_500K_merged_Abundance.RPKs	SRR6915136_500K_merged_Abundance.RPKs	SRR6915147_500K_merged_Abundance.RPKs	SRR6915149_500K_merged_Abundance.RPKs	SRR6915150_500K_merged_Abundance.RPKs	SRR6915151_500K_merged_Abundance.RPKs	SRR6915152_500K_merged_Abundance.RPKs	SRR6915153_500K_merged_Abundance.RPKs	SRR6915155_500K_merged_Abundance.RPKs	SRR6915156_500K_merged_Abundance.RPKs	SRR6915167_500K_merged_Abundance.RPKs	SRR6915168_500K_merged_Abundance.RPKs	SRR6915169_500K_merged_Abundance.RPKs	SRR6915170_500K_merged_Abundance.RPKs	SRR6915171_500K_merged_Abundance.RPKs	SRR6915172_500K_merged_Abundance.RPKs	SRR6915173_500K_merged_Abundance.RPKs	SRR6915174_500K_merged_Abundance.RPKs	SRR6915175_500K_merged_Abundance.RPKs	SRR6915176_500K_merged_Abundance.RPKs	SRR6915177_500K_merged_Abundance.RPKs	SRR6915178_500K_merged_Abundance.RPKs	SRR6915179_500K_merged_Abundance.RPKs	SRR6915180_500K_merged_Abundance.RPKs	SRR6915181_500K_merged_Abundance.RPKs	SRR6915182_500K_merged_Abundance.RPKs	SRR6915183_500K_merged_Abundance.RPKs	SRR6915184_500K_merged_Abundance.RPKs	SRR6915185_500K_merged_Abundance.RPKs	SRR6915186_500K_merged_Abundance.RPKs	SRR6915195_500K_merged_Abundance.RPKs	SRR6915196_500K_merged_Abundance.RPKs	SRR6915197_500K_merged_Abundance.RPKs	SRR6915198_500K_merged_Abundance.RPKs	SRR6915199_500K_merged_Abundance.RPKs	SRR6915200_500K_merged_Abundance.RPKs
1.12.99.6	1.6929164057999983e-05	1.3625523511666645e-05	1.9127e-05	0.000273441	1.4513804273999987e-05	6.2047173073333476e-06	1.48061e-05	9.257388547333339e-06	1.32416e-05	1.3293216023666662e-05	8.742902124999999e-06	8.592079147000001e-06	0.000137311	1.5517494109999973e-05	2.2498108843809505e-05	6.5595e-06	1.656832598233331e-05	3.45106e-05	8.223801012333337e-06	1.37115e-05	2.1215791352333315e-05	6.47202e-06	1.491363387699999e-05	1.316393112199998e-05	9.86551e-06	2.0748783433999974e-05	7.786001985666663e-06	3.14637e-06	1.4269768878809523e-05	1.32528e-05	8.129846275333322e-06	8.47776e-06	7.946503879047615e-06	1.39102e-05	5.14755e-06	7.086730636999999e-06	7.065729425333325e-06	3.2134707761428556e-06	1.3314996535714264e-05	1.42594e-05	1.9192267526666654e-05	2.0023998708333316e-05	2.1926090296666635e-05	6.76697385014285e-06	5.55874e-05	6.39379e-06	2.048845241166665e-05	4.65369e-05	6.81e-06	1.75374e-05	1.274751295166666e-05	1.2776650188809516e-05	1.5183439585333322e-05	8.657253347e-06	1.4677176808666651e-05	5.34974e-06	1.4439691760142843e-05	2.2599366478333325e-05
5.2.1.2	7.522410000000001e-09	1.218630420000002e-07	6.017928000000001e-09	7.221513600000008e-08	1.2336752400000018e-07	4.513446e-09	4.513446e-09	4.513446e-09	3.0089640000000004e-09	6.017928000000001e-09	3.0089640000000004e-09	6.017928000000001e-09	7.672858200000008e-08	4.513446e-09	4.513446e-09	4.513446e-09	6.017928000000001e-09	4.513446e-09	0.0	1.3540338000000001e-08	6.017928000000001e-09	4.513446e-09	4.513446e-09	1.3540338000000001e-08	6.017928000000001e-09	4.513446e-09	4.513446e-09	6.017928000000001e-09	1.5044820000000002e-09	7.522410000000001e-09	3.0089640000000004e-09	2.4974401199999937e-07	4.513446e-09	4.513446e-09	1.2938545200000012e-07	6.017928000000001e-09	3.0089640000000004e-09	6.017928000000001e-09	3.0089640000000004e-09	3.0089640000000004e-09	4.513446e-09	4.513446e-09	3.0089640000000004e-09	1.1885407800000018e-07	1.3540338000000001e-08	4.513446e-09	3.0089640000000004e-09	6.017928000000001e-09	6.017928000000001e-09	4.513446e-09	4.513446e-09	1.0832270400000015e-07	4.513446e-09	3.911653200000001e-08	7.52241e-09	1.1885407800000018e-07	7.522410000000001e-09	4.513446e-09
3.1.6.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.7.1.1	2.212837182356542e-08	1.62540769267299e-08	2.1433645577699133e-08	4.19329e-07	1.7282962393268786e-08	2.5075887563844418e-08	1.4112644498762319e-08	2.1129673083147513e-08	1.9757893535367263e-08	2.2395849646453036e-08	1.865392033319999e-08	1.3589294527365394e-08	2.7595346765538744e-08	1.8089985122066057e-08	1.964484305734754e-08	2.4718422066436363e-08	2.267903491274985e-08	2.0692288176937265e-08	2.205055270974078e-08	2.4205730553634133e-08	2.4715204494094285e-08	1.849526090082926e-08	2.1827909857934393e-08	2.121899542326879e-08	2.3082546560552144e-08	2.0776979561016088e-08	2.008745083519375e-08	1.697698420225132e-08	1.2976315631940146e-08	1.957713364328551e-08	1.3291862624407589e-08	2.3007999098141942e-08	2.0065564813379735e-08	2.5167907418363295e-08	1.870609219224083e-08	2.6376234012139417e-08	2.1037266651754326e-08	2.022783798354963e-08	2.351043384596343e-08	1.567772663317403e-08	2.1516842994976945e-08	1.4728113681630125e-08	2.3865491629228513e-08	2.4005610541792953e-08	2.348944370755024e-08	1.3027138440881318e-08	2.7656620116093137e-08	2.275193385309027e-08	2.0235295873483884e-08	1.7677699287413636e-08	2.253299593698073e-08	1.5036433342489602e-08	2.286232877888299e-08	1.4755306330064821e-08	2.3652542373984276e-08	1.9392278821178367e-08	1.9706400744492105e-08	1.2482614661711693e-08
2.1.1.90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1.3.39	6.97809e-06	1.1507211050285716e-05	2.68837e-05	3.06279e-05	3.70882e-05	2.99086e-05	1.292222677066668e-05	1.72805e-05	9.887437121904783e-06	2.37543e-05	1.0888046917333343e-05	2.1854e-05	2.5240596666666666e-05	1.19316e-05	1.2758276345333348e-05	1.2035814600285706e-05	1.656887083266668e-05	3.1993e-05	1.73144e-05	2.60516e-05	1.298185701171429e-05	1.1986787100000006e-05	8.59249e-06	3.53536e-05	1.80056e-05	1.70791e-05	4.63728e-05	1.2601802461809524e-05	8.40902e-05	1.60778e-05	7.65079e-06	1.6675762615238085e-05	2.9464e-05	1.2087278181238097e-05	1.72529e-05	3.5991e-05	1.72197e-05	1.1203479414666685e-05	2.66825e-05	1.2409158924571439e-05	1.319039153457143e-05	1.41179e-05	5.90547e-05	1.1628036670666669e-05	1.10439e-05	1.1035724761999997e-05	1.8332728980666684e-05	6.23722e-06	5.04344e-05	1.19709e-05	1.35399e-05	1.180354247990477e-05	1.12728e-05	6.11065e-05	2.70369e-05	1.3542527571238115e-05	6.79345e-06	8.37646e-06
3.1.3.48	5.05214e-05	0.000173033	4.00071e-05	6.46783e-05	0.000160794	0.00013682	0.000109356	0.000139986	0.000119679	7.5067e-05	0.000119562	8.94671e-05	0.000126796	5.89802e-05	1.28325e-05	2.96225e-05	8.34984e-05	3.97601e-05	8.48191e-05	5.26131e-05	2.61614e-05	0.000117692	8.37638e-05	0.000109879	6.78548e-05	8.90699e-05	0.000173753	7.13089e-05	0.000172933	4.79645e-05	0.000147025	7.64992e-05	0.000192733	2.44492e-05	9.85211e-05	0.00015196	0.000129054	0.000102246	0.000105984	5.545e-05	5.60556e-05	3.8854e-05	0.000192595	8.38797e-05	8.12838e-05	0.000126493	4.82226e-05	0.00011572	6.12792e-05	9.23026e-05	6.16096e-05	0.000135385	5.89318e-05	0.000175832	9.5804e-05	0.000155555	4.86002e-05	5.21146e-05
2.1.1.148	7.70333e-05	4.69613e-05	7.4728e-05	4.69526e-05	5.50528e-05	6.72946e-05	7.50459e-05	3.53109e-05	3.03235e-05	0.000160737	6.65361e-05	3.66981e-05	5.87469e-05	5.86199e-05	6.6104e-05	5.58117e-05	0.000105011	3.55759e-05	7.50117e-05	6.33571e-05	4.0973e-05	7.89437e-05	0.000100138	5.13533e-05	5.4205e-05	4.02486e-05	7.25066e-05	6.6079e-05	8.71294e-05	3.78612e-05	8.4786e-05	0.000103075	7.46426e-05	2.85092e-05	9.45278e-05	8.16559e-05	0.000107271	1.70289e-05	6.71006e-05	8.70868e-05	5.96828e-05	6.57985e-05	4.89502e-05	8.07781e-05	7.67815e-05	3.53971e-05	0.000125308	4.35122e-05	9.82158e-05	3.59583e-05	0.000107142	4.96682e-05	7.12142e-05	6.44617e-05	6.44663e-05	7.59856e-05	6.5204e-05	8.2374e-05
2.2.1.1	3.30321e-05	0.000122719	4.34842e-05	0.000312189	9.94911e-05	8.82268e-05	4.14292e-05	7.58363e-05	5.11085e-05	0.000114575	6.32299e-05	8.0967e-05	0.000184444	4.37379e-05	2.17108e-05	9.73799e-05	5.53783e-05	7.10709e-05	6.72147e-05	6.73753e-05	3.96469e-05	6.63885e-05	6.75449e-05	0.000131354	0.00011803	8.03643e-05	5.76566e-05	3.54996e-05	0.000152659	2.95923e-05	0.000112364	8.18751e-05	7.58428e-05	5.15599e-05	7.49134e-05	0.000109797	0.000113526	3.1615e-05	4.93556e-05	9.97797e-05	4.41236e-05	0.000135228	0.000147061	8.77006e-05	9.26314e-05	7.09898e-05	0.000103461	4.88477e-05	9.54647e-05	6.55623e-05	0.000127039	0.000117921	6.54053e-05	0.000109323	6.91452e-05	0.000145941	2.42305e-05	6.81287e-05
1.1.1.325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
