	SRR6915091_500K_merged_Abundance.RPKs	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs	SRR6915101_500K_merged_Abundance.RPKs	SRR6915102_500K_merged_Abundance.RPKs	SRR6915113_500K_merged_Abundance.RPKs	SRR6915115_500K_merged_Abundance.RPKs	SRR6915116_500K_merged_Abundance.RPKs	SRR6915118_500K_merged_Abundance.RPKs	SRR6915119_500K_merged_Abundance.RPKs	SRR6915120_500K_merged_Abundance.RPKs	SRR6915121_500K_merged_Abundance.RPKs	SRR6915122_500K_merged_Abundance.RPKs	SRR6915123_500K_merged_Abundance.RPKs	SRR6915124_500K_merged_Abundance.RPKs	SRR6915137_500K_merged_Abundance.RPKs	SRR6915138_500K_merged_Abundance.RPKs	SRR6915139_500K_merged_Abundance.RPKs	SRR6915140_500K_merged_Abundance.RPKs	SRR6915141_500K_merged_Abundance.RPKs	SRR6915142_500K_merged_Abundance.RPKs	SRR6915143_500K_merged_Abundance.RPKs	SRR6915144_500K_merged_Abundance.RPKs	SRR6915145_500K_merged_Abundance.RPKs	SRR6915146_500K_merged_Abundance.RPKs	SRR6915157_500K_merged_Abundance.RPKs	SRR6915158_500K_merged_Abundance.RPKs	SRR6915159_500K_merged_Abundance.RPKs	SRR6915160_500K_merged_Abundance.RPKs	SRR6915161_500K_merged_Abundance.RPKs	SRR6915162_500K_merged_Abundance.RPKs	SRR6915163_500K_merged_Abundance.RPKs	SRR6915164_500K_merged_Abundance.RPKs	SRR6915165_500K_merged_Abundance.RPKs	SRR6915166_500K_merged_Abundance.RPKs	SRR6915188_500K_merged_Abundance.RPKs	SRR6915189_500K_merged_Abundance.RPKs	SRR6915190_500K_merged_Abundance.RPKs	SRR6915191_500K_merged_Abundance.RPKs	SRR6915192_500K_merged_Abundance.RPKs	SRR6915193_500K_merged_Abundance.RPKs	SRR6915194_500K_merged_Abundance.RPKs	SRR6915201_500K_merged_Abundance.RPKs	SRR6915202_500K_merged_Abundance.RPKs	SRR6915203_500K_merged_Abundance.RPKs	SRR6915204_500K_merged_Abundance.RPKs	SRR6915205_500K_merged_Abundance.RPKs	SRR6915206_500K_merged_Abundance.RPKs	SRR6915207_500K_merged_Abundance.RPKs	SRR6915208_500K_merged_Abundance.RPKs	SRR6915209_500K_merged_Abundance.RPKs	SRR6915210_500K_merged_Abundance.RPKs	SRR6915211_500K_merged_Abundance.RPKs	SRR6915212_500K_merged_Abundance.RPKs	SRR6915213_500K_merged_Abundance.RPKs	SRR6915214_500K_merged_Abundance.RPKs	SRR6915215_500K_merged_Abundance.RPKs	SRR6915216_500K_merged_Abundance.RPKs	SRR6915217_500K_merged_Abundance.RPKs	SRR6915218_500K_merged_Abundance.RPKs	SRR6915219_500K_merged_Abundance.RPKs	SRR6915220_500K_merged_Abundance.RPKs	SRR6915221_500K_merged_Abundance.RPKs	SRR6915222_500K_merged_Abundance.RPKs	SRR6915223_500K_merged_Abundance.RPKs	SRR6915224_500K_merged_Abundance.RPKs	SRR6915225_500K_merged_Abundance.RPKs	SRR6915226_500K_merged_Abundance.RPKs	SRR6915227_500K_merged_Abundance.RPKs	SRR6915228_500K_merged_Abundance.RPKs	SRR6915229_500K_merged_Abundance.RPKs	SRR6915230_500K_merged_Abundance.RPKs
2.3.1.97	0.0	1.014272e-08	0.0	0.0	1.014272e-09	0.0	9.43272959999999e-08	1.014272e-09	0.0	8.722739199999992e-08	0.0	3.0428160000000004e-09	9.63558399999999e-08	1.1156991999999988e-07	8.621311999999992e-08	5.375641599999998e-08	7.404185599999995e-08	8.722739199999992e-08	8.824166399999992e-08	0.0	9.331302399999991e-08	8.114176e-09	1.014272e-08	9.43272959999999e-08	0.0	0.0	0.0	7.099903999999995e-08	8.621311999999992e-08	7.302758399999994e-08	5.0713599999999985e-08	2.028544e-09	0.0	0.0	0.0	0.0	4.6656511999999995e-08	8.621311999999992e-08	0.0	9.331302399999991e-08	6.085631999999997e-08	6.998476799999995e-08	8.317030399999993e-08	0.0	8.215603199999993e-08	0.0	8.418457599999993e-08	0.0	0.0	7.099904e-09	7.607039999999995e-08	0.0	0.0	7.809894399999993e-08	0.0	8.215603199999993e-08	8.418457599999993e-08	0.0	6.694195199999996e-08	6.897049599999996e-08	8.519884799999992e-08	1.0954137599999988e-07	0.0	7.099904e-09	6.491340799999996e-08	1.014272e-09	8.621311999999992e-08	5.07136e-09	7.099904e-09	0.0	1.004129279999999e-07	5.0713599999999985e-08	6.998476799999995e-08	0.0	1.0345574399999989e-07	8.621311999999992e-08	8.215603199999993e-08	8.012748799999993e-08	0.0
2.1.1.242	2.59389e-05	3.9101414340566676e-05	3.6051691126299986e-05	2.45431e-05	0.000112284	0.000110096	1.8870695515999957e-06	0.000167808	3.775109663549996e-05	4.960430093299998e-06	3.8025481160185686e-05	2.24269e-05	1.15995e-05	5.15709e-06	5.303982349033328e-06	3.602958173880002e-05	3.781658974411433e-05	3.810160671453332e-05	3.692069823096662e-05	3.754390312740002e-05	3.657659776305235e-05	5.29205e-06	6.60666e-06	3.78417192641524e-05	3.770106330900475e-05	3.675452364446667e-05	3.58381e-05	4.24514970805238e-06	6.41163e-06	4.588777147699998e-06	4.459432577066676e-05	3.06721e-05	3.72011e-05	4.901506162933339e-06	3.727640097476663e-05	1.63586e-05	3.339250718953335e-05	3.5484853554380913e-06	6.00741e-06	8.6233e-06	3.686473329293336e-05	3.8046918882652376e-05	1.43475e-05	2.30428e-05	3.7054317462433316e-05	3.0434379079714302e-06	1.26477e-05	3.8536965398999965e-06	8.842879589714281e-06	1.90317e-05	3.819563510566671e-06	2.64008e-05	6.630400386933321e-06	3.6860324332933295e-05	5.058646915976182e-06	5.35271e-06	3.09064024038096e-06	1.64427e-05	3.754711996393328e-05	5.339463903299998e-06	2.931055254466662e-06	4.62516e-05	3.665432620176665e-05	5.796141235106669e-05	5.43013e-06	3.669224166520953e-05	3.685538213309997e-05	7.34931e-05	3.801937139749998e-05	3.6708e-05	4.455822197200004e-05	3.808933901776665e-05	2.2227689271999952e-06	6.74972e-05	8.75667637308572e-06	3.6605305612433295e-05	4.04109578016e-05	2.7438898177523803e-06	0.000183045
2.8.1.8	0.00016369	4.63481e-05	0.000128859	0.000114704	0.000121054	0.000188474	6.60417e-05	0.000180416	1.92206e-05	3.47606e-05	0.000185384	9.27052e-05	2.45803e-05	6.88471e-05	5.05302e-05	2.00566e-05	0.00023307	5.33721e-05	3.42222e-05	0.000171971	7.47487e-05	6.42475e-05	0.000137564	0.000108683	0.00011253	0.000139433	8.90972e-05	5.44426e-05	6.78119e-05	0.000101925	6.19757e-06	9.15349e-05	8.0579e-05	6.75451e-05	2.8267e-05	7.17672e-05	1.970308036000003e-05	1.09595e-05	6.95803e-05	6.83087e-05	9.09266e-06	3.84081e-05	4.59239e-05	0.000104439	8.97787e-05	4.23545e-06	8.18123e-05	9.25185e-05	0.000116456	0.000215138	0.000118445	4.29084e-05	4.93329e-05	8.58673e-05	1.51193e-05	3.06208e-05	0.000146417	3.99689e-05	2.90055e-05	4.54733e-05	4.93799e-05	3.58994e-05	6.96883e-05	0.000107823	8.98632e-05	0.000155107	2.92151e-05	0.000109486	7.16506e-05	3.75888e-05	9.02661e-05	4.85082e-05	7.17836e-05	0.000102144	0.000114561	3.76359e-05	5.79991e-06	6.21227e-05	1.01355e-05
2.7.1.184	4.3404136909264375e-06	5.163129370296335e-07	6.471441149602385e-07	1.12788e-05	5.77516e-05	6.62674e-06	4.55647598821744e-08	5.151228916589269e-06	1.2856726404765525e-06	6.987282940633257e-07	3.9177881790657966e-07	1.46851e-05	9.307163156339824e-07	3.701452691556859e-07	5.763105596205824e-07	2.565789787772518e-07	2.1203407290031794e-07	6.538776084516485e-07	3.019920141478794e-07	2.1183445576762197e-07	5.471159055533367e-07	2.8856342798559898e-06	1.9147837555868925e-06	1.0835011100411197e-07	4.6544098518339337e-07	5.122736467500259e-07	1.16918e-05	5.66577121611175e-07	4.075077820427032e-07	2.8040083955707194e-07	1.3451531843518514e-06	1.02038e-05	2.16918e-05	1.2103729870835226e-06	1.3607146219067546e-06	1.34773e-05	7.453571320052176e-07	8.016966711979908e-08	7.717302201898973e-07	2.863925045516736e-07	4.2968348819019677e-07	5.474559018109878e-07	5.859687957261405e-07	5.58108633342233e-07	1.7606155292791302e-07	4.004359323553548e-07	3.446499801144504e-07	2.530467366081306e-07	1.1408216353321637e-06	8.60854e-06	4.214180131687172e-07	1.5008425836167601e-06	1.7570507054675913e-06	1.4064369844355326e-07	3.5532967972439533e-07	1.7320296745480945e-07	3.312514340225851e-07	1.57157744001356e-06	2.866891869298983e-07	4.937248308599959e-07	2.791522201827177e-07	5.92339e-06	1.8016630515829372e-07	3.0026869948361525e-06	5.82619309108447e-07	4.6034996781647936e-07	8.519800522252972e-07	2.7094e-05	6.23463358416597e-08	4.14761e-06	1.2711711705914044e-06	4.637499670842949e-07	3.866820266271122e-07	2.99055e-05	3.4786318820426275e-07	9.696765067166123e-08	3.463115165832256e-07	5.139176056966612e-07	1.3266719854344579e-06
3.4.17.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.2.1.30	8.04262e-05	3.84536e-05	7.09961e-05	0.000270808	4.27938e-05	9.00212e-05	9.17702e-05	0.000100955	4.66757e-05	0.00011981	9.79077e-05	0.000112268	5.64877e-05	2.23174e-05	6.51006e-05	5.39526e-05	4.4984e-05	0.00012877	5.08904e-05	0.00015699	0.000127822	7.16821e-05	5.33328e-05	6.9134e-05	8.49146e-05	8.02769e-05	0.000153502	0.000137848	0.000113513	2.24213e-05	6.82086e-06	0.000176057	0.000150297	0.000132408	5.24573e-05	9.64827e-05	7.88386e-06	2.43206e-05	0.000190184	0.000133713	2.7839303599999957e-05	6.42775e-05	0.00010428	7.13761e-05	0.000126435	1.17258e-05	8.2314e-05	4.49344e-05	0.000124832	4.23734e-05	0.000182771	6.36585e-05	6.75451e-05	0.000128675	4.31943e-05	0.000138078	0.000319489	6.59294e-05	0.000120409	4.56026e-05	3.60527e-05	7.05668e-05	5.81133e-05	6.97349e-06	0.000122566	4.404682619999997e-05	4.9301e-05	1.23256e-05	7.94631e-05	1.50935e-05	8.9031e-05	2.17429e-05	6.27893e-05	9.037253740000001e-05	0.000153668	5.41756e-05	3.8378736999999946e-05	0.000124962	0.000153133
3.5.99.7	2.4513659750617676e-06	3.079693927636028e-06	1.0219800347954928e-06	2.688898368066608e-06	1.11653e-05	4.607835229590063e-06	9.242290246543745e-07	5.22852411870641e-06	2.518953932894855e-07	4.0835265495238544e-07	9.706218266271773e-07	5.891111247818646e-07	2.191915378727692e-07	3.001165554458951e-06	1.8779449119003715e-06	3.1942209409819136e-06	3.1154059937682177e-06	9.300610823195865e-07	2.6455122108672414e-06	1.9954547944091837e-06	1.283000982305858e-06	3.062344221588984e-06	2.330977655612442e-06	1.3244773725329242e-06	3.679427420089548e-07	1.8360419808082538e-06	3.946355444829672e-06	4.443260215414073e-07	9.169242102415178e-08	1.079341146037661e-06	3.7143690244165253e-06	1.209144329304425e-06	1.3166375707255036e-06	1.8380743820636182e-06	1.0945670485232849e-06	2.0503109863324667e-06	3.5075935833453254e-06	2.7623228099151237e-06	1.720173963664675e-06	8.481400080995738e-07	3.2173228102407615e-06	3.11178717826924e-06	3.099972669460733e-07	1.7308361194825016e-07	1.108084261000161e-06	2.4422168604765414e-06	1.5307376172392575e-07	4.022037805525033e-07	7.575703466852114e-07	2.1178621074145366e-06	1.6064174987731968e-06	1.8367143717772652e-06	4.0210230411474197e-07	1.038196967325166e-06	1.3283405264980629e-06	1.4506946051963028e-06	6.66675136940168e-07	1.3739202883080381e-06	1.0021281608531875e-06	1.5666498901877466e-06	2.5531928704947326e-06	1.474785804312016e-06	8.106772027521718e-07	1.8885777694880535e-06	2.391573372663224e-06	1.2865423997721498e-06	4.864329599900747e-07	3.80934e-05	1.141055346814716e-06	3.3603767991660268e-06	2.6458244128681497e-06	1.3368330990413034e-06	2.652457407697887e-06	3.375324225253089e-06	3.4197504822636047e-06	8.786788139400072e-07	3.2957002252155118e-06	9.435739582672499e-07	3.779311036148745e-06
3.5.1.62	1.4721824e-07	4.477716799999999e-07	1.412802e-07	1.2376410000000004e-07	3.201881e-07	2.9525582000000004e-07	1.0633200000000001e-08	3.6952686000000005e-07	1.3064700000000002e-07	3.1712468e-07	3.67626e-08	5.051408e-08	7.83882e-08	6.8191438e-07	3.480168e-07	1.9481228000000002e-07	9.900276000000002e-08	7.132688e-08	4.509720000000001e-08	1.674096e-07	1.0808948000000002e-07	2.3873648e-07	1.7529638000000002e-06	3.676260000000001e-08	1.0633200000000001e-08	0.0	2.1985799999999998e-08	1.7584448000000002e-07	2.61294e-08	1.8647768e-07	8.497808000000001e-08	2.61294e-08	2.6129400000000004e-07	2.1260708e-07	6.05934e-08	1.9947704e-07	2.2094168000000002e-07	2.8026179999999996e-07	4.509720000000001e-08	3.676260000000001e-08	9.735599999999999e-08	2.2094168000000002e-07	1.674096e-07	4.519748e-08	3.676260000000001e-08	2.018736e-07	1.7584448000000002e-07	2.740268e-08	2.9274e-07	1.15198e-05	3.676260000000001e-08	5.0514080000000004e-08	1.3064700000000002e-07	3.676260000000001e-08	1.757442e-07	2.9805659999999996e-07	7.132688e-08	1.8116108e-07	2.719272e-07	1.8647768e-07	1.0808948000000002e-07	5.353208e-08	1.0633200000000001e-08	4.509720000000001e-08	1.829058e-07	3.803588e-08	8.67228e-08	1.4589496400000013e-06	1.412802e-07	1.3651199999999999e-08	3.676260000000001e-08	1.9481228000000002e-07	1.674096e-07	4.9780572e-07	1.8967799999999997e-08	1.0633200000000001e-08	7.966148e-08	2.9805659999999996e-07	7.726690000000001e-08
4.1.3.42	9.198448000000003e-08	0.0	2.2667603999999976e-07	5.3614287999999985e-08	1.402304e-09	3.0267592000000006e-08	0.0	2.6281280000000002e-08	0.0	0.0	2.2667603999999976e-07	0.0	0.0	0.0	0.0	1.2270160000000008e-08	1.3140640000000001e-08	0.0	0.0	0.0	0.0	0.0	8.541416000000001e-08	0.0	0.0	2.0367991999999982e-07	0.0	0.0	0.0	0.0	3.50576e-10	1.051728e-09	9.921300799999952e-08	0.0	9.956358399999951e-08	0.0	1.1148316799999942e-07	0.0	1.3272640799999973e-07	0.0	3.50576e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.597079200000002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.597079200000002e-08	0.0	0.0	0.0	2.8046079999999997e-09	9.956358399999951e-08	0.0	4.927739999999999e-08	0.0	3.2851600000000003e-09	0.0	1.051728e-09	0.0	7.271472e-09	0.0	0.0	0.0	0.0	0.0	0.0	9.956358399999951e-08	0.0	1.1148316799999942e-07
2.4.2.6	3.330777700000002e-07	7.872018400000004e-08	1.9122620000000006e-08	1.3889920919999982e-06	4.3814880414285596e-07	1.2123491600000013e-07	1.7203962e-08	8.362263160000041e-07	1.039144e-09	1.1776495879999981e-06	2.1526614000000007e-08	9.642387999999998e-09	7.417157000000008e-08	6.8682182e-08	6.273490799999996e-08	2.1578830000000003e-08	8.020416e-09	2.0942420000000005e-08	1.7038772e-08	1.9556446000000006e-08	6.179436599999996e-08	6.513264000000001e-09	1.3316253600000016e-07	1.2228555999999997e-08	5.47412e-09	6.513264000000001e-09	3.4185226400000033e-07	1.683315e-08	5.47412e-09	5.454580799999997e-08	9.445506000000004e-08	2.8530456000000008e-08	8.157304399999993e-08	4.2710206000000016e-08	7.927362400000004e-08	3.9324102000000015e-08	1.0663280600000016e-07	1.5999628e-08	5.47412e-09	2.1526614000000004e-08	1.3663219999999997e-08	6.929636400000004e-08	1.6164818e-08	5.47412e-09	2.0161764000000006e-08	3.0116130000000025e-08	5.47412e-09	5.47412e-09	1.0306113379999966e-06	2.6106594199999973e-07	1.2228555999999997e-08	9.361529999999999e-09	6.513264000000001e-09	6.968214e-09	1.5999628e-08	5.564786399999995e-08	9.457939400000007e-08	2.7298888e-08	7.066121400000005e-08	7.501855800000004e-08	1.5999628e-08	2.1342096000000017e-08	6.513264000000001e-09	7.474015800000005e-08	1.5468299999999996e-08	5.500075799999996e-08	5.378170399999995e-08	6.792503740000039e-07	1.039144e-09	5.596988600000001e-08	1.0497807139999968e-06	7.417157000000009e-08	5.47412e-09	1.7095020200000016e-07	2.4892724000000008e-08	5.47412e-09	1.8212720000000002e-08	4.882361399999999e-08	3.411000800000001e-08
