,SRR6915091_500K_merged_Abundance.RPKs,SRR6915092_500K_merged_Abundance.RPKs,SRR6915093_500K_merged_Abundance.RPKs,SRR6915094_500K_merged_Abundance.RPKs,SRR6915095_500K_merged_Abundance.RPKs,SRR6915096_500K_merged_Abundance.RPKs,SRR6915097_500K_merged_Abundance.RPKs,SRR6915098_500K_merged_Abundance.RPKs,SRR6915099_500K_merged_Abundance.RPKs,SRR6915100_500K_merged_Abundance.RPKs,SRR6915101_500K_merged_Abundance.RPKs,SRR6915102_500K_merged_Abundance.RPKs,SRR6915113_500K_merged_Abundance.RPKs,SRR6915115_500K_merged_Abundance.RPKs,SRR6915116_500K_merged_Abundance.RPKs,SRR6915118_500K_merged_Abundance.RPKs,SRR6915119_500K_merged_Abundance.RPKs,SRR6915120_500K_merged_Abundance.RPKs,SRR6915121_500K_merged_Abundance.RPKs,SRR6915122_500K_merged_Abundance.RPKs,SRR6915123_500K_merged_Abundance.RPKs,SRR6915124_500K_merged_Abundance.RPKs,SRR6915137_500K_merged_Abundance.RPKs,SRR6915138_500K_merged_Abundance.RPKs,SRR6915139_500K_merged_Abundance.RPKs,SRR6915140_500K_merged_Abundance.RPKs,SRR6915141_500K_merged_Abundance.RPKs,SRR6915142_500K_merged_Abundance.RPKs,SRR6915143_500K_merged_Abundance.RPKs,SRR6915144_500K_merged_Abundance.RPKs,SRR6915145_500K_merged_Abundance.RPKs,SRR6915146_500K_merged_Abundance.RPKs,SRR6915157_500K_merged_Abundance.RPKs,SRR6915158_500K_merged_Abundance.RPKs,SRR6915159_500K_merged_Abundance.RPKs,SRR6915160_500K_merged_Abundance.RPKs,SRR6915161_500K_merged_Abundance.RPKs,SRR6915162_500K_merged_Abundance.RPKs,SRR6915163_500K_merged_Abundance.RPKs,SRR6915164_500K_merged_Abundance.RPKs,SRR6915165_500K_merged_Abundance.RPKs,SRR6915166_500K_merged_Abundance.RPKs,SRR6915188_500K_merged_Abundance.RPKs,SRR6915189_500K_merged_Abundance.RPKs,SRR6915190_500K_merged_Abundance.RPKs,SRR6915191_500K_merged_Abundance.RPKs,SRR6915192_500K_merged_Abundance.RPKs,SRR6915193_500K_merged_Abundance.RPKs,SRR6915194_500K_merged_Abundance.RPKs,SRR6915201_500K_merged_Abundance.RPKs,SRR6915202_500K_merged_Abundance.RPKs,SRR6915203_500K_merged_Abundance.RPKs,SRR6915204_500K_merged_Abundance.RPKs,SRR6915205_500K_merged_Abundance.RPKs,SRR6915206_500K_merged_Abundance.RPKs,SRR6915207_500K_merged_Abundance.RPKs,SRR6915208_500K_merged_Abundance.RPKs,SRR6915209_500K_merged_Abundance.RPKs,SRR6915210_500K_merged_Abundance.RPKs,SRR6915211_500K_merged_Abundance.RPKs,SRR6915212_500K_merged_Abundance.RPKs,SRR6915213_500K_merged_Abundance.RPKs,SRR6915214_500K_merged_Abundance.RPKs,SRR6915215_500K_merged_Abundance.RPKs,SRR6915216_500K_merged_Abundance.RPKs,SRR6915217_500K_merged_Abundance.RPKs,SRR6915218_500K_merged_Abundance.RPKs,SRR6915219_500K_merged_Abundance.RPKs,SRR6915220_500K_merged_Abundance.RPKs,SRR6915221_500K_merged_Abundance.RPKs,SRR6915222_500K_merged_Abundance.RPKs,SRR6915223_500K_merged_Abundance.RPKs,SRR6915224_500K_merged_Abundance.RPKs,SRR6915225_500K_merged_Abundance.RPKs,SRR6915226_500K_merged_Abundance.RPKs,SRR6915227_500K_merged_Abundance.RPKs,SRR6915228_500K_merged_Abundance.RPKs,SRR6915229_500K_merged_Abundance.RPKs,SRR6915230_500K_merged_Abundance.RPKs
PHOSLIPSYN-PWY,2.73414864180021e-05,3.163766563919286e-05,4.045184324022001e-05,0.00010731223667231334,0.00014264515151054033,0.00014165827065850195,5.931435934597978e-05,0.00016129155430570074,7.244521753588116e-05,4.975658290329457e-05,4.1003572618841456e-05,8.719857628457635e-05,3.642500536457548e-05,0.00010572750251841941,2.6552796049786306e-05,3.518309907033637e-05,4.2111316803855844e-05,5.5347521602614633e-05,3.866911449722479e-05,7.206025208628854e-05,3.0605199839124445e-05,2.580855307783287e-05,3.8878196638215316e-05,5.2706925885904147e-05,6.633891325797998e-05,3.869018351037362e-05,5.175009008567691e-05,6.338236644633474e-05,3.8359874798854114e-05,4.285773978508396e-05,3.132664001320197e-05,4.098420242462684e-05,9.659113614153772e-05,2.8511343061000023e-05,6.06840600387487e-05,8.930583416399688e-05,4.019749968663728e-05,4.559741676198044e-05,4.1210503880200904e-05,4.602187567376501e-05,2.200473140468779e-05,4.054570948965891e-05,6.288799035464944e-05,3.238332898563869e-05,4.648112126016649e-05,1.9691351355812044e-05,2.3134787521496287e-05,3.2536704530821034e-05,5.949074649306611e-05,8.846943027718444e-05,5.199466769212459e-05,5.00491899456834e-05,4.198821692926873e-05,4.72875208109743e-05,2.85050077701279e-05,4.481282590405125e-05,2.5968139102237266e-05,3.829980510853204e-05,3.6265597696480165e-05,2.4882970410952014e-05,2.883779084285778e-05,4.0214588136095094e-05,6.455830981229764e-05,2.0146583020224133e-05,5.619607678271158e-05,3.618378280523772e-05,3.330316092599502e-05,0.00013658882984251983,6.202371188946011e-05,7.916682357596192e-05,6.64529515473583e-05,3.400295421635412e-05,4.097119237715137e-05,8.776031249477818e-05,4.9529977764135614e-05,2.491968055195752e-05,2.3167490914670094e-05,5.109872206293002e-05,3.080996390757044e-05
PWY-5981,6.603127745053487e-06,3.9111491064035835e-05,3.213873451259044e-06,3.605352539629041e-05,3.625833608773434e-05,0.00012521938194445714,2.839209707539618e-05,0.0001557767147196335,5.70649208954298e-06,1.574659033191751e-05,2.3675221527959426e-06,1.5099158483283567e-05,2.796683416313985e-06,5.093851580577116e-06,9.471221878176569e-06,2.3756219961493797e-06,1.8798643174058133e-05,2.611492365147435e-06,4.362160540771821e-06,2.776869066004413e-06,4.063527805942454e-05,3.1935961254222557e-06,4.245839733858061e-05,8.996364911582242e-06,3.6218267650782872e-06,1.3843844533125637e-06,1.4897252188446529e-05,3.009402196939377e-06,4.267815483042682e-06,2.317393026764449e-06,4.221941797852273e-06,1.2763670420265962e-05,3.4138272256981504e-05,1.5341446556440894e-05,1.694270760167134e-05,2.296601925207949e-05,7.506643381584945e-06,3.284841005346018e-06,2.035292548395599e-06,3.3186809666832768e-06,6.754989011973761e-06,2.6576498372032547e-05,4.146850501887354e-06,3.5128416194542366e-06,1.5798404315447577e-06,3.6267782593028915e-06,1.797310607618535e-06,3.702350440697826e-06,7.90904550849004e-06,3.777785882507487e-05,2.293501197254425e-06,2.5885788833485112e-05,2.492626760015539e-06,4.323798079547983e-06,2.788437748540891e-06,2.0808797798757675e-05,2.708526663483122e-06,2.1374021786041615e-05,1.1898926411316187e-05,4.691647132458101e-06,5.671482939672645e-06,2.3043254911728532e-05,4.007420706559759e-06,7.014898582471602e-05,1.7989920367523164e-06,3.467341771068118e-06,4.217435619280425e-06,2.5620863342164464e-05,1.7863237620294591e-06,5.693609354016559e-06,2.1707761926481323e-05,3.034704271735835e-06,4.084979639999517e-06,9.37538250650664e-05,1.4125489114577292e-05,2.9491078246405884e-06,3.6862037311361733e-06,5.139394008148384e-06,2.1870969801804427e-05
PWY0-1319,0.000121397063534818,6.137414301073719e-05,5.8721093211935155e-05,0.00016375489854614407,0.00013897278714978278,0.00012957152474484101,0.00010823395533370969,0.00015674979101978247,0.00010224975514861934,7.436879117015367e-05,8.414098125804845e-05,0.00011533371706582346,8.383674127213709e-05,0.00011670503466361921,8.405452354922508e-05,4.223618177665564e-05,0.0001376995870858058,6.856111600710579e-05,0.000103281514170075,0.00011073644008850999,8.174380170925167e-05,7.98851221671165e-05,9.155815577459417e-05,0.00011013543980938295,0.00013650180848249422,0.00010784161229418001,0.00012200817661826979,8.301032090489367e-05,7.355888555140518e-05,9.774700821073374e-05,2.9114648762441988e-05,0.00012917314165679069,0.00011298782021907443,8.098846693517853e-05,0.00010474042394857468,0.00013632589373601433,6.353067808570264e-05,9.328509140841587e-05,9.518166696076096e-05,0.00014637742974776585,1.8083510730737337e-05,4.968483735080471e-05,0.00011030793818056875,8.464629693490484e-05,0.00012533558563186873,2.515781842962256e-05,9.159546016460762e-05,9.662867005319043e-05,8.242569059309855e-05,0.00015383012991764997,8.876344147917978e-05,6.603776774359524e-05,8.608974269034212e-05,8.869549016178952e-05,4.04845832886119e-05,9.769460283810316e-05,0.00013679027614006974,4.640467203132164e-05,5.854448169462479e-05,2.380935598993139e-05,8.844167740164437e-05,9.173910167287613e-05,9.707139088341521e-05,7.671755300650587e-05,6.833894886558862e-05,8.357281362250896e-05,8.284523263788602e-05,0.00015881488880394563,7.670773614117822e-05,0.0001350097587966227,9.476872116478312e-05,6.058998142427338e-05,7.49404801446795e-05,0.00010692950709576842,8.375941287926831e-05,0.00010151220417410177,3.5189010552640926e-05,8.608113706581141e-05,2.5852713064687696e-05
PWY4FS-7,1.5893428957705902e-05,2.2369768475523232e-05,2.4768506646262295e-05,8.16836251147787e-05,0.00013251557722726828,0.00013875119273607474,4.5684882937080143e-05,0.00015443189840163362,7.705763364329256e-05,4.024829146269628e-05,2.8654718213221948e-05,7.677512268772491e-05,2.6031085245917146e-05,8.443346204718515e-05,2.4252575743648975e-05,2.5920777794995303e-05,2.2905895316979177e-05,4.257824951485139e-05,2.563640421188884e-05,4.554378804569988e-05,2.1656696049764237e-05,1.6099283104485367e-05,2.280478045709692e-05,3.6456852399808464e-05,4.983386482635662e-05,2.380548287870759e-05,3.666871806884188e-05,5.061944792813952e-05,2.738452119373567e-05,3.343741724993839e-05,2.4493232186549525e-05,2.1882195242332482e-05,8.767941695350872e-05,1.7966074838618606e-05,4.695647424253461e-05,7.126198204863517e-05,2.701666852693384e-05,3.0859600372484445e-05,2.5137815614766033e-05,3.215827067979263e-05,1.99862716711435e-05,2.9046409631603058e-05,4.7834490277557745e-05,2.2725407421808096e-05,3.0702621020866905e-05,1.4372817096956574e-05,1.5513072134127314e-05,2.9853701926268927e-05,4.489126929257532e-05,6.352846409381633e-05,3.196916719695418e-05,4.302204832226138e-05,3.065939101726205e-05,3.226410285187875e-05,2.109229128955318e-05,3.6595667248633995e-05,1.5790244099564207e-05,3.177315966360318e-05,2.9557474675000005e-05,1.9808700777093148e-05,2.052095939799014e-05,5.98032423029468e-05,5.294399782434549e-05,2.5820688551126723e-05,4.1728432011206774e-05,2.9647575605620106e-05,2.2333714968258047e-05,0.0001279314680141173,5.0220952092001474e-05,8.746764493998067e-05,5.29370971775356e-05,2.4309596599049497e-05,2.6991160845878015e-05,7.748600010179688e-05,3.746504342479592e-05,1.6618226390160845e-05,1.6914233288402906e-05,3.1776088372014264e-05,2.9404285927160107e-05
COLANSYN-PWY,8.738884206585888e-05,2.1492759118861843e-05,1.9787470490074016e-05,0.00011940346046994953,3.9476189555509364e-05,6.79604770078941e-05,4.0877887974287696e-05,6.964077584120731e-05,6.916550180333301e-05,3.424960216302286e-05,1.7764147617746028e-05,6.438843674940294e-05,4.89214452746765e-05,7.337581217344774e-05,3.0164038790122588e-05,2.6961579533649644e-05,2.6586091544654472e-05,5.050080035482918e-05,2.717141065705273e-05,6.149004502465731e-05,5.857440955505275e-05,2.796912396635642e-05,3.328485870992485e-05,3.191967209128238e-05,4.511380073544546e-05,3.321184556664869e-05,0.0001058031577736973,3.834714145306394e-05,5.6459893710686385e-05,3.7142495207396293e-05,1.777108211315236e-05,0.00010220982510368859,0.00011260342030556534,3.0220769550547623e-05,3.612900822485348e-05,8.064354735225375e-05,1.67126701051586e-05,4.175723402839293e-05,9.607261690698604e-05,6.063686888140511e-05,1.93219323293726e-05,2.1384768426036442e-05,3.769849413835687e-05,2.6291538200071816e-05,4.8520719778648674e-05,1.2262960169495077e-05,4.4367520109059e-05,5.398694537015959e-05,7.305769496352546e-05,0.00013966688146291103,7.57100691285049e-05,4.02586827107378e-05,4.4766306934420505e-05,3.206208068737566e-05,3.135191036601965e-05,2.0755591475481332e-05,2.5310726576481197e-05,4.2338522584308706e-05,1.8236353318318284e-05,2.846790374443018e-05,3.94938582303766e-05,0.00011284304960243195,3.456487160497195e-05,3.197701007614037e-05,3.037374451632398e-05,2.282543347747414e-05,2.4954837758742727e-05,8.677193376526959e-05,3.240389142819257e-05,5.051710660787406e-05,3.989227071233258e-05,2.167719092365605e-05,2.760476341829881e-05,7.877729012556652e-05,5.510059560816298e-05,6.113534051121795e-05,3.37276351292031e-05,5.441402152042039e-05,2.990907447021182e-05
GLUCONEO-PWY,0.00012065352584019184,4.2772537078452875e-05,4.562292738713931e-05,0.0001276563707614986,0.00016571035240355245,0.00016346583798258318,5.273625658492911e-05,0.00017116855591160426,3.9977434926989355e-05,4.558741300319407e-05,3.61203956284963e-05,9.778351273611886e-05,5.067479834598745e-05,6.78842213512186e-05,3.3589878486402044e-05,2.4532692472869344e-05,2.4821256328388662e-05,8.915008303992387e-05,7.157634208276196e-05,4.191590245966589e-05,5.357899801853476e-05,3.6668285722629125e-05,4.331006759931453e-05,8.549939181200878e-05,4.4177221502317424e-05,6.017306442235859e-05,0.00011478777652592703,3.988037779063388e-05,9.711722656396293e-05,3.3750611946736015e-05,4.3174492855923144e-05,9.661604219360494e-05,9.95588363880135e-05,6.174014075714943e-05,5.609374359046355e-05,9.028806721768362e-05,6.954744715268786e-05,4.12345178445194e-05,4.662287061303675e-05,6.327698245055584e-05,3.131037237900097e-05,3.3974302968472796e-05,5.91481840783956e-05,6.742102565709702e-05,2.9528096911201404e-05,3.9414574405654964e-05,7.05802914097543e-05,5.456843733983909e-05,5.984041547770841e-05,8.995258705268879e-05,4.5060936090855105e-05,9.624664373136617e-05,6.540124795717489e-05,7.357006794094695e-05,7.733191440707153e-05,3.137031445345656e-05,6.288868528286821e-05,6.862579280922994e-05,3.206416094782493e-05,6.236987502497535e-05,3.274284360409777e-05,7.000829124044719e-05,3.192270714967953e-05,3.844247618751053e-05,0.00010919565536524355,4.131402579881724e-05,5.680909204075111e-05,0.00015878719378440383,3.327325919259883e-05,0.00010818188314129798,3.161277686401759e-05,3.639155123938589e-05,4.31852727795577e-05,0.0001318775926741911,4.7719764025181746e-05,3.800830294947603e-05,4.029203038108506e-05,1.4681141586453103e-05,5.622186831997723e-05
PWY-7115,1.7656316141909165e-05,3.44329743481716e-06,5.085289940061872e-06,6.7062843590436995e-06,6.58114804559381e-05,7.805936601964452e-05,5.566050610422887e-06,6.058625832251165e-05,1.6517253672808868e-05,2.0335669652018015e-05,3.0866943531269526e-06,1.4166434845478744e-05,8.294351143464202e-06,8.652722198758075e-06,1.7364553056259818e-05,2.1447853244048143e-06,5.199581392439152e-06,1.215434952445709e-05,5.479318736683492e-06,4.882436521204521e-06,4.3183035579518015e-06,5.3294605776156795e-06,3.6683434738183017e-06,1.855741276732422e-05,5.399994169274896e-06,2.6279135908065116e-06,3.3491461914818984e-05,1.7490599691242825e-05,1.1189839102384488e-05,1.741327581310138e-06,6.698556458230484e-06,1.110530013255886e-05,4.015661865218458e-05,1.9365421509290235e-05,5.934074798998441e-06,2.0989133463649066e-05,2.0836816334035183e-06,1.9741078005047836e-06,4.67938996250692e-06,4.1206671857106285e-06,4.909332853173341e-06,2.6717013768775643e-06,6.285901346928298e-06,1.0433832211742625e-05,2.3600665412187845e-06,5.840209038780399e-06,5.577056293045708e-06,1.9773673944986524e-05,1.1614944168737333e-05,2.130856386239954e-05,1.468706108897339e-06,1.938007000576843e-05,1.0130922813403737e-05,2.107016181874925e-06,2.4307451070790104e-05,3.724281742245722e-06,2.9609156276228965e-06,2.225615824056078e-05,3.0679116082840526e-06,1.502376708892757e-06,2.4246899833975516e-06,1.7854555989238253e-05,4.851884019387102e-06,1.6664987764043893e-05,8.059948503815431e-06,6.998324157647946e-06,1.381618072580163e-05,0.000130450398361254,4.9823605476154525e-06,4.723922680140083e-05,1.144894720126586e-05,2.3537439331638658e-06,2.3402182304097703e-06,7.274886656086269e-05,3.184190492804772e-06,1.2167207079197687e-05,2.1238535813424908e-06,7.462154155264973e-06,1.8420474717235814e-05
P163-PWY,2.2525875581059092e-08,3.69828336532003e-08,4.755876500133092e-08,4.8054947624918736e-08,4.511887183494592e-08,2.377956404448764e-08,4.782458616225456e-08,4.897523917840231e-08,5.03494915226955e-08,4.562622598588964e-08,4.197037035891462e-08,4.9322438191433764e-08,5.036984246306431e-08,4.9695257857846364e-08,4.070101681890107e-08,2.852460323485999e-08,4.640876689782403e-08,4.525750509771753e-08,4.369196141872385e-08,3.0838271127454886e-08,4.8574645534571035e-08,4.802215823417328e-08,4.6473635706614574e-08,4.8237237759515653e-08,4.8601402196729836e-08,4.168485597190897e-08,3.393179353769624e-08,4.091352528955602e-08,4.5709363570853675e-08,2.747637243635297e-08,3.6528548013441914e-08,4.823749993316104e-08,4.525445081843595e-08,4.5734424986577755e-08,2.07477088744799e-08,4.9990098786412676e-08,4.523634046146478e-08,4.18681706596843e-08,4.93571797618734e-08,4.3285013423817826e-08,4.5242325718923294e-08,4.8527291005319246e-08,3.802456310107529e-08,4.755814028228904e-08,4.514582787102596e-08,5.010467451794162e-08,4.791394523812927e-08,4.378475107853568e-08,5.033309410810587e-08,5.029990505361385e-08,4.925497282706388e-08,4.747967876370872e-08,5.0142770295501295e-08,4.9351959993105454e-08,4.8313572960527786e-08,3.26878067271409e-08,4.952433549224303e-08,4.655755531596248e-08,3.731214126002049e-08,4.893272388749777e-08,4.582134588266479e-08,3.221178860074096e-08,3.403232016535424e-08,4.558831228876493e-08,3.912835314560837e-08,4.7748798764304174e-08,4.2948531276701936e-08,4.647688435508017e-08,4.9902703414558897e-08,4.869937710038128e-08,5.026257551640442e-08,3.70074026664655e-08,3.493676991323617e-08,5.038722036538234e-08,1.6027773572170683e-05,3.798549411554939e-08,3.494114464158312e-08,4.8990982423133e-08,4.9458680807443405e-08
1CMET2-PWY,0.00015145811094812302,6.411157626403925e-05,0.00013078760549843963,0.000148566537189038,0.00013188358344939783,0.00016505155896647935,9.725423156846357e-05,0.00016149282730219328,9.842764068407772e-05,7.89557862176946e-05,0.00012746492590911594,0.00012307539833714785,7.364868531385952e-05,8.16693443487992e-05,0.00010011661134577236,0.00012059519338517863,0.0001785888909584503,9.577262835509601e-05,8.043556652411414e-05,0.00013823595686978082,9.730493679933684e-05,8.163784163132724e-05,0.00011621796471607336,0.00011006443879166982,9.887845337873666e-05,0.00015333671746719095,0.00013845521246834742,0.00010168081047571217,8.703810773249787e-05,0.00010317085958528316,5.7687989885325854e-05,0.00013819999065908003,8.723836630776244e-05,8.7647714930403e-05,6.290299672871534e-05,0.00010527900503566712,0.00012235133969709086,8.182201276430405e-05,0.0001018936033226401,9.998559022188412e-05,5.50952382017371e-05,0.00010542965277764198,0.00011439152965216412,9.283873331224085e-05,8.634904978646413e-05,6.63523101610171e-05,9.022672002117098e-05,9.334514823635174e-05,0.00013187593087715698,8.453377123000407e-05,0.00010961936857371557,8.776757140936506e-05,8.490054678885587e-05,0.0001007942072346017,9.219404529734331e-05,0.00012199505741482647,0.000142525758977568,7.52099662073933e-05,8.341397601103253e-05,6.060335515889956e-05,7.798288164915684e-05,0.00010020097293055595,9.334945440984338e-05,0.00011567671678954831,0.00011170997959966465,0.0001597727651032424,6.573046673646124e-05,0.00015416091569471596,9.555316272988615e-05,0.0001426255989960288,0.00011868523071441848,8.290331668860549e-05,0.00011545855998325431,0.00013809240136736554,0.00011394656012276249,4.614265548209074e-05,8.646001525657256e-05,0.00010882784434713613,0.00014666779082145686
PWY-2201,7.768253170411938e-05,4.2018781252837085e-05,4.1655168077682604e-05,7.824967157581192e-05,7.526714895369046e-05,8.194387150500369e-05,9.777591396165337e-05,0.0001261958214633009,9.866866938406181e-05,8.431784358635118e-05,7.825020332705031e-05,8.673355328549596e-05,5.796959402642893e-05,6.173980359338895e-05,3.711404942405185e-05,0.00010957307435793938,6.358408195412526e-05,6.647842693665332e-05,2.6174195528981776e-05,9.807032550361361e-05,7.463621269800201e-05,7.152584532527814e-05,3.31776804633955e-05,9.307288142478404e-05,8.781251729997853e-05,0.0001008701021049589,8.126525649106637e-05,6.108730202893087e-05,7.489672544513846e-05,4.4473179776349256e-05,1.3952633798681646e-05,0.00010572568295648091,7.614550155571108e-05,7.133405870891435e-05,4.926460275264457e-05,7.200961974781895e-05,8.283730371286662e-05,6.89895512866716e-05,0.00010161891926797304,9.13712499846471e-05,9.319038504265376e-05,4.270559265211884e-05,8.668017442217938e-05,6.276517255058471e-05,9.014692053465751e-05,2.3528392642130386e-05,4.57046126189247e-05,7.092537003320705e-05,0.0001248833605354472,0.0001060883370969211,0.00011187686233753658,4.1491872766463504e-05,8.118426949044617e-05,8.969778557012506e-05,7.790324433846446e-05,7.049815189519938e-05,0.0001521316830088907,6.0925732046406603e-05,6.462643461938482e-05,3.0364796250677405e-05,6.851448540693256e-05,6.1677634439413e-05,6.819565645821428e-05,3.115828148971235e-05,9.646250482630099e-05,9.539062256208246e-05,3.668342469101299e-05,0.0001035910219226494,8.500358136281748e-05,8.533476431739343e-05,8.526037323363965e-05,2.6601267077448487e-05,5.4850263741473395e-05,9.344427495356227e-05,0.0001139534905387731,5.0056755070946634e-05,7.111079973422317e-05,7.057586543124916e-05,0.00010154728945403979
