,SRR6915103_500K_merged_Abundance.RPKs,SRR6915104_500K_merged_Abundance.RPKs,SRR6915105_500K_merged_Abundance.RPKs,SRR6915106_500K_merged_Abundance.RPKs,SRR6915107_500K_merged_Abundance.RPKs,SRR6915108_500K_merged_Abundance.RPKs,SRR6915109_500K_merged_Abundance.RPKs,SRR6915110_500K_merged_Abundance.RPKs,SRR6915111_500K_merged_Abundance.RPKs,SRR6915112_500K_merged_Abundance.RPKs,SRR6915114_500K_merged_Abundance.RPKs,SRR6915117_500K_merged_Abundance.RPKs,SRR6915125_500K_merged_Abundance.RPKs,SRR6915126_500K_merged_Abundance.RPKs,SRR6915127_500K_merged_Abundance.RPKs,SRR6915128_500K_merged_Abundance.RPKs,SRR6915129_500K_merged_Abundance.RPKs,SRR6915130_500K_merged_Abundance.RPKs,SRR6915131_500K_merged_Abundance.RPKs,SRR6915132_500K_merged_Abundance.RPKs,SRR6915133_500K_merged_Abundance.RPKs,SRR6915134_500K_merged_Abundance.RPKs,SRR6915135_500K_merged_Abundance.RPKs,SRR6915136_500K_merged_Abundance.RPKs,SRR6915147_500K_merged_Abundance.RPKs,SRR6915149_500K_merged_Abundance.RPKs,SRR6915150_500K_merged_Abundance.RPKs,SRR6915151_500K_merged_Abundance.RPKs,SRR6915152_500K_merged_Abundance.RPKs,SRR6915153_500K_merged_Abundance.RPKs,SRR6915155_500K_merged_Abundance.RPKs,SRR6915156_500K_merged_Abundance.RPKs,SRR6915167_500K_merged_Abundance.RPKs,SRR6915168_500K_merged_Abundance.RPKs,SRR6915169_500K_merged_Abundance.RPKs,SRR6915170_500K_merged_Abundance.RPKs,SRR6915171_500K_merged_Abundance.RPKs,SRR6915172_500K_merged_Abundance.RPKs,SRR6915173_500K_merged_Abundance.RPKs,SRR6915174_500K_merged_Abundance.RPKs,SRR6915175_500K_merged_Abundance.RPKs,SRR6915176_500K_merged_Abundance.RPKs,SRR6915177_500K_merged_Abundance.RPKs,SRR6915178_500K_merged_Abundance.RPKs,SRR6915179_500K_merged_Abundance.RPKs,SRR6915180_500K_merged_Abundance.RPKs,SRR6915181_500K_merged_Abundance.RPKs,SRR6915182_500K_merged_Abundance.RPKs,SRR6915183_500K_merged_Abundance.RPKs,SRR6915184_500K_merged_Abundance.RPKs,SRR6915185_500K_merged_Abundance.RPKs,SRR6915186_500K_merged_Abundance.RPKs,SRR6915195_500K_merged_Abundance.RPKs,SRR6915196_500K_merged_Abundance.RPKs,SRR6915197_500K_merged_Abundance.RPKs,SRR6915198_500K_merged_Abundance.RPKs,SRR6915199_500K_merged_Abundance.RPKs,SRR6915200_500K_merged_Abundance.RPKs
PHOSLIPSYN-PWY,3.5937069039634807e-05,6.57395290910112e-05,2.622436716273041e-05,0.00010164086476175093,3.8484980083706046e-05,4.3553175667617146e-05,2.484902931459075e-05,3.0666301323436953e-05,3.3340110451273544e-05,3.770554191693105e-05,5.405769947662818e-05,5.1528317612885494e-05,8.493350465450053e-05,7.829506161840169e-05,2.4357182822227762e-05,4.5903488524517555e-05,3.1117705470666944e-05,3.7273354770274376e-05,1.9010444605741898e-05,2.1174180258608585e-05,3.0003196796187162e-05,5.900565656375899e-05,3.38140740222739e-05,5.7847594956492876e-05,5.693543700237512e-05,2.2438059570715542e-05,4.417809738445282e-05,3.05726120053001e-05,2.4899427714026072e-05,3.265213169014307e-05,4.364217219421462e-05,5.36735552318432e-05,5.0668047664738554e-05,3.4905437443750174e-05,6.056103738121273e-05,7.107769858799279e-05,3.7258540098945136e-05,7.314597217681003e-05,5.655658716513003e-05,3.352050690636349e-05,5.0432440095492094e-05,6.68104853911692e-05,2.2693131594210048e-05,2.7337538818800785e-05,4.943897460591936e-05,4.569910085575608e-05,3.781955142814835e-05,2.2628997447503625e-05,5.148833161434704e-05,5.158956128597448e-05,4.112509290557942e-05,6.614547877942191e-05,5.983936353751807e-05,5.3664257956861736e-05,5.04430431052236e-05,5.571286639182932e-05,3.097206293870113e-05,5.859877527757189e-05
PWY-5981,5.5475962999594e-06,1.7693945793742476e-05,6.290491375802793e-06,2.7371426271056633e-05,5.186859627425467e-06,5.095596164115899e-06,6.217581933247192e-06,4.817735506695554e-06,8.323505099735454e-06,3.98302490128906e-06,5.535438272893162e-06,4.981447447392634e-06,1.2035537575048393e-05,4.344842110919505e-05,5.328146697808497e-06,5.66175665434507e-06,5.897239725682708e-06,7.088777690592333e-06,6.193206920952034e-06,1.0705642772139493e-05,5.723824829253487e-06,2.6696576864394987e-05,5.790263751946548e-06,3.503732632499064e-05,5.217482522760962e-06,5.380724278871001e-06,4.743816286978227e-06,5.199576671838558e-06,5.666511809518415e-06,7.095579341969833e-06,5.23343127818576e-06,1.2582362766801471e-05,3.5496913248989e-05,5.8818477839906715e-06,9.921204079522553e-06,4.934561586837523e-06,4.832448859440664e-06,5.273649700780267e-06,5.708758681502044e-06,6.203065322806249e-06,5.357132283595621e-06,5.088292580872503e-06,7.920516597511802e-06,3.4113306945673546e-05,7.480055011697127e-06,2.7512146016866875e-05,1.3043974597471247e-05,1.337473698543061e-05,4.3482720746958326e-05,4.713856878514466e-06,4.88721532546675e-06,4.470457765114196e-06,5.867705344221765e-06,3.2966365302339006e-06,8.497188431603845e-06,4.380782780684797e-05,6.078090643228655e-06,5.784140606601942e-06
PWY0-1319,3.6604322577751474e-05,8.170688484954297e-05,6.711689202391823e-05,0.0001319732188804794,9.510395894993857e-05,9.967896861992472e-05,7.37303484012607e-05,9.628596692372904e-05,0.00013314629022812325,5.782314537990555e-05,9.396053776720467e-05,0.00012639618979633634,0.0001077969897333643,0.00011450310595958378,5.6455843353868986e-05,3.983354014403127e-05,8.577527784278438e-05,6.579722956157494e-05,9.08210092636978e-05,6.612794624935044e-05,6.426915956201e-05,5.6204442967258386e-05,5.448420758200818e-05,9.400324756859509e-05,0.00010773368871121304,6.316465194180552e-05,9.392012848436573e-05,7.388905864666765e-05,0.00012259571339401926,0.00010215847081383713,7.443148495928777e-05,7.933084967181004e-05,0.0001018807247084798,5.4302603345619975e-05,8.638606066763545e-05,0.00011839090501662213,0.00011188881164531892,0.00012989005473967123,9.627867488198029e-05,8.483712556800111e-05,9.747006018340307e-05,7.778265242502244e-05,6.724701537604133e-05,0.00013179615947341526,9.566286281940328e-05,0.00012051025260100939,8.560001098049599e-05,6.0204342608462943e-05,0.000119576515857355,0.00012321123656904468,0.00011187920021529487,0.00010031318946921118,9.032782032011108e-05,0.00011164453825480266,7.715685315626724e-05,0.0001005307322907946,0.00010104427856027923,8.896647229469013e-05
PWY4FS-7,2.9515460138931577e-05,5.244634619265743e-05,3.144365156759791e-05,0.00013254835750195812,2.6568733465705733e-05,3.1341518449784694e-05,1.701984823584585e-05,2.2830058661851784e-05,5.2771806052429766e-05,2.7966270009528733e-05,4.066146954048334e-05,5.1415756684514616e-05,7.368490477553728e-05,6.743454182638529e-05,2.5112154101143507e-05,4.1933871469759196e-05,4.799388858358908e-05,3.074350371203575e-05,1.2358291426515967e-05,1.6490445238764317e-05,3.1218712297919444e-05,5.9841872258152316e-05,4.4293045073513956e-05,7.695481988605764e-05,7.966421462608764e-05,1.5311034959593058e-05,3.4968038352939695e-05,2.1537131922222784e-05,1.7001899076171245e-05,5.557302463610544e-05,6.709401724077209e-05,4.010106216257766e-05,4.6185785638909424e-05,3.636652636324319e-05,4.916742157507418e-05,5.4387169439147954e-05,2.7564780131819e-05,5.9722164120394075e-05,4.223439310479266e-05,2.483899315187362e-05,3.662520067266793e-05,5.742147463514161e-05,1.5195263457205253e-05,1.7918785507209523e-05,3.684780552546074e-05,3.196638057465532e-05,3.4364096079840954e-05,1.4524700084498935e-05,5.007733084709307e-05,4.202231780314767e-05,2.827387936946065e-05,6.559631922118631e-05,4.846820078965777e-05,5.499945450925757e-05,3.9086964234485806e-05,4.3661978823826524e-05,2.089717426593742e-05,6.32818760203508e-05
COLANSYN-PWY,1.8744016078365695e-05,8.601832368799214e-05,1.4900798348788008e-05,7.309353868261434e-05,1.908934291968652e-05,4.90289371404406e-05,3.340880255569855e-05,4.955931447074538e-05,9.053723691412982e-05,4.8651053509743205e-05,5.7103676990067486e-05,4.35443488339348e-05,7.77526016461314e-05,5.266660145144397e-05,4.906092249164423e-05,2.463951540405718e-05,2.941934519096169e-05,3.22368768031022e-05,5.4716460139878256e-05,2.4500281041503437e-05,3.8272292802855925e-05,3.8850166878350774e-05,2.1328803582082813e-05,4.118976717255704e-05,2.1350929323069918e-05,5.538724308181732e-05,3.15535368674699e-05,3.302267175256629e-05,5.588365108734267e-05,3.71187961514586e-05,6.373619806759809e-05,1.9775668238680346e-05,7.499875666997128e-05,3.434079481987212e-05,2.132847904512449e-05,6.67890642490848e-05,7.648226646288403e-05,3.413231458500426e-05,4.0566482886347476e-05,4.3817753471069375e-05,4.726819699685235e-05,3.3005607192437876e-05,4.325202168853122e-05,7.25219237314133e-05,3.7838696630057546e-05,7.69692932283022e-05,4.606865271854811e-05,5.9548767885806495e-05,2.9135147353592732e-05,3.65658059893854e-05,3.0368387785699207e-05,2.3394291669184227e-05,4.2215770381654867e-05,3.133287709505216e-05,2.498591166054567e-05,2.8310440514806448e-05,2.808393108371111e-05,3.382657145928555e-05
GLUCONEO-PWY,8.122815126012848e-05,7.424117977601594e-05,3.255178800649151e-05,0.00012605259045367744,4.0617928179651385e-05,4.221573182658046e-05,9.168962609118224e-05,4.630722413291383e-05,7.369582911156187e-05,4.7428773864979436e-05,4.408653954501128e-05,3.198090801703101e-05,6.661493780149748e-05,6.924352464913124e-05,5.041391819986128e-05,3.809399629497491e-05,3.268572222110025e-05,5.412558118609825e-05,7.724242755434717e-05,4.5424097487889056e-05,5.1729269018845434e-05,8.818485832693925e-05,3.1689370851792825e-05,8.219196800099993e-05,4.644104861508641e-05,2.271339779927098e-05,6.374157862879551e-05,5.732034069653446e-05,3.414975710412147e-05,3.7211012152490135e-05,6.061769026352685e-05,5.271855773947868e-05,8.212770203894295e-05,6.415384676047041e-05,6.615529808654623e-05,2.2757130447900355e-05,6.160571802533495e-05,8.400357967697451e-05,6.719298864030855e-05,3.1689772952202814e-05,5.434102751807447e-05,4.679262814938057e-05,3.364297324666098e-05,9.94240620097081e-05,8.168472652343478e-05,8.308326929303026e-05,4.044535013284311e-05,6.448473220295212e-05,6.909240512344448e-05,5.355449234404845e-05,4.070848096746086e-05,5.337595830637311e-05,3.551594645838996e-05,5.180591852717678e-05,5.668557811360723e-05,3.388972463310433e-05,5.359119198428923e-05,7.935220870095411e-05
PWY-7115,9.385788872509445e-06,1.089510692223372e-05,6.00289815404907e-06,6.209912488683941e-05,1.1378744114923306e-05,9.125036252127187e-06,8.316328890389494e-06,8.515615118990643e-06,1.1774116179527105e-05,7.813415726066834e-06,6.685233265225953e-06,2.4253055643520505e-05,2.5700954927953048e-05,2.1054221756243778e-05,1.0703769385432472e-05,7.022823773084499e-06,8.118875705578065e-06,1.1410688777308229e-05,1.713141972648834e-05,1.6504303759786103e-05,9.49490097003776e-06,8.165644737982506e-06,1.344704131504974e-05,1.0694338620696902e-05,2.09899416737053e-05,6.661333851097212e-06,1.74421423616381e-05,9.39824197351571e-06,1.157303572606229e-05,7.3932493179817746e-06,1.1005682889635057e-05,5.628953480372573e-06,8.056029567762517e-06,1.3237500200307571e-05,2.3127181265245805e-05,8.83535339593859e-06,1.1466168189353429e-05,8.33395783815071e-06,7.764652081872274e-06,1.4234239780702753e-05,6.020754545875793e-06,8.024517255560475e-06,7.1727379943995864e-06,1.7013898212999487e-05,3.341362662152314e-05,9.816131742935985e-06,1.7554405867437032e-05,1.0503894552240746e-05,1.4976020779416992e-05,1.4614350332882e-05,1.2372347019005976e-05,7.519104599980558e-06,7.353265284466517e-06,8.548824256912793e-06,1.658111804056471e-05,1.3179076586802344e-05,1.2722808130267663e-05,7.480366777167874e-06
P163-PWY,5.14762969514781e-08,4.80289761533045e-08,4.4677950598171566e-08,2.825222711492704e-08,5.1481957633929576e-08,5.134751360727235e-08,4.943660553309264e-08,5.1717152682061596e-08,4.6961957407953345e-08,2.7289182255768916e-08,5.155937602784186e-08,5.14735287843574e-08,5.1641227928511735e-08,4.950852694831174e-08,5.1666294170063975e-08,5.1297409270065114e-08,5.1368101808444485e-08,5.148694175821073e-08,5.156343299579435e-08,5.4638216262463084e-08,5.1483641658284335e-08,5.1356562595004224e-08,5.190818486032781e-08,5.1292365527107486e-08,5.128144456076689e-08,5.147651136413681e-08,5.146689425185873e-08,3.979661811770178e-08,5.1446647420203695e-08,4.7921454327565966e-08,5.157848424672187e-08,5.137541615792176e-08,4.260876859525198e-08,4.9739424384042564e-08,5.1667711825389866e-08,3.962966281016306e-08,4.5225680534229286e-08,5.148460616945612e-08,4.404963203829958e-08,4.60736666419316e-08,5.143432307724061e-08,5.1300898222498507e-08,5.1415926918976655e-08,5.053851343492961e-08,5.150676753008517e-08,5.003845235338664e-08,5.164836654474986e-08,5.473210568253263e-08,5.146911319490763e-08,5.134166184676967e-08,5.042687304655927e-08,5.132621765989235e-08,5.1347822140552644e-08,2.9129238221758316e-08,5.472817422938468e-08,5.163276066058736e-08,5.1490037393915036e-08,2.8270806168139226e-08
1CMET2-PWY,8.08748464727375e-05,0.00011264777664499974,5.8854838836220126e-05,0.00010836058072177175,0.00010696742016025073,9.852427545972813e-05,0.00010646762878728963,0.00010420925637044842,0.0001678962691303153,8.3205611278697e-05,0.00010742275257256537,0.0001008007661912354,8.796251769714601e-05,9.374862088317849e-05,9.850535374514519e-05,0.00012628458938999633,7.309434567439121e-05,6.437549105300992e-05,7.8569328493091e-05,7.888404027488109e-05,7.506396942628504e-05,8.979905449177197e-05,8.2370959052648e-05,8.343497346229111e-05,6.968687856624774e-05,7.536211173566867e-05,0.00013164724811265947,4.117329274286914e-05,9.084908666391739e-05,8.734643208874387e-05,0.00012008033772781692,9.447142495648004e-05,0.00011137904536419594,8.496155598950025e-05,0.00010368173384834273,0.00011593423142587702,0.00013942884985850142,0.00011941670790796202,0.0001151014995018521,9.917712366363908e-05,8.559825119272363e-05,6.98340955623508e-05,9.667139367696015e-05,0.0001319597367501105,8.712936021932605e-05,0.00010883743672581438,0.00011298422417408682,8.086093895351666e-05,0.00011314477116310839,0.00010456402106455006,0.00012699240562255432,0.00010642612278961187,9.492548265514823e-05,0.00014181026481122273,9.381910141895841e-05,0.00010997965839098913,8.914381412241104e-05,7.683745841515482e-05
PWY-2201,9.307426364002615e-05,8.334579162357299e-05,8.542403196174689e-05,7.343177225650547e-05,6.21345378474371e-05,6.524920309395037e-05,2.7338298074497246e-05,8.647404074223258e-05,0.00011764090232402494,3.2469891360852164e-05,8.876618813401395e-05,6.489324846044302e-05,9.142884552757823e-05,7.920845310999378e-05,6.056173890085706e-05,0.0001071574839142743,4.379303693073578e-05,4.3218858817332346e-05,7.082042071568326e-05,3.157003609178188e-05,4.727964463334047e-05,9.301069202798653e-05,9.07350893118867e-05,9.112180206497288e-05,4.519665294857296e-05,6.143806617349613e-05,8.288387619391756e-05,4.836108531903449e-05,9.814913941571373e-05,3.137393737279451e-05,9.764123892487218e-05,8.978061007625817e-05,9.185308613332171e-05,7.367626071550163e-05,2.9561688717313598e-05,7.37693420482176e-05,9.544764609204469e-05,8.647099766073071e-05,7.73577383614893e-05,4.490310196932805e-05,4.391358750106776e-05,7.740905680607184e-05,8.697430468958691e-05,8.09352212872771e-05,6.503933111665833e-05,9.457074498447725e-05,8.384161419316028e-05,6.623789338296344e-05,3.401719896457101e-05,4.9351287536813657e-05,0.00010349028244980855,2.8845900698412923e-05,5.528561842959562e-05,3.722274623308521e-05,3.160242550289101e-05,3.313323625893688e-05,7.579218929138744e-05,2.774135084724242e-05
