,SRR6915091_500K_merged_Abundance.RPKs,SRR6915092_500K_merged_Abundance.RPKs,SRR6915093_500K_merged_Abundance.RPKs,SRR6915094_500K_merged_Abundance.RPKs,SRR6915095_500K_merged_Abundance.RPKs,SRR6915096_500K_merged_Abundance.RPKs,SRR6915097_500K_merged_Abundance.RPKs,SRR6915098_500K_merged_Abundance.RPKs,SRR6915099_500K_merged_Abundance.RPKs,SRR6915100_500K_merged_Abundance.RPKs,SRR6915101_500K_merged_Abundance.RPKs,SRR6915102_500K_merged_Abundance.RPKs,SRR6915113_500K_merged_Abundance.RPKs,SRR6915115_500K_merged_Abundance.RPKs,SRR6915116_500K_merged_Abundance.RPKs,SRR6915118_500K_merged_Abundance.RPKs,SRR6915119_500K_merged_Abundance.RPKs,SRR6915120_500K_merged_Abundance.RPKs,SRR6915121_500K_merged_Abundance.RPKs,SRR6915122_500K_merged_Abundance.RPKs,SRR6915123_500K_merged_Abundance.RPKs,SRR6915124_500K_merged_Abundance.RPKs,SRR6915137_500K_merged_Abundance.RPKs,SRR6915138_500K_merged_Abundance.RPKs,SRR6915139_500K_merged_Abundance.RPKs,SRR6915140_500K_merged_Abundance.RPKs,SRR6915141_500K_merged_Abundance.RPKs,SRR6915142_500K_merged_Abundance.RPKs,SRR6915143_500K_merged_Abundance.RPKs,SRR6915144_500K_merged_Abundance.RPKs,SRR6915145_500K_merged_Abundance.RPKs,SRR6915146_500K_merged_Abundance.RPKs,SRR6915157_500K_merged_Abundance.RPKs,SRR6915158_500K_merged_Abundance.RPKs,SRR6915159_500K_merged_Abundance.RPKs,SRR6915160_500K_merged_Abundance.RPKs,SRR6915161_500K_merged_Abundance.RPKs,SRR6915162_500K_merged_Abundance.RPKs,SRR6915163_500K_merged_Abundance.RPKs,SRR6915164_500K_merged_Abundance.RPKs,SRR6915165_500K_merged_Abundance.RPKs,SRR6915166_500K_merged_Abundance.RPKs,SRR6915188_500K_merged_Abundance.RPKs,SRR6915189_500K_merged_Abundance.RPKs,SRR6915190_500K_merged_Abundance.RPKs,SRR6915191_500K_merged_Abundance.RPKs,SRR6915192_500K_merged_Abundance.RPKs,SRR6915193_500K_merged_Abundance.RPKs,SRR6915194_500K_merged_Abundance.RPKs,SRR6915201_500K_merged_Abundance.RPKs,SRR6915202_500K_merged_Abundance.RPKs,SRR6915203_500K_merged_Abundance.RPKs,SRR6915204_500K_merged_Abundance.RPKs,SRR6915205_500K_merged_Abundance.RPKs,SRR6915206_500K_merged_Abundance.RPKs,SRR6915207_500K_merged_Abundance.RPKs,SRR6915208_500K_merged_Abundance.RPKs,SRR6915209_500K_merged_Abundance.RPKs,SRR6915210_500K_merged_Abundance.RPKs,SRR6915211_500K_merged_Abundance.RPKs,SRR6915212_500K_merged_Abundance.RPKs,SRR6915213_500K_merged_Abundance.RPKs,SRR6915214_500K_merged_Abundance.RPKs,SRR6915215_500K_merged_Abundance.RPKs,SRR6915216_500K_merged_Abundance.RPKs,SRR6915217_500K_merged_Abundance.RPKs,SRR6915218_500K_merged_Abundance.RPKs,SRR6915219_500K_merged_Abundance.RPKs,SRR6915220_500K_merged_Abundance.RPKs,SRR6915221_500K_merged_Abundance.RPKs,SRR6915222_500K_merged_Abundance.RPKs,SRR6915223_500K_merged_Abundance.RPKs,SRR6915224_500K_merged_Abundance.RPKs,SRR6915225_500K_merged_Abundance.RPKs,SRR6915226_500K_merged_Abundance.RPKs,SRR6915227_500K_merged_Abundance.RPKs,SRR6915228_500K_merged_Abundance.RPKs,SRR6915229_500K_merged_Abundance.RPKs,SRR6915230_500K_merged_Abundance.RPKs
PHOSLIPSYN-PWY,2.73414864180021e-05,3.138296694949399e-05,3.692586788340022e-05,0.00010731223667231334,0.00014264515151054033,0.00014165827065850195,5.931435934597978e-05,0.00016129155430570074,7.244521753588116e-05,4.975658290329457e-05,4.1003572618841456e-05,8.719857628457635e-05,3.642500536457548e-05,0.00010572750251841941,2.6552796049786306e-05,3.1118139644694384e-05,4.2111316803855844e-05,5.5347521602614633e-05,3.828990773897338e-05,7.206025208628854e-05,3.0605199839124445e-05,2.580855307783287e-05,3.8878196638215316e-05,5.2706925885904147e-05,6.633891325797998e-05,3.869018351037362e-05,5.175009008567691e-05,6.338236644633474e-05,3.8359874798854114e-05,3.449867397240373e-05,3.132664001320197e-05,4.098420242462684e-05,9.659113614153772e-05,2.8511343061000023e-05,6.06840600387487e-05,8.930583416399688e-05,3.837180437191973e-05,4.998626487712436e-05,4.1210503880200904e-05,4.602187567376501e-05,2.164181549310158e-05,3.762761642529024e-05,6.288799035464944e-05,3.238332898563869e-05,4.648112126016649e-05,1.9691351355812044e-05,2.3134787521496287e-05,3.2536704530821034e-05,5.803197992878957e-05,8.846943027718444e-05,5.199466769212459e-05,5.00491899456834e-05,4.198821692926873e-05,4.72875208109743e-05,2.85050077701279e-05,4.481282590405125e-05,2.5968139102237266e-05,3.829980510853204e-05,3.6265597696480165e-05,2.2928609237527484e-05,2.883779084285778e-05,4.0214588136095094e-05,6.455830981229764e-05,2.0763717539804342e-05,5.619607678271158e-05,3.1074559438531796e-05,3.330316092599502e-05,0.00013658882984251983,6.202371188946011e-05,7.916682357596192e-05,6.64529515473583e-05,3.400295421635412e-05,3.55416543839319e-05,8.776031249477818e-05,4.9529977764135614e-05,2.491968055195752e-05,2.3167490914670094e-05,5.109872206293002e-05,3.080996390757044e-05
PWY-5981,6.603127745053487e-06,3.9111491064035835e-05,2.4990686622758436e-05,3.605352539629041e-05,3.625833608773434e-05,0.00012521938194445714,2.839209707539618e-05,0.0001557767147196335,1.4432292580344618e-05,3.072279803196726e-05,3.221993061678424e-05,1.5099158483283567e-05,2.9941705265936194e-05,5.0320999749342956e-05,2.7636339719426846e-05,2.9657699587118878e-05,1.8798643174058133e-05,2.544646665993959e-05,3.4862119974566746e-05,2.8054066522282524e-05,4.063527805942454e-05,3.322116042322361e-05,4.3012322304433015e-05,5.771265435406836e-06,9.239989939856167e-06,2.8317696613026605e-05,1.4897252188446529e-05,2.616338451984156e-05,7.4301771822632e-06,3.313432495122962e-05,2.4689746554652476e-05,1.2763670420265962e-05,3.4138272256981504e-05,3.915797070218302e-05,3.2451974705690574e-05,2.296601925207949e-05,3.407285829759849e-05,2.5310330327941988e-05,3.67742481816858e-05,3.132413280858816e-05,2.4351763336668934e-05,2.6576498372032547e-05,3.053808486687896e-05,2.905451669173556e-05,3.0283776122609934e-05,1.0122537605949342e-05,2.8100974468546022e-05,2.543631811760259e-05,2.9011572611988106e-05,3.777785882507487e-05,3.2959316769773295e-05,2.5885788833485112e-05,9.214788338787186e-06,2.9936814369918214e-05,2.0737901702772706e-05,2.0808797798757675e-05,3.1059134244315786e-05,2.1374021786041615e-05,2.336869175450383e-05,2.3025301817325605e-05,1.3023756829614152e-05,3.30969928294515e-05,3.3365892524212425e-05,8.607326997185672e-05,2.6583742730609857e-05,3.475154388403226e-05,3.1480027348278376e-05,2.5620863342164464e-05,1.7469153681085566e-05,5.693609354016559e-06,2.1707761926481323e-05,2.6975490986386752e-05,2.4472516347789502e-05,9.37538250650664e-05,3.994960391098794e-06,2.6023012338700484e-05,2.5202133684345024e-05,3.349897908221571e-05,2.6686341877002187e-05
PWY0-1319,0.000121397063534818,6.137414301073719e-05,5.8721093211935155e-05,0.00016375489854614407,0.00013897278714978278,0.00012957152474484101,0.00010823395533370969,0.00015674979101978247,0.00010224975514861934,7.436879117015367e-05,8.414098125804845e-05,0.00011533371706582346,8.383674127213709e-05,0.00011670503466361921,8.405452354922508e-05,4.223618177665564e-05,0.0001376995870858058,6.856111600710579e-05,0.000103281514170075,0.00011073644008850999,8.174380170925167e-05,7.98851221671165e-05,9.155815577459417e-05,0.00011013543980938295,0.00013650180848249422,0.00010784161229418001,0.00012200817661826979,8.301032090489367e-05,7.355888555140518e-05,9.774700821073374e-05,2.9114648762441988e-05,0.00012917314165679069,0.00011298782021907443,8.098846693517853e-05,0.00010474042394857468,0.00013632589373601433,7.287580916829415e-05,9.328509140841587e-05,9.518166696076096e-05,0.00014637742974776585,1.8083510730737337e-05,4.968483735080471e-05,0.00011030793818056875,8.464629693490484e-05,0.00012533558563186873,2.515781842962256e-05,9.159546016460762e-05,9.662867005319043e-05,8.242569059309855e-05,0.00015383012991764997,8.876344147917978e-05,6.603776774359524e-05,8.608974269034212e-05,8.869549016178952e-05,4.04845832886119e-05,9.769460283810316e-05,0.00013679027614006974,4.640467203132164e-05,5.854448169462479e-05,2.380935598993139e-05,8.844167740164437e-05,9.173910167287613e-05,9.707139088341521e-05,0.00010699036358756793,6.833894886558862e-05,8.357281362250896e-05,8.284523263788602e-05,0.00015881488880394563,7.670773614117822e-05,0.0001350097587966227,9.476872116478312e-05,6.058998142427338e-05,7.49404801446795e-05,0.00010692950709576842,8.375941287926831e-05,0.00010151220417410177,3.5189010552640926e-05,8.608113706581141e-05,2.5852713064687696e-05
PWY4FS-7,1.5893428957705902e-05,2.3585036193647335e-05,2.256924985209567e-05,8.16836251147787e-05,0.00013251557722726828,0.00013875119273607474,4.5684882937080143e-05,0.00015443189840163362,7.705763364329256e-05,4.024829146269628e-05,2.8654718213221948e-05,7.677512268772491e-05,2.6031085245917146e-05,8.443346204718515e-05,2.4252575743648975e-05,2.2337788918492365e-05,2.135435375866614e-05,4.257824951485139e-05,2.5358903657120182e-05,4.554378804569988e-05,2.1656696049764237e-05,1.6099283104485367e-05,2.280478045709692e-05,3.6456852399808464e-05,4.983386482635662e-05,2.380548287870759e-05,3.666871806884188e-05,5.061944792813952e-05,2.738452119373567e-05,2.3592661777948552e-05,2.4493232186549525e-05,2.1882195242332482e-05,8.767941695350872e-05,1.7966074838618606e-05,4.695647424253461e-05,7.126198204863517e-05,2.231670971403542e-05,3.4251805815032764e-05,2.5137815614766033e-05,3.215827067979263e-05,1.7075866682868012e-05,2.547604444040029e-05,4.7834490277557745e-05,2.2725407421808096e-05,3.0702621020866905e-05,1.4372817096956574e-05,1.5513072134127314e-05,2.9853701926268927e-05,4.3515567569920945e-05,6.352846409381633e-05,3.0446915450592047e-05,4.302204832226138e-05,3.065939101726205e-05,3.226410285187875e-05,2.109229128955318e-05,3.6595667248633995e-05,1.4418670955339724e-05,3.177315966360318e-05,2.9557474675000005e-05,1.6351582572412027e-05,2.052095939799014e-05,5.98032423029468e-05,5.294399782434549e-05,2.6667209027507038e-05,4.1728432011206774e-05,2.421139691250441e-05,2.2333714968258047e-05,0.0001279314680141173,5.0220952092001474e-05,8.746764493998067e-05,5.29370971775356e-05,2.4309596599049497e-05,2.3114166375225513e-05,7.748600010179688e-05,3.746504342479592e-05,1.6618226390160845e-05,1.6914233288402906e-05,3.1776088372014264e-05,2.8029983317780064e-05
COLANSYN-PWY,8.738884206585888e-05,2.7193404689058955e-05,1.9787470490074016e-05,0.00011940346046994953,3.980132333970044e-05,6.738036637678932e-05,4.0877887974287696e-05,6.817382742685513e-05,6.916550180333301e-05,3.424960216302286e-05,1.7764147617746028e-05,6.438843674940294e-05,4.89214452746765e-05,7.337581217344774e-05,3.0164038790122588e-05,4.455483909829247e-05,2.6586091544654472e-05,5.050080035482918e-05,2.4787349568726255e-05,6.216870230098971e-05,5.957906270005567e-05,2.5822085442865346e-05,3.494686803154119e-05,3.191967209128238e-05,4.511380073544546e-05,3.321184556664869e-05,0.0001058031577736973,3.834714145306394e-05,5.6459893710686385e-05,3.383021390411725e-05,2.367038912554946e-05,0.00010220982510368859,0.00011260342030556534,3.0220769550547623e-05,3.612900822485348e-05,8.064354735225375e-05,2.305600409368021e-05,4.175723402839293e-05,9.607261690698604e-05,6.063686888140511e-05,2.1696956364002514e-05,2.1384768426036442e-05,3.769849413835687e-05,2.6291538200071816e-05,4.836076308012176e-05,1.2262960169495077e-05,4.4367520109059e-05,5.398694537015959e-05,7.331469355034302e-05,0.00013966688146291103,7.900211664543206e-05,5.295623987138354e-05,4.4766306934420505e-05,3.206208068737566e-05,3.233285737949406e-05,2.0755591475481332e-05,2.5310726576481197e-05,4.2338522584308706e-05,1.8236353318318284e-05,2.7990040137232294e-05,3.754353946470403e-05,0.00011284304960243195,3.456487160497195e-05,3.4100500982767236e-05,3.037374451632398e-05,2.4366547839175815e-05,2.4520054471956245e-05,8.677193376526959e-05,3.240389142819257e-05,5.051710660787406e-05,3.989227071233258e-05,2.290436107931383e-05,2.8684243705443248e-05,7.877729012556652e-05,5.4956370546029373e-05,6.113534051121795e-05,3.683343480002759e-05,6.699629066713154e-05,3.3189929542101694e-05
GLUCONEO-PWY,0.00012065352584019184,4.2772537078452875e-05,4.642792823560073e-05,0.0001276563707614986,0.00016571035240355245,0.00016346583798258318,5.273625658492911e-05,0.00017116855591160426,4.745974576384653e-05,4.558741300319407e-05,3.61203956284963e-05,9.778351273611886e-05,4.282997213470745e-05,6.78842213512186e-05,3.3589878486402044e-05,3.584495954751184e-05,3.2132287189742145e-05,8.915008303992387e-05,7.157634208276196e-05,4.191590245966589e-05,5.357899801853476e-05,4.069007337933191e-05,4.331006759931453e-05,8.549939181200878e-05,4.4177221502317424e-05,6.623719900398496e-05,0.00011478777652592703,3.988037779063388e-05,9.711722656396293e-05,3.3750611946736015e-05,4.3174492855923144e-05,9.661604219360494e-05,9.95588363880135e-05,6.174014075714943e-05,5.609374359046355e-05,9.028806721768362e-05,6.954744715268786e-05,4.909593513339062e-05,6.461106177846964e-05,6.327698245055584e-05,4.14187388685221e-05,3.3974302968472796e-05,5.91481840783956e-05,6.742102565709702e-05,3.3561341373760714e-05,4.317906188864801e-05,7.05802914097543e-05,5.456843733983909e-05,5.984041547770841e-05,8.995258705268879e-05,4.2926998853885436e-05,9.624664373136617e-05,6.540124795717489e-05,7.357006794094695e-05,7.733191440707153e-05,4.8109591202275825e-05,6.288868528286821e-05,6.862579280922994e-05,5.1965427593672236e-05,6.236987502497535e-05,3.86088384912415e-05,7.000829124044719e-05,3.192270714967953e-05,3.406065573696853e-05,0.00010919565536524355,4.3996081460117186e-05,5.680909204075111e-05,0.00015878719378440383,3.327325919259883e-05,0.00010818188314129798,3.161277686401759e-05,5.9260318342915354e-05,4.31852727795577e-05,0.0001318775926741911,4.604206928871292e-05,3.752026583327877e-05,4.029203038108506e-05,1.8594714882946336e-05,5.622186831997723e-05
PWY-7115,1.7656316141909165e-05,4.734373771780784e-06,2.737615771344509e-06,6.7062843590436995e-06,5.189237784223073e-05,8.01893342587129e-05,1.8372564670438855e-06,8.273096591701239e-05,6.8776265253030154e-06,6.908549757080261e-06,1.3102475975740088e-06,1.4166434845478744e-05,6.601183545430621e-06,3.2887921899353854e-06,3.2003302221696554e-06,1.0209060278784566e-06,3.4202249990223007e-06,2.5553119026800528e-06,8.96295918097664e-07,2.4334085953452585e-06,4.855074733114359e-06,5.398394888491107e-06,3.6683434738183017e-06,4.14466353257542e-06,2.404009785178445e-06,1.627936658454386e-06,3.3491461914818984e-05,2.8402565169767937e-06,5.046327294760074e-06,7.845040903286273e-07,4.362633378111703e-06,1.110530013255886e-05,4.015661865218458e-05,3.255734169167706e-06,2.8116720969226934e-06,2.0989133463649066e-05,7.943913425149559e-07,2.9279816303128705e-06,1.1835489626269646e-05,4.873972193126801e-06,8.05354961504884e-07,1.4919011130760313e-06,3.437727869604575e-06,3.485092728953263e-06,1.6314163824556435e-06,1.9779249085364737e-06,2.2911897601362354e-06,3.7386873506770368e-06,7.748659525420799e-06,1.5353761268425217e-05,1.0659191794401279e-06,1.938007000576843e-05,9.559509651237512e-06,1.4755812090647347e-06,2.4307451070790104e-05,1.946769345564263e-06,2.744259621918866e-06,2.158962949526908e-05,1.4020208044575682e-06,3.0673308439013367e-06,6.193691230165826e-07,1.7854555989238253e-05,2.5076290074765113e-06,7.092849383334882e-06,1.4225197465281716e-06,6.998324157647946e-06,1.381618072580163e-05,5.6368357615636986e-05,2.0092013016109506e-06,4.723922680140083e-05,4.2750198154334125e-06,1.5648211519147922e-06,1.6678366710338636e-06,7.274886656086269e-05,2.65224829391531e-06,3.568428097941551e-06,7.980185519411321e-07,4.671741625772778e-06,1.8034754488031632e-05
P163-PWY,2.8051005121190843e-08,2.661847019154184e-08,2.6115053802642547e-08,5.788769236353907e-08,2.2466898261235942e-08,2.85181623556483e-08,2.6400885800606035e-08,3.1466751889972154e-08,3.1733845023634004e-08,2.9698346577453578e-08,2.6971495999990474e-08,6.165956682661831e-08,6.479952127570342e-08,3.1286506146948956e-08,2.7696548094894687e-08,2.6446599498781442e-08,2.6262050854123255e-08,3.066362473968837e-08,5.352991718797858e-08,5.2608430417545654e-08,2.616741743116096e-08,3.069078594759539e-08,2.6580157080219507e-08,6.112873634534325e-08,2.9661135976501033e-08,3.036991671147695e-08,3.0957374522207496e-08,3.0636565359135745e-08,2.6486781239218916e-08,3.070962720845084e-08,2.6952263168843253e-08,3.1047511752345147e-08,3.0486171752638395e-08,2.643959182952153e-08,5.070793696804099e-08,3.0912613028360026e-08,2.8404166860052245e-08,2.6166196515674936e-08,2.5412551625451553e-08,2.9449874904715115e-08,2.6036176276458467e-08,2.5950866869660617e-08,2.9770975697985686e-08,2.722386875621071e-08,5.617491561678268e-08,6.406551872921606e-08,2.9403215889085762e-08,2.6293686304768317e-08,3.174925256878242e-08,2.7932210683353587e-08,5.821272544304908e-08,2.7675544985347577e-08,6.267236198720804e-08,2.7064152539962926e-08,5.1812778962306836e-08,2.6751522574903695e-08,6.496470752461897e-08,2.6781694023946124e-08,2.8002868767336005e-08,2.61596159713137e-08,2.5060468677857632e-08,2.9825059881528496e-08,5.22992041424093e-08,2.5379047461542145e-08,2.579490170607386e-08,2.7824451113488286e-08,3.064609934795051e-08,2.4153007053646776e-08,2.7103330605640744e-08,2.9232253802348453e-08,3.172021602482964e-08,2.648940924815438e-08,3.0665255848650326e-08,6.495201293470693e-08,1.6027773572170683e-05,2.792210345171508e-08,4.704065214054929e-08,5.501229130272197e-08,5.8482079050783803e-08
1CMET2-PWY,0.00015145811094812302,6.411157626403925e-05,0.00013078760549843963,0.000148566537189038,0.00013188358344939783,0.00016505155896647935,9.725423156846357e-05,0.00016149282730219328,9.842764068407772e-05,7.89557862176946e-05,0.00012746492590911594,0.00012307539833714785,7.364868531385952e-05,8.16693443487992e-05,0.00010011661134577236,0.00012059519338517863,0.0001785888909584503,9.577262835509601e-05,8.043556652411414e-05,0.00013823595686978082,9.730493679933684e-05,8.163784163132724e-05,0.00011621796471607336,0.00011006443879166982,9.887845337873666e-05,0.00015333671746719095,0.00013845521246834742,0.00010168081047571217,8.703810773249787e-05,0.00010317085958528316,5.7687989885325854e-05,0.00013819999065908003,8.723836630776244e-05,8.7647714930403e-05,6.290299672871534e-05,0.00010527900503566712,0.00012235133969709086,8.182201276430405e-05,0.0001018936033226401,9.998559022188412e-05,5.50952382017371e-05,0.00010542965277764198,0.00011439152965216412,9.283873331224085e-05,8.634904978646413e-05,6.63523101610171e-05,9.022672002117098e-05,9.334514823635174e-05,0.00013187593087715698,8.453377123000407e-05,0.00010961936857371557,8.776757140936506e-05,8.490054678885587e-05,0.0001007942072346017,9.219404529734331e-05,0.00012199505741482647,0.000142525758977568,7.52099662073933e-05,8.341397601103253e-05,6.060335515889956e-05,7.798288164915684e-05,0.00010020097293055595,9.334945440984338e-05,0.00011567671678954831,0.00011170997959966465,0.0001597727651032424,6.573046673646124e-05,0.00015416091569471596,9.555316272988615e-05,0.0001426255989960288,0.00011868523071441848,8.290331668860549e-05,0.00011545855998325431,0.00013809240136736554,0.00011394656012276249,4.614265548209074e-05,8.646001525657256e-05,0.00010882784434713613,0.00014666779082145686
PWY-2201,7.768253170411938e-05,4.2018781252837085e-05,4.1655168077682604e-05,7.824967157581192e-05,3.4878155902564256e-05,8.194387150500369e-05,9.777591396165337e-05,3.774193487479999e-05,9.866866938406181e-05,8.431784358635118e-05,7.825020332705031e-05,8.673355328549596e-05,5.796959402642893e-05,6.173980359338895e-05,3.711404942405185e-05,5.785905345225525e-05,6.358408195412526e-05,6.647842693665332e-05,2.6174195528981776e-05,9.807032550361361e-05,7.463621269800201e-05,7.152584532527814e-05,3.31776804633955e-05,9.307288142478404e-05,8.781251729997853e-05,0.0001008701021049589,8.126525649106637e-05,6.108730202893087e-05,7.489672544513846e-05,4.4473179776349256e-05,1.3952633798681646e-05,0.00010572568295648091,7.614550155571108e-05,7.133405870891435e-05,4.926460275264457e-05,7.200961974781895e-05,2.6907584937280543e-05,2.9259297786123175e-05,0.00010161891926797304,9.13712499846471e-05,3.6127044730851715e-05,4.270559265211884e-05,8.668017442217938e-05,7.680268884772638e-05,9.014692053465751e-05,2.3528392642130386e-05,4.57046126189247e-05,5.541164344017985e-05,0.0001248833605354472,0.0001060883370969211,0.00011187686233753658,4.1491872766463504e-05,8.118426949044617e-05,8.969778557012506e-05,4.0886778006698936e-05,7.049815189519938e-05,0.0001521316830088907,6.0925732046406603e-05,6.462643461938482e-05,3.0364796250677405e-05,2.860471978812311e-05,6.1677634439413e-05,6.819565645821428e-05,3.115828148971235e-05,9.646250482630099e-05,3.779590379634871e-05,3.668342469101299e-05,0.0001035910219226494,8.500358136281748e-05,8.533476431739343e-05,8.526037323363965e-05,2.6601267077448487e-05,5.4850263741473395e-05,9.344427495356227e-05,0.0001139534905387731,5.0056755070946634e-05,2.7107183398107353e-05,7.057586543124916e-05,3.4948692671041325e-05
