#OTU ID	ERR688505_merged_Abundance.RPKs	ERR688506_merged_Abundance.RPKs	ERR688507_merged_Abundance.RPKs	ERR688508_merged_Abundance.RPKs	ERR688509_merged_Abundance.RPKs	ERR688510_merged_Abundance.RPKs	ERR688511_merged_Abundance.RPKs	ERR688512_merged_Abundance.RPKs	ERR688513_merged_Abundance.RPKs	ERR688514_merged_Abundance.RPKs	ERR688515_merged_Abundance.RPKs	ERR688516_merged_Abundance.RPKs	ERR688517_merged_Abundance.RPKs	ERR688518_merged_Abundance.RPKs	ERR688519_merged_Abundance.RPKs	ERR688520_merged_Abundance.RPKs	ERR688521_merged_Abundance.RPKs	ERR688522_merged_Abundance.RPKs	ERR688523_merged_Abundance.RPKs	ERR688524_merged_Abundance.RPKs	ERR688525_merged_Abundance.RPKs	ERR688526_merged_Abundance.RPKs	ERR688527_merged_Abundance.RPKs	ERR688528_merged_Abundance.RPKs	ERR688529_merged_Abundance.RPKs	ERR688530_merged_Abundance.RPKs	ERR688531_merged_Abundance.RPKs	ERR688532_merged_Abundance.RPKs	ERR688533_merged_Abundance.RPKs	ERR688534_merged_Abundance.RPKs	ERR688535_merged_Abundance.RPKs	ERR688536_merged_Abundance.RPKs	ERR688537_merged_Abundance.RPKs	ERR688538_merged_Abundance.RPKs	ERR688539_merged_Abundance.RPKs	ERR688540_merged_Abundance.RPKs	ERR688541_merged_Abundance.RPKs	ERR688542_merged_Abundance.RPKs	ERR688543_merged_Abundance.RPKs	ERR688544_merged_Abundance.RPKs	ERR688545_merged_Abundance.RPKs	ERR688546_merged_Abundance.RPKs	ERR688547_merged_Abundance.RPKs	ERR688548_merged_Abundance.RPKs	ERR688549_merged_Abundance.RPKs	ERR688550_merged_Abundance.RPKs	ERR688551_merged_Abundance.RPKs	ERR688552_merged_Abundance.RPKs	ERR688553_merged_Abundance.RPKs	ERR688554_merged_Abundance.RPKs	ERR688555_merged_Abundance.RPKs	ERR688556_merged_Abundance.RPKs	ERR688557_merged_Abundance.RPKs	ERR688558_merged_Abundance.RPKs	ERR688559_merged_Abundance.RPKs	ERR688560_merged_Abundance.RPKs	ERR688561_merged_Abundance.RPKs	ERR688562_merged_Abundance.RPKs	ERR688563_merged_Abundance.RPKs	ERR688564_merged_Abundance.RPKs	ERR688565_merged_Abundance.RPKs	ERR688566_merged_Abundance.RPKs	ERR688567_merged_Abundance.RPKs	ERR688568_merged_Abundance.RPKs	ERR688569_merged_Abundance.RPKs	ERR688570_merged_Abundance.RPKs	ERR688571_merged_Abundance.RPKs	ERR688572_merged_Abundance.RPKs	ERR688573_merged_Abundance.RPKs	ERR688574_merged_Abundance.RPKs	ERR688575_merged_Abundance.RPKs	ERR688576_merged_Abundance.RPKs	ERR688577_merged_Abundance.RPKs	ERR688578_merged_Abundance.RPKs	ERR688579_merged_Abundance.RPKs	ERR688580_merged_Abundance.RPKs	ERR688581_merged_Abundance.RPKs	ERR688582_merged_Abundance.RPKs	ERR688583_merged_Abundance.RPKs	ERR688584_merged_Abundance.RPKs	ERR688585_merged_Abundance.RPKs	ERR688586_merged_Abundance.RPKs	ERR688587_merged_Abundance.RPKs	ERR688588_merged_Abundance.RPKs	ERR688589_merged_Abundance.RPKs	ERR688590_merged_Abundance.RPKs	ERR688591_merged_Abundance.RPKs	ERR688592_merged_Abundance.RPKs	ERR688593_merged_Abundance.RPKs	ERR688594_merged_Abundance.RPKs	ERR688595_merged_Abundance.RPKs	ERR688596_merged_Abundance.RPKs	ERR688597_merged_Abundance.RPKs	ERR688598_merged_Abundance.RPKs	ERR688599_merged_Abundance.RPKs	ERR688600_merged_Abundance.RPKs	ERR688601_merged_Abundance.RPKs	ERR688602_merged_Abundance.RPKs	ERR688603_merged_Abundance.RPKs	ERR688604_merged_Abundance.RPKs	ERR688605_merged_Abundance.RPKs	ERR688606_merged_Abundance.RPKs	ERR688607_merged_Abundance.RPKs	ERR688608_merged_Abundance.RPKs	ERR688609_merged_Abundance.RPKs	ERR688610_merged_Abundance.RPKs	ERR688611_merged_Abundance.RPKs	ERR688612_merged_Abundance.RPKs	ERR688613_merged_Abundance.RPKs	ERR688614_merged_Abundance.RPKs	ERR688615_merged_Abundance.RPKs	ERR688616_merged_Abundance.RPKs	ERR688617_merged_Abundance.RPKs	ERR688618_merged_Abundance.RPKs	ERR688619_merged_Abundance.RPKs	ERR688620_merged_Abundance.RPKs	ERR688621_merged_Abundance.RPKs	ERR688622_merged_Abundance.RPKs	ERR688623_merged_Abundance.RPKs	ERR688624_merged_Abundance.RPKs	ERR688625_merged_Abundance.RPKs	ERR688626_merged_Abundance.RPKs	ERR688627_merged_Abundance.RPKs	ERR688628_merged_Abundance.RPKs	ERR688629_merged_Abundance.RPKs	ERR688630_merged_Abundance.RPKs	ERR688631_merged_Abundance.RPKs	ERR688632_merged_Abundance.RPKs	ERR688633_merged_Abundance.RPKs	ERR688634_merged_Abundance.RPKs	ERR688635_merged_Abundance.RPKs	ERR688636_merged_Abundance.RPKs	ERR688637_merged_Abundance.RPKs	ERR688638_merged_Abundance.RPKs	ERR688639_merged_Abundance.RPKs	ERR688640_merged_Abundance.RPKs	ERR688641_merged_Abundance.RPKs	ERR688642_merged_Abundance.RPKs	ERR688643_merged_Abundance.RPKs	ERR688644_merged_Abundance.RPKs	ERR688645_merged_Abundance.RPKs	ERR688646_merged_Abundance.RPKs	ERR688647_merged_Abundance.RPKs	ERR688648_merged_Abundance.RPKs	ERR688649_merged_Abundance.RPKs	ERR688650_merged_Abundance.RPKs	ERR688651_merged_Abundance.RPKs	ERR710424_merged_Abundance.RPKs	ERR710425_merged_Abundance.RPKs	ERR710426_merged_Abundance.RPKs	ERR710427_merged_Abundance.RPKs	ERR710428_merged_Abundance.RPKs	ERR710429_merged_Abundance.RPKs	ERR710430_merged_Abundance.RPKs	ERR710431_merged_Abundance.RPKs	ERR710432_merged_Abundance.RPKs
UNMAPPED	0.177616	0.267626	0.194296	0.235088	0.204801	0.19753	0.176379	0.194617	0.112491	0.261018	0.284887	0.196872	0.380708	0.194374	0.180302	0.203048	0.188045	0.193257	0.246762	0.287051	0.271689	0.185272	0.26925	0.268184	0.236863	0.201575	0.141875	0.132847	0.186912	0.0709744	0.169694	0.176159	0.200788	0.185406	0.183807	0.228174	0.134872	0.179396	0.122565	0.241377	0.222119	0.236778	0.266974	0.161367	0.198305	0.186328	0.271644	0.197566	0.336831	0.164991	0.215576	0.224699	0.116072	0.291295	0.233745	0.0862792	0.169057	0.124794	0.170246	0.234225	0.255059	0.190861	0.209664	0.21078	0.246617	0.175327	0.253812	0.195449	0.208198	0.246367	0.220713	0.217188	0.154007	0.22123	0.243811	0.153065	0.193462	0.368122	0.15736	0.161737	0.232701	0.211584	0.196791	0.155649	0.298332	0.247573	0.165059	0.230851	0.229801	0.148928	0.10369	0.206947	0.213498	0.168928	0.163392	0.264572	0.199263	0.181232	0.194825	0.236738	0.210136	0.197507	0.239507	0.207052	0.244202	0.344323	0.225249	0.167385	0.214267	0.36722	0.158226	0.159066	0.188359	0.25197	0.211412	0.181176	0.175962	0.244435	0.219916	0.246319	0.193665	0.304587	0.271986	0.196027	0.194893	0.275513	0.134302	0.111402	0.225071	0.234887	0.263556	0.196379	0.175207	0.0578205	0.188565	0.169547	0.195727	0.240952	0.166871	0.237934	0.211371	0.197048	0.195287	0.11245	0.198019	0.165465	0.225501	0.245948	0.191668	0.216285	0.232315	0.223615	0.236225	0.198915	0.221521	0.238232
UNGROUPED	0.704727	0.629043	0.692466	0.665753	0.674059	0.681542	0.691135	0.675651	0.734285	0.633704	0.621125	0.680537	0.546094	0.691087	0.686197	0.685977	0.684344	0.682513	0.643158	0.630453	0.633229	0.695994	0.64088	0.641412	0.667655	0.678725	0.713002	0.734182	0.693534	0.762737	0.694088	0.700162	0.6562	0.692593	0.683292	0.66157	0.743806	0.696699	0.741128	0.665789	0.668047	0.648829	0.627778	0.695731	0.682068	0.690444	0.641836	0.677557	0.565196	0.698204	0.664681	0.660241	0.73888	0.613186	0.65507	0.74458	0.697791	0.721992	0.686987	0.650289	0.640267	0.682229	0.677499	0.675073	0.6571	0.722339	0.639092	0.68432	0.687979	0.655525	0.683607	0.679244	0.718008	0.68676	0.664188	0.695444	0.700389	0.561032	0.746967	0.702779	0.64242	0.690574	0.689297	0.705705	0.605159	0.65204	0.697817	0.656549	0.6683	0.70538	0.730492	0.667889	0.675864	0.696743	0.693829	0.650434	0.704451	0.695172	0.68639	0.667068	0.67246	0.66757	0.654643	0.675878	0.64692	0.569636	0.660749	0.687621	0.658764	0.563659	0.693993	0.702193	0.685732	0.64925	0.684248	0.700633	0.690165	0.640621	0.662018	0.655583	0.695083	0.608946	0.636819	0.683132	0.691787	0.639306	0.728819	0.729348	0.679728	0.666567	0.644126	0.693269	0.749642	0.789055	0.7061	0.690247	0.694258	0.666916	0.762589	0.670791	0.6822	0.698221	0.694454	0.787923	0.701209	0.731775	0.67082	0.664948	0.722063	0.690134	0.679564	0.685093	0.673726	0.682108	0.683762	0.674744
1.1.1.1	0.000225888	0.00012929	0.000159634	8.46775e-05	0.000150731	0.000222227	0.000206439	0.000184929	0.000370015	0.000125764	0.000160287	0.000169805	3.88891e-05	0.000173358	0.000226198	7.7049e-05	0.000227061	0.000235309	0.000128054	0.000148257	7.68699e-05	0.000188261	7.12303e-05	7.80997e-05	9.02594e-05	0.000153726	0.000220681	0.000412586	0.000231706	0.000453671	0.000237032	0.000265801	0.000228044	0.000145812	0.000430154	0.000132987	0.000200509	0.000111265	0.000198155	7.11352e-05	0.000139378	0.000172325	9.80427e-05	0.000346181	0.000202532	0.000150597	5.9319e-05	0.000210169	0.00010359	0.000291881	0.000162878	0.000219035	0.000304831	8.35586e-05	0.000150366	0.000575593	0.00015846	0.000314156	0.000461987	0.00016528	0.000180796	0.000135475	0.000178225	0.000129419	9.00223e-05	0.000175535	0.000271293	0.000172859	0.000134445	0.000111505	6.61743e-05	0.000119825	0.000253281	4.48549e-05	6.03478e-05	0.000388873	0.000104489	4.98959e-05	0.000129992	0.000227812	0.000237585	8.71747e-05	0.000206896	0.000167562	0.000122853	0.000147569	0.000231476	0.000217825	9.20136e-05	0.000294944	0.000430262	0.00020361	0.000158714	0.00019233	0.000275444	8.24618e-05	0.000109748	0.000133539	0.000168016	9.08e-05	0.000202946	0.000452485	0.00012903	0.000144206	0.000161111	7.12643e-05	0.000130057	0.000268635	0.000185931	5.89461e-05	0.000324175	0.000219408	0.000196876	0.000116476	7.67806e-05	0.000155985	0.000186269	0.000182203	0.000190344	0.000104032	0.000121818	6.74643e-05	0.000126744	0.000148391	0.000148052	5.97901e-05	0.000294452	0.000390327	5.36445e-05	0.000111484	9.57375e-05	0.00017727	5.71529e-05	0.000506229	0.000112428	0.000236585	0.000126427	0.000107798	3.38298e-05	2.74251e-05	0.000270946	8.20602e-05	0.000137662	1.72837e-05	0.000109884	5.90147e-05	0.000182376	4.44726e-05	3.48419e-05	0.000153947	7.75219e-05	4.30755e-05	7.64721e-05	0.000156607	9.11495e-05	6.88488e-05
1.1.1.100	0.000363603	0.00026633	0.000301132	0.000149787	0.000356014	0.00051301	0.000636393	0.000540862	0.000454978	0.000290654	0.000252873	0.000250902	8.50363e-05	0.000350579	0.000479795	0.000194025	0.000520063	0.00050298	0.000293451	0.000165612	0.000221955	0.00039703	0.000249347	0.00013778	0.000202366	0.000353146	0.00084979	0.000336252	0.000389019	0.000496637	0.000495112	0.000464356	0.00085486	0.000400639	0.000522674	0.000300217	0.00042812	0.00038344	0.000552436	0.000168077	0.000281582	0.000387376	0.000253097	0.000446796	0.000533256	0.000412297	0.000139473	0.000305978	0.000309694	0.000535475	0.000331199	0.000295111	0.000491519	0.000154945	0.000225396	0.000422115	0.000819879	0.000652485	0.000643099	0.000342915	0.000286241	0.000372284	0.000355052	0.000425844	0.000149512	0.000239101	0.000423334	0.000484346	0.000242933	0.000187201	0.000192357	0.00024308	0.000367234	0.000215834	0.000190906	0.00035532	0.000236129	0.000100982	0.000214133	0.000529237	0.000449722	0.000264354	0.000389843	0.000625713	0.000133378	0.00024734	0.000564067	0.000277162	0.000209877	0.000377893	0.000545408	0.000478184	0.000304408	0.000506097	0.0006562	0.000167569	0.000254153	0.000502448	0.000344995	0.000164655	0.000385995	0.000514509	0.00037346	0.000332365	0.000359907	0.000172313	0.000294852	0.000526828	0.000362714	0.000152708	0.000585524	0.000613578	0.000436189	0.000234058	0.000282138	0.000353734	0.000573157	0.000464017	0.000438775	0.000183384	0.000305303	0.000157919	0.000204945	0.000438613	0.000358965	0.000119257	0.000383306	0.000464975	0.000181924	0.000234828	0.000217647	0.000336827	8.73996e-05	0.000508608	0.000281949	0.000695046	0.00037024	0.000250934	5.69911e-05	0.000205035	0.000239962	0.0002311	0.000341929	3.61052e-05	0.000243865	0.000229069	0.000275203	0.000137477	0.00015956	0.000294887	0.000151968	0.000166966	0.000196989	0.000420165	0.000190824	0.000173552
1.1.1.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.81053e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.99943e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5161e-07	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.103	5.04972e-05	4.42635e-05	4.56433e-05	8.60087e-05	4.00492e-05	3.68923e-05	3.62525e-05	4.06515e-05	0.000186064	6.25915e-05	3.22415e-05	7.74205e-05	6.45581e-05	3.57842e-05	5.9877e-05	2.94087e-05	4.76645e-05	6.83186e-05	3.41474e-05	5.04668e-05	2.50449e-05	3.07246e-05	3.90637e-05	1.62621e-05	2.61125e-05	1.48011e-05	8.82469e-05	4.97946e-05	6.51268e-05	0.000296462	4.15104e-05	8.07721e-05	9.19052e-05	4.41354e-05	6.45714e-05	3.74489e-05	0.000128956	7.45353e-05	9.91007e-05	1.93938e-05	4.14151e-05	2.66146e-05	2.99226e-05	0.000229385	6.60944e-05	4.02836e-05	3.88978e-05	8.52116e-05	3.43774e-05	7.49823e-05	3.18251e-05	1.80161e-05	0.000158949	2.57818e-05	4.57718e-05	0.000222746	8.54566e-05	0.000147408	0.000133695	4.82853e-05	3.99244e-05	2.61894e-05	6.79974e-05	0.00011104	0.000103215	0.000107811	5.64562e-05	4.13535e-05	4.09326e-05	7.12941e-05	3.98176e-05	2.76578e-05	0.000147007	3.72228e-05	2.93326e-05	0.000163699	5.28895e-05	6.60026e-05	8.22433e-05	5.8315e-05	4.88231e-05	2.1643e-05	5.56914e-05	6.0384e-05	5.07989e-05	4.33467e-05	9.60356e-05	4.17833e-05	2.51295e-05	3.94651e-05	0.000259903	2.65087e-05	1.55746e-05	2.41895e-05	4.98348e-05	7.85613e-05	3.11038e-05	6.68998e-05	4.69033e-05	4.43605e-05	2.86976e-05	0.000145488	4.45654e-05	3.41642e-05	6.65013e-05	3.42385e-05	2.18849e-05	0.000137841	5.38083e-05	1.63889e-05	5.75392e-05	6.23785e-05	6.95614e-05	3.5171e-05	5.91257e-05	3.21674e-05	0.000110174	3.24919e-05	4.63048e-05	5.18473e-05	4.44011e-05	4.5309e-05	2.28264e-05	3.18069e-05	5.99946e-05	2.90861e-05	0.000195483	0.000233875	1.63391e-05	4.5039e-05	3.78489e-05	6.02119e-05	7.07497e-06	0.000262786	4.07211e-05	8.25158e-05	0.000102025	3.57904e-05	1.02567e-05	4.97528e-05	9.65587e-05	2.71708e-05	9.12971e-05	1.39553e-05	2.71589e-05	4.62254e-05	8.36196e-05	3.33291e-05	4.79836e-05	3.92907e-05	1.26867e-05	3.30855e-05	1.97387e-05	2.9481e-05	2.5608e-05	3.24356e-05
1.1.1.105	2.27612e-07	0	0	0	0	0	0	0	3.30091e-07	0	0	0	0	0	1.84814e-07	0	0	0	0	0	0	0	0	0	0	0	9.579e-07	0	0	0	0	0	1.9782e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41877e-06	0	0	0	0	2.15557e-07	0	0	0	0	0	0	0	0	0	0	0	2.45444e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31136e-07	0	0	0	0	0	0	0	0	1.63169e-07	0	0	0	3.72378e-07	0	0	0	0	0	8.53901e-07	0	0	0	0	0	0	0	0	4.54498e-07	0	0	0	0	1.90793e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.107	0	0	0	0	2.20416e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62824e-07	0	0	0	2.21732e-07	0	0	1.87792e-06	0	4.77925e-05	5.87001e-08	8.39261e-08	0	0	0	0	0	0	2.33044e-05	1.83328e-06	0	0	0	5.90581e-07	0	0	3.79519e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88155e-07	0	0	0	7.54049e-07	1.4356e-05	0	0	0	0	0	0	1.557e-05	0	0	0	0	0	0	0	0	0	0	0	0	3.11008e-07	0	0	0	0	2.89713e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57765e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96484e-06	0	0	0	0	2.22738e-07	0	0	0	1.52828e-05	0	0	2.68647e-07	0	1.72519e-07	0	1.10948e-06	0	0	0	0	0	0	0	0	0	2.10391e-07	0	0	0
1.1.1.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90486e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67542e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.21251e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
