#OTU ID	SRR6915091_merged_Abundance.RPKs	SRR6915092_merged_Abundance.RPKs	SRR6915093_merged_Abundance.RPKs	SRR6915094_merged_Abundance.RPKs	SRR6915095_merged_Abundance.RPKs	SRR6915096_merged_Abundance.RPKs	SRR6915097_merged_Abundance.RPKs	SRR6915098_merged_Abundance.RPKs	SRR6915099_merged_Abundance.RPKs	SRR6915100_merged_Abundance.RPKs	SRR6915101_merged_Abundance.RPKs	SRR6915102_merged_Abundance.RPKs	SRR6915113_merged_Abundance.RPKs	SRR6915115_merged_Abundance.RPKs	SRR6915116_merged_Abundance.RPKs	SRR6915118_merged_Abundance.RPKs	SRR6915119_merged_Abundance.RPKs	SRR6915120_merged_Abundance.RPKs	SRR6915121_merged_Abundance.RPKs	SRR6915122_merged_Abundance.RPKs	SRR6915123_merged_Abundance.RPKs	SRR6915124_merged_Abundance.RPKs	SRR6915137_merged_Abundance.RPKs	SRR6915138_merged_Abundance.RPKs	SRR6915139_merged_Abundance.RPKs	SRR6915140_merged_Abundance.RPKs	SRR6915141_merged_Abundance.RPKs	SRR6915142_merged_Abundance.RPKs	SRR6915143_merged_Abundance.RPKs	SRR6915144_merged_Abundance.RPKs	SRR6915145_merged_Abundance.RPKs	SRR6915146_merged_Abundance.RPKs	SRR6915157_merged_Abundance.RPKs	SRR6915158_merged_Abundance.RPKs	SRR6915159_merged_Abundance.RPKs	SRR6915160_merged_Abundance.RPKs	SRR6915161_merged_Abundance.RPKs	SRR6915162_merged_Abundance.RPKs	SRR6915163_merged_Abundance.RPKs	SRR6915164_merged_Abundance.RPKs	SRR6915165_merged_Abundance.RPKs	SRR6915166_merged_Abundance.RPKs	SRR6915188_merged_Abundance.RPKs	SRR6915189_merged_Abundance.RPKs	SRR6915190_merged_Abundance.RPKs	SRR6915191_merged_Abundance.RPKs	SRR6915192_merged_Abundance.RPKs	SRR6915193_merged_Abundance.RPKs	SRR6915194_merged_Abundance.RPKs	SRR6915201_merged_Abundance.RPKs	SRR6915202_merged_Abundance.RPKs	SRR6915203_merged_Abundance.RPKs	SRR6915204_merged_Abundance.RPKs	SRR6915205_merged_Abundance.RPKs	SRR6915206_merged_Abundance.RPKs	SRR6915207_merged_Abundance.RPKs	SRR6915208_merged_Abundance.RPKs	SRR6915209_merged_Abundance.RPKs	SRR6915210_merged_Abundance.RPKs	SRR6915211_merged_Abundance.RPKs	SRR6915212_merged_Abundance.RPKs	SRR6915213_merged_Abundance.RPKs	SRR6915214_merged_Abundance.RPKs	SRR6915215_merged_Abundance.RPKs	SRR6915216_merged_Abundance.RPKs	SRR6915217_merged_Abundance.RPKs	SRR6915218_merged_Abundance.RPKs	SRR6915219_merged_Abundance.RPKs	SRR6915220_merged_Abundance.RPKs	SRR6915221_merged_Abundance.RPKs	SRR6915222_merged_Abundance.RPKs	SRR6915223_merged_Abundance.RPKs	SRR6915224_merged_Abundance.RPKs	SRR6915225_merged_Abundance.RPKs	SRR6915226_merged_Abundance.RPKs	SRR6915227_merged_Abundance.RPKs	SRR6915228_merged_Abundance.RPKs	SRR6915229_merged_Abundance.RPKs	SRR6915230_merged_Abundance.RPKs
UNMAPPED	0.139424	0.400155	0.186847	0.10393	0.0441482	0.108811	0.200859	0.108048	0.199665	0.132502	0.148321	0.145242	0.0909606	0.171145	0.253879	0.132152	0.199206	0.178211	0.225635	0.20282	0.244985	0.254603	0.265357	0.189326	0.146203	0.192629	0.0965879	0.18959	0.177879	0.278234	0.120842	0.106061	0.10088	0.117293	0.226228	0.0826113	0.203307	0.174935	0.116884	0.199149	0.161954	0.239362	0.224722	0.157881	0.207502	0.114628	0.15875	0.165461	0.137363	0.19886	0.11601	0.200067	0.153292	0.215495	0.273307	0.202454	0.12507	0.188176	0.217279	0.274566	0.281716	0.150355	0.25329	0.234467	0.176513	0.275173	0.168931	0.0998503	0.196362	0.141041	0.129886	0.203359	0.183805	0.153904	0.126523	0.200612	0.21969	0.226172	0.272283
UNGROUPED	0.745576	0.52531	0.733589	0.761146	0.788435	0.711012	0.713562	0.710508	0.709473	0.786279	0.772073	0.749507	0.843847	0.743707	0.659062	0.797415	0.69982	0.740463	0.68744	0.699952	0.666386	0.667053	0.647207	0.72121	0.769362	0.710607	0.773599	0.729205	0.725613	0.642554	0.810981	0.778089	0.785432	0.814256	0.693714	0.813027	0.699316	0.734567	0.789965	0.711692	0.76474	0.677854	0.680292	0.749417	0.699058	0.819399	0.749028	0.747026	0.767388	0.683468	0.809653	0.706707	0.759582	0.69226	0.639425	0.703655	0.775097	0.714656	0.700008	0.652162	0.644675	0.743137	0.667007	0.667675	0.73662	0.640032	0.737046	0.736473	0.725957	0.741657	0.783787	0.72809	0.731647	0.711579	0.77878	0.713206	0.711362	0.691922	0.603273
1.1.1.1	0.000106582	2.90244e-05	0.00013429	0.000280228	0.000543576	0.000315982	4.24683e-05	0.000261838	7.79149e-05	5.9556e-05	4.55304e-05	0.000148875	6.86611e-05	0.000181594	6.02497e-05	1.83893e-05	2.63064e-05	2.9581e-05	5.41049e-05	0.000120661	6.62812e-05	7.58454e-05	8.36384e-05	9.188e-05	7.86772e-05	6.36903e-05	0.000271787	2.9892e-05	6.26815e-05	5.98345e-05	2.90873e-05	0.000158512	0.000233037	3.92434e-05	6.97113e-05	0.000199237	2.85629e-06	5.99861e-05	8.26788e-05	5.82377e-05	1.05744e-05	3.91188e-05	8.2897e-05	7.46337e-05	4.46595e-05	1.22877e-05	7.2134e-05	5.03017e-05	8.12345e-05	0.000102331	1.9011e-05	0.000131103	7.97866e-05	5.0024e-05	6.1049e-05	3.39318e-05	6.28216e-05	0.000130155	2.89124e-05	5.32429e-05	4.35764e-05	0.000205531	6.38198e-05	6.32189e-05	5.32026e-05	5.87527e-05	9.99071e-05	0.00055596	7.06496e-05	0.000228484	3.94139e-05	7.93501e-05	4.54363e-05	0.000255813	3.69372e-05	0.000108766	1.35598e-05	3.3125e-05	0.000185949
1.1.1.100	0.000335353	8.29938e-05	0.000142142	0.000697382	0.000435808	0.000655959	0.00010941	0.000741281	0.00015803	0.00017178	0.000162592	0.000237479	0.000167387	0.000274154	0.000186128	3.00498e-05	0.000330106	0.000189477	0.000151602	0.000178027	0.000158843	0.000151398	0.000311421	0.000116307	0.000236231	0.000249019	0.000294911	0.000172857	0.00020273	0.000147305	6.74912e-05	0.000263284	0.000191316	0.000138569	0.000131207	0.000271964	2.57128e-05	0.000199085	0.000178235	0.000184734	2.68e-05	0.000130297	0.000163095	0.000268087	0.000139739	4.21856e-05	0.000253519	0.000164573	0.000224188	0.00039968	0.000144533	0.000288847	0.000197095	0.000184316	0.000159403	0.000151494	0.00024422	0.000284454	0.000132998	9.96259e-05	8.12034e-05	0.000325677	0.000107114	0.000116117	0.000199268	0.000127899	0.000155891	0.000461745	0.000113291	0.000257837	0.000152901	0.000102169	0.000139653	0.000442132	0.000259732	0.000188904	4.14645e-05	0.000125674	0.000755083
1.1.1.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.103	8.7156e-05	4.27295e-05	2.98328e-05	0.000131495	0.000207385	0.00016322	4.41819e-05	0.000205289	5.57383e-05	8.95284e-05	5.75766e-05	7.12973e-05	4.55167e-05	1.78875e-05	2.78625e-05	7.33398e-06	5.28834e-05	3.28143e-05	2.52858e-05	4.0248e-05	5.91722e-05	4.54122e-05	5.67239e-05	5.3312e-05	5.71462e-05	5.83451e-05	0.000124744	3.88341e-05	4.2532e-05	2.13526e-05	1.80739e-05	9.32649e-05	0.000145195	2.56905e-05	4.71675e-05	0.000114591	4.16785e-06	8.55809e-06	7.34703e-05	3.30498e-05	7.91544e-06	3.29845e-05	5.22455e-05	1.71172e-05	8.72344e-05	2.54029e-05	1.71035e-05	2.04474e-05	9.23968e-05	0.00023672	8.60224e-05	6.41003e-05	8.20942e-05	4.62853e-05	1.9673e-05	5.69507e-05	0.000134134	6.22836e-05	4.24105e-05	3.37731e-05	4.65963e-06	0.000104728	3.2431e-05	0.000127472	4.31619e-05	1.96733e-05	3.55875e-05	0.000147759	5.87494e-05	8.24479e-05	6.44249e-05	1.44249e-05	2.13995e-05	0.000222424	0.000148419	2.16274e-05	1.70036e-06	3.59351e-05	3.64504e-05
1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.63495e-07
1.1.1.107	1.5739e-05	0	3.86241e-07	1.26045e-05	5.14424e-08	6.91265e-05	0	7.83945e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23472e-06	0	0	0	0	0	0	0	3.47298e-07	0	0	0	0	0	0	8.21957e-07	2.52726e-06	0	0	0	5.47722e-07	0	0	0	0	0	4.08965e-06	2.33789e-06	0	0	0	0	0	0	0	0	0	0	0	7.92914e-06	0	3.6518e-06	0	0	1.99474e-06	7.2273e-08	0	0	3.70495e-07	9.13031e-07	0	0	0	6.07615e-07	0	0	0
1.1.1.108	0	0	0	4.05971e-06	0	0	0	0	0	0	0	0	0	4.6335e-06	0	0	0	0	0	0	0	0	9.31718e-06	0	0	0	0	0	0	0	0	0	3.99713e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92555e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.3993e-06	0	0	0	0	0	0	0	0	0	0	0
