#OTU ID	SRR6915103_merged_Abundance.RPKs	SRR6915104_merged_Abundance.RPKs	SRR6915105_merged_Abundance.RPKs	SRR6915106_merged_Abundance.RPKs	SRR6915107_merged_Abundance.RPKs	SRR6915108_merged_Abundance.RPKs	SRR6915109_merged_Abundance.RPKs	SRR6915110_merged_Abundance.RPKs	SRR6915111_merged_Abundance.RPKs	SRR6915112_merged_Abundance.RPKs	SRR6915114_merged_Abundance.RPKs	SRR6915117_merged_Abundance.RPKs	SRR6915125_merged_Abundance.RPKs	SRR6915126_merged_Abundance.RPKs	SRR6915127_merged_Abundance.RPKs	SRR6915128_merged_Abundance.RPKs	SRR6915129_merged_Abundance.RPKs	SRR6915130_merged_Abundance.RPKs	SRR6915131_merged_Abundance.RPKs	SRR6915132_merged_Abundance.RPKs	SRR6915133_merged_Abundance.RPKs	SRR6915134_merged_Abundance.RPKs	SRR6915135_merged_Abundance.RPKs	SRR6915136_merged_Abundance.RPKs	SRR6915147_merged_Abundance.RPKs	SRR6915149_merged_Abundance.RPKs	SRR6915150_merged_Abundance.RPKs	SRR6915151_merged_Abundance.RPKs	SRR6915152_merged_Abundance.RPKs	SRR6915153_merged_Abundance.RPKs	SRR6915155_merged_Abundance.RPKs	SRR6915156_merged_Abundance.RPKs	SRR6915167_merged_Abundance.RPKs	SRR6915168_merged_Abundance.RPKs	SRR6915169_merged_Abundance.RPKs	SRR6915170_merged_Abundance.RPKs	SRR6915171_merged_Abundance.RPKs	SRR6915172_merged_Abundance.RPKs	SRR6915173_merged_Abundance.RPKs	SRR6915174_merged_Abundance.RPKs	SRR6915175_merged_Abundance.RPKs	SRR6915176_merged_Abundance.RPKs	SRR6915177_merged_Abundance.RPKs	SRR6915178_merged_Abundance.RPKs	SRR6915179_merged_Abundance.RPKs	SRR6915180_merged_Abundance.RPKs	SRR6915181_merged_Abundance.RPKs	SRR6915182_merged_Abundance.RPKs	SRR6915183_merged_Abundance.RPKs	SRR6915184_merged_Abundance.RPKs	SRR6915185_merged_Abundance.RPKs	SRR6915186_merged_Abundance.RPKs	SRR6915195_merged_Abundance.RPKs	SRR6915196_merged_Abundance.RPKs	SRR6915197_merged_Abundance.RPKs	SRR6915198_merged_Abundance.RPKs	SRR6915199_merged_Abundance.RPKs	SRR6915200_merged_Abundance.RPKs
UNMAPPED	0.21041	0.157025	0.261476	0.136592	0.194252	0.200067	0.192443	0.227443	0.124959	0.185635	0.15754	0.172746	0.133957	0.158896	0.232523	0.247498	0.2387	0.320263	0.165174	0.216522	0.262609	0.17317	0.231509	0.218029	0.182513	0.240666	0.179116	0.229162	0.221823	0.220218	0.20481	0.242162	0.183356	0.332923	0.191262	0.186205	0.162196	0.158648	0.17223	0.197625	0.181251	0.172659	0.237604	0.187881	0.17559	0.162334	0.258778	0.206319	0.206586	0.190448	0.210711	0.164106	0.188505	0.179033	0.234894	0.225571	0.221681	0.162652
UNGROUPED	0.697788	0.731718	0.641772	0.738976	0.705409	0.695898	0.695549	0.668147	0.767754	0.706019	0.739453	0.721604	0.750001	0.743875	0.67012	0.66126	0.66078	0.594368	0.730158	0.689496	0.646496	0.730386	0.673834	0.680143	0.718732	0.664226	0.712981	0.68169	0.663573	0.680456	0.685373	0.657311	0.710368	0.585523	0.710517	0.700883	0.724874	0.736107	0.725814	0.696862	0.722417	0.745648	0.659677	0.702068	0.714755	0.725213	0.64549	0.702379	0.687419	0.712975	0.67839	0.743821	0.720922	0.707316	0.671323	0.674122	0.679607	0.743528
1.1.1.1	0.000111834	0.000124943	7.75028e-05	0.000317143	8.53501e-05	0.000103891	0.000128404	0.000106773	8.6114e-05	0.000130241	0.000101307	0.000122244	0.000214823	0.000133354	9.65664e-05	5.15424e-05	9.97642e-05	0.000108251	0.000103066	0.000112233	0.000105677	0.000143134	0.000120281	0.000133844	8.89238e-05	7.85805e-05	0.000117574	8.02938e-05	0.000131613	9.4872e-05	0.0001045	0.000134108	0.000139664	8.5178e-05	0.000103134	9.64016e-05	0.000110128	0.000113011	8.79812e-05	0.000160491	0.000107175	7.46701e-05	0.000120558	0.000104365	0.000157033	0.000124223	8.47088e-05	7.13287e-05	0.000162754	0.000113169	0.000125534	0.000100068	8.81243e-05	0.000154264	0.000103011	0.000139175	8.32713e-05	7.66567e-05
1.1.1.100	0.000162391	0.000263938	0.000178517	0.000287047	0.000312534	0.000257481	0.000341974	0.000252547	0.000292986	0.000293347	0.000248196	0.00027917	0.000309234	0.000227987	0.000176743	0.000102365	0.000241166	0.000182307	0.000282015	0.000171809	0.000189313	0.000184936	0.000221775	0.000238378	0.000230168	0.000230862	0.000285843	0.000201636	0.000359079	0.000231302	0.000329364	0.000220387	0.000224034	0.000195074	0.000237755	0.000292816	0.000304704	0.000220374	0.000290007	0.000241674	0.000259532	0.000151769	0.000309518	0.00029116	0.000280036	0.000305964	0.000178689	0.000147953	0.000270575	0.000224113	0.000283396	0.000213123	0.000183538	0.000304414	0.00022993	0.000230513	0.00019061	0.000177858
1.1.1.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.103	1.41757e-05	4.23351e-05	4.14024e-05	0.000127404	3.84502e-05	3.12126e-05	4.08308e-05	5.30147e-05	1.9836e-05	3.25752e-05	7.62205e-05	2.22348e-05	0.000115757	6.59932e-05	3.53463e-05	1.09296e-05	5.88643e-05	3.99252e-05	4.86831e-05	8.06285e-05	2.80413e-05	2.02494e-05	3.7153e-05	1.84021e-05	2.4136e-05	2.57924e-05	5.43206e-05	4.17728e-05	3.10524e-05	2.61831e-05	5.82687e-05	3.28233e-05	4.2851e-05	3.81063e-05	3.63779e-05	1.96149e-05	6.2221e-05	5.69407e-05	4.86804e-05	3.67619e-05	5.1611e-05	1.31524e-05	2.51956e-05	4.08552e-05	6.71639e-05	0.000105685	5.95421e-05	4.80388e-05	3.50384e-05	3.69416e-05	3.50864e-05	2.58999e-05	2.63429e-05	3.07975e-05	2.75514e-05	5.10788e-05	2.94058e-05	2.35357e-05
1.1.1.105	0	0	0	0	0	0	0	0	1.836e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01622e-07	0	0	0
1.1.1.107	0	1.69607e-07	0	0	0	0	0	0	0	0	0	0	0	7.31032e-08	4.48963e-07	0	0	0	0	0	0	0	0	0	4.6128e-07	0	0	0	0	0	0	0	0	0	2.4469e-07	0	0	1.41417e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13673e-07
1.1.1.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	0	0	2.4888e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.64663e-07	0	0	0	0	0	0	0	0	0	1.78038e-07	0	0	0	0	0	0	0	0	4.9761e-07	1.74105e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	1.05671e-06	0	0	0	0	0	0	0	0	1.63849e-07	0	0	0	0	0	0	6.95761e-07	0	0	0	0	0	0	4.92892e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76447e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9637e-07
1.1.1.122	4.68944e-06	3.38771e-05	4.00627e-06	6.74733e-07	6.94707e-06	6.6382e-06	1.0075e-05	2.0017e-05	5.44976e-05	1.04614e-05	3.10494e-05	1.4017e-05	4.73828e-06	6.75402e-06	6.36902e-06	6.20785e-07	5.29991e-06	3.43995e-06	1.20648e-05	6.62383e-06	2.89097e-06	4.23085e-06	8.5035e-06	1.08883e-06	2.551e-06	1.43319e-05	1.0433e-05	5.35832e-06	0	1.04494e-05	1.24865e-05	2.63991e-06	3.56139e-05	1.15801e-05	6.07234e-06	1.59114e-05	2.86507e-05	1.9882e-05	1.08064e-05	7.99165e-06	7.56072e-06	3.0665e-06	4.99789e-06	1.13399e-05	3.36311e-06	6.08084e-06	2.42466e-06	1.33558e-05	5.81769e-06	3.52963e-06	2.23231e-06	2.26792e-06	3.70459e-06	8.43899e-06	4.0995e-06	2.73211e-06	5.94524e-06	8.73465e-06
1.1.1.125	6.86267e-06	2.73802e-07	1.02747e-06	2.46853e-06	0	4.34506e-07	1.30379e-07	3.63941e-06	2.77333e-07	6.60099e-07	0	1.3819e-06	5.83009e-06	6.17199e-07	1.87186e-07	3.43372e-07	6.0811e-06	2.9773e-06	1.2225e-07	6.54654e-07	0	5.9668e-06	0	1.64047e-07	1.6938e-06	3.04865e-07	1.85282e-07	3.63775e-07	1.29123e-06	1.06641e-06	7.98837e-08	1.98261e-06	4.21687e-07	0	2.0068e-06	0	2.53319e-06	3.94324e-07	0	1.05385e-06	4.15633e-07	7.61182e-07	0	0	1.87283e-06	0	8.35553e-08	0	1.60436e-07	8.86122e-07	4.53923e-07	3.55485e-07	2.86759e-07	6.71733e-07	7.80727e-07	8.88177e-08	6.25347e-07	1.21808e-06
