"","SRR6915091_merged_Abundance","SRR6915092_merged_Abundance","SRR6915093_merged_Abundance","SRR6915094_merged_Abundance","SRR6915095_merged_Abundance","SRR6915096_merged_Abundance","SRR6915097_merged_Abundance","SRR6915098_merged_Abundance","SRR6915099_merged_Abundance","SRR6915100_merged_Abundance","SRR6915101_merged_Abundance","SRR6915102_merged_Abundance","SRR6915113_merged_Abundance","SRR6915115_merged_Abundance","SRR6915116_merged_Abundance","SRR6915118_merged_Abundance","SRR6915119_merged_Abundance","SRR6915120_merged_Abundance","SRR6915121_merged_Abundance","SRR6915122_merged_Abundance","SRR6915123_merged_Abundance","SRR6915124_merged_Abundance","SRR6915137_merged_Abundance","SRR6915138_merged_Abundance","SRR6915139_merged_Abundance","SRR6915140_merged_Abundance","SRR6915141_merged_Abundance","SRR6915142_merged_Abundance","SRR6915143_merged_Abundance","SRR6915144_merged_Abundance","SRR6915145_merged_Abundance","SRR6915146_merged_Abundance","SRR6915157_merged_Abundance","SRR6915158_merged_Abundance","SRR6915159_merged_Abundance","SRR6915160_merged_Abundance","SRR6915161_merged_Abundance","SRR6915162_merged_Abundance","SRR6915163_merged_Abundance","SRR6915164_merged_Abundance","SRR6915165_merged_Abundance","SRR6915166_merged_Abundance","SRR6915188_merged_Abundance","SRR6915189_merged_Abundance","SRR6915190_merged_Abundance","SRR6915191_merged_Abundance","SRR6915192_merged_Abundance","SRR6915193_merged_Abundance","SRR6915194_merged_Abundance","SRR6915201_merged_Abundance","SRR6915202_merged_Abundance","SRR6915203_merged_Abundance","SRR6915204_merged_Abundance","SRR6915205_merged_Abundance","SRR6915206_merged_Abundance","SRR6915207_merged_Abundance","SRR6915208_merged_Abundance","SRR6915209_merged_Abundance","SRR6915210_merged_Abundance","SRR6915211_merged_Abundance","SRR6915212_merged_Abundance","SRR6915213_merged_Abundance","SRR6915214_merged_Abundance","SRR6915215_merged_Abundance","SRR6915216_merged_Abundance","SRR6915217_merged_Abundance","SRR6915218_merged_Abundance","SRR6915219_merged_Abundance","SRR6915220_merged_Abundance","SRR6915221_merged_Abundance","SRR6915222_merged_Abundance","SRR6915223_merged_Abundance","SRR6915224_merged_Abundance","SRR6915225_merged_Abundance","SRR6915226_merged_Abundance","SRR6915227_merged_Abundance","SRR6915228_merged_Abundance","SRR6915229_merged_Abundance","SRR6915230_merged_Abundance"
"UNMAPPED",0.13997,0.400951,0.187267,0.104471,0.0444793,0.110087,0.201373,0.109395,0.200249,0.13289,0.148688,0.145779,0.0911621,0.171722,0.25449,0.132369,0.199785,0.178641,0.226203,0.203488,0.24571,0.25527,0.266203,0.18992,0.146574,0.193239,0.0971446,0.190057,0.178384,0.278856,0.121022,0.106549,0.101381,0.117572,0.226773,0.0829867,0.203704,0.175392,0.117266,0.199691,0.162173,0.239904,0.225355,0.158332,0.208107,0.1148,0.159188,0.165925,0.13783,0.199761,0.116302,0.200664,0.153712,0.216083,0.274051,0.203025,0.125485,0.188739,0.217788,0.275136,0.282211,0.150908,0.253916,0.235168,0.176962,0.275846,0.169343,0.100654,0.196825,0.141638,0.130278,0.203736,0.184235,0.154856,0.126964,0.201174,0.220006,0.226695,0.273193
"UNINTEGRATED",0.798044,0.557338,0.767282,0.825441,0.870682,0.797654,0.751809,0.800187,0.750574,0.823547,0.806429,0.797297,0.872408,0.78284,0.69842,0.826939,0.745829,0.775264,0.724271,0.742391,0.704909,0.700544,0.68637,0.762797,0.807132,0.755016,0.834095,0.765219,0.767007,0.678663,0.837158,0.830916,0.839597,0.844411,0.728752,0.862199,0.737623,0.772236,0.831495,0.750307,0.793757,0.714541,0.721765,0.790109,0.740377,0.846019,0.790271,0.784059,0.809262,0.73718,0.844687,0.750554,0.798875,0.733686,0.679046,0.74526,0.820227,0.759736,0.73817,0.684159,0.676724,0.792173,0.702803,0.711372,0.774559,0.676732,0.7851,0.815939,0.759206,0.793617,0.821545,0.756174,0.76859,0.775395,0.823277,0.74922,0.739469,0.727259,0.656099
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1CMET2-PWY: folate transformations III (E. coli)",0.000402403,0.000443322,0.000502821,0.000328878,0.000280663,0.000367249,0.000366189,0.000340217,0.000320702,0.000335365,0.000498438,0.000357357,0.000228563,0.000282072,0.000506974,0.000420499,0.00062405,0.000393855,0.000338085,0.00049284,0.000374991,0.000344831,0.000384055,0.000341185,0.000375413,0.000498948,0.000333135,0.000410442,0.000374243,0.000461152,0.000252762,0.000351381,0.000237396,0.000317079,0.000299948,0.000262641,0.000295879,0.000314515,0.000370419,0.000417563,0.000275716,0.000481846,0.000476304,0.000410939,0.00042181,0.000259709,0.000427449,0.000400983,0.000424077,0.000307473,0.000375812,0.000313228,0.000310288,0.000435151,0.00032027,0.000479304,0.00044491,0.000351144,0.000392017,0.000344333,0.000320203,0.000311996,0.000368446,0.000458409,0.000432047,0.000544234,0.000327681,0.000334944,0.000360838,0.000337267,0.000370448,0.000321206,0.000480203,0.00032068,0.000367951,0.000288465,0.000396727,0.000376704,0.000198026
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",2.56368e-05,0,8.10575e-07,0,9.24384e-05,8.63678e-05,0,1.60368e-05,0,0,0,0,4.71737e-07,0,0,0,0,0,0,0,0,0,1.15782e-05,0,0,0,4.1798e-06,0,0,0,6.78881e-06,0,0,5.10205e-06,5.56688e-06,0,0,3.58746e-07,4.9405e-06,1.55986e-06,0,0,5.15777e-06,0,0,0,0,0,8.03024e-06,2.04029e-06,0,1.20522e-05,0,0,0,0,0,1.17222e-05,0,0,0,0,0,9.65503e-06,0,0,3.31794e-06,5.18222e-05,7.32735e-07,6.61637e-07,0,1.4062e-06,0,0,9.10285e-07,1.31163e-06,0,2.53332e-06,2.88201e-06
"AEROBACTINSYN-PWY: aerobactin biosynthesis",3.5852e-06,0,2.91047e-06,3.29218e-05,0.000203333,0,0,2.29652e-07,0,0,0,0,0,0,0,0,0,0,0,0,3.28073e-06,9.9134e-06,0,0,0,0,6.34783e-07,0,0,0,0,4.02846e-05,3.02112e-05,0,1.24424e-06,0,0,1.53601e-06,9.18902e-06,0,0,0,5.22924e-06,0,0,0,0,0,0,1.5726e-05,0,0,1.16079e-05,0,0,0,4.53183e-06,0,0,6.09348e-07,0,0,0,1.6599e-05,0,4.7951e-06,6.04735e-06,1.6726e-06,0,3.59695e-07,0,0,0,2.8738e-05,0,0,0,0,3.70853e-06
"ALL-CHORISMATE-PWY: superpathway of chorismate metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",0,6.16325e-07,5.99389e-06,5.13762e-07,6.81082e-07,0,3.047e-06,0,7.45925e-06,0,4.00879e-06,5.35618e-07,1.36624e-06,1.42194e-06,3.39672e-06,0,3.70167e-06,6.51487e-06,4.20261e-06,1.91995e-06,6.41485e-06,4.69784e-06,1.53421e-05,9.94023e-07,6.24586e-06,0,0,8.52991e-06,2.59556e-06,3.17459e-06,7.06452e-06,4.24048e-06,1.14468e-06,0,3.88669e-06,0,0,4.95739e-06,6.72906e-06,1.26188e-06,0,3.50639e-06,4.22007e-06,2.33749e-06,2.02174e-06,0,1.59394e-06,5.2159e-06,4.60954e-07,3.56673e-05,7.5561e-07,0,5.882e-06,3.77568e-06,5.96082e-06,7.86664e-06,0,4.37408e-07,4.95067e-06,2.0485e-06,1.34979e-06,0,0,8.95084e-07,4.57055e-06,3.43621e-06,1.02093e-05,1.62271e-05,6.60395e-06,1.4623e-05,9.66237e-06,2.20549e-06,0,1.1132e-06,6.3391e-06,2.29654e-06,1.75455e-06,8.7841e-07,5.02228e-06
"ANAEROFRUCAT-PWY: homolactic fermentation",0.000255941,0.000137219,0.000160846,0.000351965,0.000298706,0.000341184,0.000186044,0.000337961,0.000201384,0.000114371,0.000154549,0.000274832,0.000179041,0.000139852,0.000183519,6.40402e-05,0.00015789,0.000122421,0.000181569,0.000258984,0.00015777,0.000156507,0.000150575,0.000254907,0.000131991,0.000163129,0.000202509,0.000116091,0.000271483,0.0001118,0.000143267,0.000263003,0.000234301,0.000133366,0.00014616,0.00023212,6.837e-05,0.000152272,0.000223234,0.00019302,4.51636e-05,0.000121036,0.000195377,0.000256939,0.000291487,0.000157507,0.000233639,0.000170971,0.000241719,0.00025438,0.000150263,0.000229715,0.000216857,0.000236075,0.000243753,0.000217366,0.000167603,0.000254955,0.000190179,0.000157687,8.72083e-05,0.000230412,0.000194347,0.00019973,0.000266413,6.85793e-05,0.000198251,0.000337159,0.00026775,0.000322168,0.000217434,0.000145466,0.000229605,0.000306688,0.000207632,0.000131951,0.000132361,0.000163828,0.000255989
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.000420698,0.000339724,0.000306441,0.000458511,0.000450517,0.000413138,0.000290588,0.000441221,0.000414351,0.000390003,0.000377767,0.000396625,0.000331974,0.00028703,0.000506375,0.000491631,0.00025821,0.000482976,0.000315525,0.000521271,0.000392376,0.000338594,0.00026014,0.000359024,0.000339238,0.000313296,0.000316884,0.000433258,0.000546246,0.000328642,0.00059703,0.000395241,0.000325159,0.00028883,0.000322085,0.000302778,0.000288154,0.00037282,0.000368261,0.000488157,0.00014831,0.000401244,0.000398877,0.00051389,0.000429981,0.000446035,0.000505669,0.000492917,0.000407853,0.000466857,0.000285884,0.000340053,0.000378079,0.00048102,0.000378297,0.000417907,0.000394057,0.000362759,0.000380071,0.000294563,0.000282259,0.000335911,0.00032115,0.000344087,0.000608839,0.000182803,0.000374072,0.000422812,0.000391124,0.000407204,0.000443113,0.000274348,0.000466097,0.000407293,0.000427152,0.000447641,0.000512945,0.000290717,0.000661228
