"","SRR6915103_merged_Abundance","SRR6915104_merged_Abundance","SRR6915105_merged_Abundance","SRR6915106_merged_Abundance","SRR6915107_merged_Abundance","SRR6915108_merged_Abundance","SRR6915109_merged_Abundance","SRR6915110_merged_Abundance","SRR6915111_merged_Abundance","SRR6915112_merged_Abundance","SRR6915114_merged_Abundance","SRR6915117_merged_Abundance","SRR6915125_merged_Abundance","SRR6915126_merged_Abundance","SRR6915127_merged_Abundance","SRR6915128_merged_Abundance","SRR6915129_merged_Abundance","SRR6915130_merged_Abundance","SRR6915131_merged_Abundance","SRR6915132_merged_Abundance","SRR6915133_merged_Abundance","SRR6915134_merged_Abundance","SRR6915135_merged_Abundance","SRR6915136_merged_Abundance","SRR6915147_merged_Abundance","SRR6915149_merged_Abundance","SRR6915150_merged_Abundance","SRR6915151_merged_Abundance","SRR6915152_merged_Abundance","SRR6915153_merged_Abundance","SRR6915155_merged_Abundance","SRR6915156_merged_Abundance","SRR6915167_merged_Abundance","SRR6915168_merged_Abundance","SRR6915169_merged_Abundance","SRR6915170_merged_Abundance","SRR6915171_merged_Abundance","SRR6915172_merged_Abundance","SRR6915173_merged_Abundance","SRR6915174_merged_Abundance","SRR6915175_merged_Abundance","SRR6915176_merged_Abundance","SRR6915177_merged_Abundance","SRR6915178_merged_Abundance","SRR6915179_merged_Abundance","SRR6915180_merged_Abundance","SRR6915181_merged_Abundance","SRR6915182_merged_Abundance","SRR6915183_merged_Abundance","SRR6915184_merged_Abundance","SRR6915185_merged_Abundance","SRR6915186_merged_Abundance","SRR6915195_merged_Abundance","SRR6915196_merged_Abundance","SRR6915197_merged_Abundance","SRR6915198_merged_Abundance","SRR6915199_merged_Abundance","SRR6915200_merged_Abundance"
"UNMAPPED",0.210942,0.157553,0.262146,0.137278,0.194759,0.200649,0.193086,0.228135,0.12536,0.186229,0.158052,0.173274,0.134518,0.159393,0.233137,0.248199,0.239401,0.321109,0.16572,0.217144,0.263307,0.173624,0.232063,0.218645,0.182995,0.241317,0.179715,0.229716,0.222542,0.220811,0.205436,0.242805,0.183957,0.333713,0.191793,0.186798,0.162704,0.159213,0.172705,0.198216,0.181725,0.172987,0.23827,0.188466,0.176169,0.162861,0.259496,0.206891,0.207184,0.190987,0.211307,0.164481,0.188968,0.179591,0.235503,0.226249,0.222301,0.163029
"UNINTEGRATED",0.737289,0.783903,0.684212,0.796977,0.753555,0.742881,0.745507,0.714779,0.817064,0.755471,0.788089,0.768136,0.806134,0.789067,0.713838,0.699148,0.705805,0.630017,0.776807,0.73119,0.687486,0.772822,0.71751,0.724994,0.761973,0.706622,0.764304,0.721894,0.715668,0.724569,0.735843,0.701055,0.758515,0.621947,0.754215,0.752136,0.779579,0.783856,0.772701,0.74393,0.766596,0.781794,0.707662,0.751957,0.763777,0.777074,0.687238,0.740975,0.734205,0.755184,0.730342,0.784358,0.759292,0.759632,0.71273,0.720923,0.722734,0.784814
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1CMET2-PWY: folate transformations III (E. coli)",0.000354988,0.000480061,0.0004005,0.000307292,0.000475358,0.000488273,0.000415513,0.00048266,0.000534324,0.000436176,0.000426989,0.000477894,0.000315494,0.000375725,0.000441574,0.000465715,0.000411342,0.000369634,0.000444425,0.000329778,0.000378689,0.000364515,0.000431915,0.000439595,0.000403888,0.000460151,0.000453438,0.000411376,0.000512449,0.000452789,0.00044073,0.000395884,0.000434324,0.000382516,0.000416147,0.000490429,0.000502504,0.000416348,0.000456536,0.000399521,0.000472918,0.000336818,0.000471467,0.000423293,0.000372095,0.000521297,0.000472473,0.000414056,0.000436068,0.000455308,0.000530111,0.000404424,0.000455222,0.000537244,0.000421086,0.000404885,0.000459496,0.000426074
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",0,4.0546e-07,3.75746e-06,0,0,0,1.93996e-06,0,8.02734e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0683e-06,0,0,0,3.71794e-06,0,0,5.51341e-07,0,0,2.39796e-06,0,0,0,0,4.75275e-06,0,0,1.18858e-06,3.17941e-06,6.13369e-06,0,4.72234e-07,0,0,0,0,0,0,0,0,0,0,0
"AEROBACTINSYN-PWY: aerobactin biosynthesis",0,0,9.59069e-06,0,0,0,4.92399e-07,0,7.10596e-07,0,0,0,4.46588e-06,3.77042e-06,0,0,0,0,1.18615e-06,1.06289e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12762e-06,0,0,0,7.28856e-07,0,1.2246e-06,0,0,0
"ALL-CHORISMATE-PWY: superpathway of chorismate metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",7.33057e-06,4.30281e-06,7.4182e-06,2.16366e-05,7.37626e-06,8.95002e-06,1.04311e-05,1.18472e-05,7.63776e-07,0,1.3465e-05,6.57002e-06,1.10391e-05,8.33921e-06,9.16709e-06,0,2.11217e-06,2.96449e-06,9.24012e-06,1.47161e-06,1.17917e-06,4.36463e-06,1.20102e-06,1.39887e-06,8.17095e-06,3.51662e-06,6.61679e-06,7.35923e-07,2.46371e-06,3.94094e-06,2.66893e-06,4.03918e-06,0,2.92065e-06,6.27072e-06,1.00508e-05,0,5.51953e-06,1.52009e-06,2.09251e-05,5.41865e-06,1.50817e-06,8.72958e-07,6.23524e-06,1.91386e-05,4.90156e-06,2.44849e-06,8.3087e-06,7.59078e-06,1.01027e-05,1.43403e-06,4.17745e-06,5.61363e-06,8.67947e-06,1.91108e-06,4.83594e-06,0,3.05278e-06
"ANAEROFRUCAT-PWY: homolactic fermentation",0.000297766,0.000213949,0.000189145,0.000312806,0.000169089,0.000137496,0.000341545,0.000218794,0.000332849,0.000225806,0.000237091,0.00021086,0.000259117,0.000275835,0.000264896,0.00015856,0.000223224,0.000220342,0.000272121,0.000229096,0.0002622,0.000284679,0.000175337,0.000292559,0.000187091,0.000160551,0.000263775,0.000194591,0.00017912,0.000210783,0.000247941,0.000255701,0.000265359,0.000219113,0.00027228,0.000173705,0.000192479,0.000348279,0.000224559,0.000259287,0.000149375,0.000106963,0.000153392,0.000361968,0.00029912,0.000285044,0.000154366,0.000292587,0.000283759,0.00019355,0.000182782,0.000225726,0.000192198,0.000219753,0.000196599,0.000286244,0.000229806,0.000114292
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.000479619,0.000558415,0.000502993,0.000403854,0.000563277,0.000587221,0.000575435,0.00059351,0.000537545,0.000597291,0.000506486,0.00062085,0.000408193,0.000434089,0.00053402,0.000590766,0.000569504,0.000493367,0.000590963,0.000464235,0.000421651,0.00050635,0.000522355,0.000618812,0.00057352,0.000571496,0.000563122,0.00049879,0.000656283,0.000550564,0.000608645,0.000555225,0.000563705,0.000500649,0.000475216,0.000665524,0.000606461,0.000500222,0.000588921,0.000558615,0.000508988,0.00055039,0.0005968,0.000524197,0.000483322,0.000555746,0.000580593,0.000456834,0.000595108,0.000504218,0.00069335,0.00055214,0.000512822,0.000700829,0.000570685,0.000511683,0.000576896,0.000541344
