"","ERR688505_500K_merged_Abundance","ERR688506_500K_merged_Abundance","ERR688507_500K_merged_Abundance","ERR688508_500K_merged_Abundance","ERR688509_500K_merged_Abundance","ERR688510_500K_merged_Abundance","ERR688511_500K_merged_Abundance","ERR688512_500K_merged_Abundance","ERR688513_500K_merged_Abundance","ERR688514_500K_merged_Abundance","ERR688515_500K_merged_Abundance","ERR688516_500K_merged_Abundance","ERR688517_500K_merged_Abundance","ERR688518_500K_merged_Abundance","ERR688519_500K_merged_Abundance","ERR688520_500K_merged_Abundance","ERR688521_500K_merged_Abundance","ERR688522_500K_merged_Abundance","ERR688523_500K_merged_Abundance","ERR688524_500K_merged_Abundance","ERR688525_500K_merged_Abundance","ERR688526_500K_merged_Abundance","ERR688527_500K_merged_Abundance","ERR688528_500K_merged_Abundance","ERR688529_500K_merged_Abundance","ERR688530_500K_merged_Abundance","ERR688531_500K_merged_Abundance","ERR688532_500K_merged_Abundance","ERR688533_500K_merged_Abundance","ERR688534_500K_merged_Abundance","ERR688535_500K_merged_Abundance","ERR688536_500K_merged_Abundance","ERR688537_500K_merged_Abundance","ERR688538_500K_merged_Abundance","ERR688539_500K_merged_Abundance","ERR688540_500K_merged_Abundance","ERR688541_500K_merged_Abundance","ERR688542_500K_merged_Abundance","ERR688543_500K_merged_Abundance","ERR688544_500K_merged_Abundance","ERR688545_500K_merged_Abundance","ERR688546_500K_merged_Abundance","ERR688547_500K_merged_Abundance","ERR688548_500K_merged_Abundance","ERR688549_500K_merged_Abundance","ERR688550_500K_merged_Abundance","ERR688551_500K_merged_Abundance","ERR688552_500K_merged_Abundance","ERR688553_500K_merged_Abundance","ERR688554_500K_merged_Abundance","ERR688555_500K_merged_Abundance","ERR688556_500K_merged_Abundance","ERR688557_500K_merged_Abundance","ERR688558_500K_merged_Abundance","ERR688559_500K_merged_Abundance","ERR688560_500K_merged_Abundance","ERR688561_500K_merged_Abundance","ERR688562_500K_merged_Abundance","ERR688563_500K_merged_Abundance","ERR688564_500K_merged_Abundance","ERR688565_500K_merged_Abundance","ERR688566_500K_merged_Abundance","ERR688567_500K_merged_Abundance","ERR688568_500K_merged_Abundance","ERR688569_500K_merged_Abundance","ERR688570_500K_merged_Abundance","ERR688571_500K_merged_Abundance","ERR688572_500K_merged_Abundance","ERR688573_500K_merged_Abundance","ERR688574_500K_merged_Abundance","ERR688575_500K_merged_Abundance","ERR688576_500K_merged_Abundance","ERR688577_500K_merged_Abundance","ERR688578_500K_merged_Abundance","ERR688579_500K_merged_Abundance","ERR688580_500K_merged_Abundance","ERR688581_500K_merged_Abundance","ERR688582_500K_merged_Abundance","ERR688583_500K_merged_Abundance","ERR688584_500K_merged_Abundance","ERR688585_500K_merged_Abundance","ERR688586_500K_merged_Abundance","ERR688587_500K_merged_Abundance","ERR688588_500K_merged_Abundance","ERR688589_500K_merged_Abundance","ERR688590_500K_merged_Abundance","ERR688591_500K_merged_Abundance","ERR688592_500K_merged_Abundance","ERR688593_500K_merged_Abundance","ERR688594_500K_merged_Abundance","ERR688595_500K_merged_Abundance","ERR688596_500K_merged_Abundance","ERR688597_500K_merged_Abundance","ERR688598_500K_merged_Abundance","ERR688599_500K_merged_Abundance","ERR688600_500K_merged_Abundance","ERR688601_500K_merged_Abundance","ERR688602_500K_merged_Abundance","ERR688603_500K_merged_Abundance","ERR688604_500K_merged_Abundance","ERR688605_500K_merged_Abundance","ERR688606_500K_merged_Abundance","ERR688607_500K_merged_Abundance","ERR688608_500K_merged_Abundance","ERR688609_500K_merged_Abundance","ERR688610_500K_merged_Abundance","ERR688611_500K_merged_Abundance","ERR688612_500K_merged_Abundance","ERR688613_500K_merged_Abundance","ERR688614_500K_merged_Abundance","ERR688615_500K_merged_Abundance","ERR688616_500K_merged_Abundance","ERR688617_500K_merged_Abundance","ERR688618_500K_merged_Abundance","ERR688619_500K_merged_Abundance","ERR688620_500K_merged_Abundance","ERR688621_500K_merged_Abundance","ERR688622_500K_merged_Abundance","ERR688623_500K_merged_Abundance","ERR688624_500K_merged_Abundance","ERR688625_500K_merged_Abundance","ERR688626_500K_merged_Abundance","ERR688627_500K_merged_Abundance","ERR688628_500K_merged_Abundance","ERR688629_500K_merged_Abundance","ERR688630_500K_merged_Abundance","ERR688631_500K_merged_Abundance","ERR688632_500K_merged_Abundance","ERR688633_500K_merged_Abundance","ERR688634_500K_merged_Abundance","ERR688635_500K_merged_Abundance","ERR688636_500K_merged_Abundance","ERR688637_500K_merged_Abundance","ERR688638_500K_merged_Abundance","ERR688639_500K_merged_Abundance","ERR688640_500K_merged_Abundance","ERR688641_500K_merged_Abundance","ERR688642_500K_merged_Abundance","ERR688643_500K_merged_Abundance","ERR688644_500K_merged_Abundance","ERR688645_500K_merged_Abundance","ERR688646_500K_merged_Abundance","ERR688647_500K_merged_Abundance","ERR688648_500K_merged_Abundance","ERR688649_500K_merged_Abundance","ERR688650_500K_merged_Abundance","ERR688651_500K_merged_Abundance","ERR710424_500K_merged_Abundance","ERR710425_500K_merged_Abundance","ERR710426_500K_merged_Abundance","ERR710427_500K_merged_Abundance","ERR710428_500K_merged_Abundance","ERR710429_500K_merged_Abundance","ERR710430_500K_merged_Abundance","ERR710431_500K_merged_Abundance","ERR710432_500K_merged_Abundance"
"UNMAPPED",0.452468,0.56039,0.472405,0.488663,0.45737,0.340651,0.345959,0.358975,0.189926,0.544875,0.59851,0.42283,0.640414,0.383048,0.362644,0.446463,0.379555,0.383606,0.538924,0.582625,0.594083,0.438,0.588347,0.612058,0.574347,0.430949,0.262245,0.30179,0.460841,0.142412,0.396809,0.422891,0.303285,0.399708,0.327044,0.551484,0.329669,0.368915,0.296632,0.492211,0.523302,0.483822,0.546579,0.276284,0.358093,0.352369,0.536481,0.434561,0.581351,0.278611,0.46202,0.486201,0.211306,0.526805,0.521321,0.164108,0.221274,0.231923,0.325832,0.507994,0.634159,0.341749,0.47409,0.395593,0.554398,0.400585,0.372727,0.369347,0.437194,0.551538,0.539635,0.568579,0.403817,0.505222,0.641269,0.285624,0.501008,0.623631,0.35372,0.319494,0.477536,0.52227,0.354795,0.270276,0.529525,0.577139,0.29851,0.531533,0.541319,0.255748,0.262067,0.448397,0.522082,0.310097,0.351718,0.576646,0.414724,0.340949,0.392214,0.521489,0.437127,0.336623,0.344113,0.491078,0.530044,0.65749,0.552055,0.343276,0.432119,0.625012,0.273228,0.376778,0.378882,0.541456,0.508053,0.357394,0.346015,0.495888,0.465149,0.503843,0.442028,0.633953,0.619901,0.455026,0.447483,0.62028,0.224324,0.254059,0.567765,0.608105,0.64844,0.430023,0.369758,0.0819884,0.513194,0.370094,0.381715,0.467957,0.296317,0.421512,0.330609,0.4611,0.4893,0.179559,0.469343,0.402087,0.496852,0.538051,0.402857,0.437254,0.533205,0.508664,0.506547,0.394849,0.505932,0.554206
"UNINTEGRATED",0.511157,0.415527,0.495274,0.485474,0.504202,0.613549,0.605598,0.596126,0.740075,0.428596,0.381257,0.531573,0.342806,0.57615,0.587495,0.516086,0.578183,0.575559,0.429778,0.399499,0.384483,0.525387,0.393945,0.371675,0.408102,0.528714,0.6796,0.644065,0.501406,0.783949,0.556969,0.540004,0.647712,0.561043,0.627417,0.420322,0.625871,0.589554,0.649076,0.485668,0.447039,0.481652,0.426854,0.662678,0.601476,0.60423,0.44389,0.524413,0.392644,0.66588,0.499151,0.480718,0.72535,0.44583,0.447273,0.76191,0.733855,0.703947,0.625237,0.45858,0.346537,0.612914,0.490459,0.57035,0.422653,0.565617,0.586272,0.590063,0.528162,0.425424,0.436179,0.408215,0.552037,0.471884,0.343936,0.651512,0.469164,0.364283,0.612683,0.628858,0.48325,0.454461,0.606884,0.678596,0.440069,0.398171,0.649498,0.438367,0.434633,0.687973,0.670984,0.512069,0.44965,0.639281,0.597021,0.407728,0.557228,0.617624,0.569063,0.450225,0.524657,0.6153,0.618893,0.47491,0.441388,0.325457,0.419135,0.600536,0.523888,0.361589,0.66505,0.571315,0.574492,0.432164,0.463017,0.598352,0.600031,0.47123,0.498423,0.469106,0.523262,0.349613,0.360454,0.50917,0.517358,0.361977,0.713629,0.678693,0.409355,0.372999,0.334811,0.538045,0.608212,0.847963,0.459757,0.575405,0.582798,0.50441,0.677875,0.548697,0.623586,0.509255,0.479172,0.78449,0.503604,0.567062,0.47369,0.438816,0.568487,0.537774,0.444036,0.467271,0.469992,0.567016,0.46909,0.42594
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1CMET2-PWY: folate transformations III (E. coli)",0.000319253,0.000146144,0.000236084,0.000382436,0.000322328,0.000327051,0.000309455,0.000444106,0.000310554,0.000241106,0.000162039,0.000270073,0.000183435,0.000378593,0.000426461,0.000261782,0.000368425,0.000332936,0.00031481,0.00018935,0.000222148,0.000298213,0.000212865,0,6.24055e-05,0.000333441,0.000490463,0.000336527,0.000286318,0.000213936,0.000400175,0.000304743,0.000465458,0.000374157,0.000547601,0.000266792,0.000249657,0.000350575,0.000243754,0.000285243,0.00023663,0.000381694,7.44105e-05,0.000194819,0.000317625,0.000339056,0.000178236,0.000443886,0.000205813,0.000488132,0.000259535,0.000221201,0.000314261,5.4926e-05,0.000168671,0.000221495,0.000260177,0.000347441,0.000399684,0.000232465,0.000213285,0.000398864,0.000274468,0.000287632,0.000229947,0.000129744,0.000289985,0.000263077,0.000267711,0.000223059,0.000248713,0.000203887,0.000220948,0.0002087,0.000119135,0.000298922,0.000245441,0,0.000141366,0.000427766,0.000184941,0.000274743,0.000346142,0.000416309,0.000250334,0.000162574,0.000440255,0.000187335,0.000114255,0.000486421,0.000227464,0.000334526,0.000295529,0.000320848,0.000489038,9.10638e-05,0.000204881,0.000395385,0.000322611,0.000197176,0.000164192,0.000413622,0.000407882,0.000284175,0.000278542,0.00011516,0.000229832,0.000289269,0.000155911,0.000143661,0.000558266,0.000327914,0.000316881,0.000110032,0.00022658,0.000362077,0.0003314,0.000292397,0.000301107,0.000242543,0.00031921,6.34561e-05,0.000185636,0.000366125,0.000336769,0.00023376,0.000394754,0.000234666,0.000168095,8.21983e-05,0.000116377,0.00034316,0.000174146,0.000181392,0.000233028,0.000237111,0.000402443,0.000272301,0.000184904,0.000341561,0.000337503,0.000306402,0.000188788,0.000531823,0.000183535,0.000380111,0.000231602,0.000161954,0.000372494,0.000283697,0.000172757,0.000203777,0.000195557,0.000398971,0.000228638,7.25712e-05
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",0,0,0,0,0,0,0,0,5.58069e-05,0,0,3.78783e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8371e-05,0,0,0,0,0,0,0,0,4.15869e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98394e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.50715e-05,0,0,0,0,0,0,4.3601e-05,0,0,5.57435e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02487e-05,0,0,0,0,0,0,0,0,3.24512e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5905e-05,0,3.00708e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEROBACTINSYN-PWY: aerobactin biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73751e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALL-CHORISMATE-PWY: superpathway of chorismate metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",0,0,0,0,0,0,0,0,5.46951e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18947e-05,0,0,0,0,0,0,0,0,0,0,0,6.64585e-05,0,0,0,0,0,0,0,0,0,5.13743e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.80502e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14991e-05,0,0,0,0,0,0,0,0,0,0,1.7954e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANAEROFRUCAT-PWY: homolactic fermentation",0.00026032,0.000204464,0,0.000147564,0.000129958,0.000243501,0.0003225,0.000258713,0.000321036,0,0.000116436,0.000266782,4.99362e-05,0,0.000204669,0,0.000234809,0.00013094,0.000107599,9.35854e-05,0.000148037,0,0.000108811,0.000112024,7.76849e-05,0.000244947,0.000242648,0.000290625,0.000170513,0.000260125,0.000191753,0.000170825,0.000217571,0.000179065,0.000100332,0.000167655,0.000275627,0,0.000265456,0.000106007,0.000161451,0,0,0.000307217,0,0.000338736,8.77699e-05,0.000260844,0,0.000399059,0.000222313,0.000305849,0.000314113,0.000168977,0.000188483,0.000335534,6.49943e-05,0.000351737,7.2083e-05,0.000197249,9.37964e-05,0,0.000206105,0,0.000132187,0.000150392,0.000225649,0.000241324,0.000172164,0,6.0474e-05,9.78352e-05,0.000220374,0.000106843,8.89751e-05,0.000304676,0.000190332,0.00011115,0.000144738,0.000399485,0.000305865,8.02376e-05,0,0,0.000239005,0.00013442,0.000353211,0.000238293,0.000107078,0.000445809,0.000291239,0.000323717,9.54768e-05,0.000218889,0.000189306,8.81882e-05,0,0.000108159,0,0.000158019,0.000363547,0.000199259,0,0.000160645,0,0.000175326,0,0.00026583,0.000252815,0,0.000498167,0.00026021,0.000319929,0.000151079,0.000201045,0.000113403,0.000211044,0,0.000195382,8.46184e-05,0.000121873,8.81574e-05,7.45842e-05,0.000155437,0.000255384,0,0.000296147,0.000253362,0.00015779,0,0.000134509,0.000100385,0.00012292,0.000298186,0.000119118,0.000314384,0.000118865,0.000181953,0.000115732,0.000132815,0.000247368,6.77705e-05,0.000203946,0,0.000199088,0.000112551,9.79847e-05,4.73488e-05,9.90985e-05,9.69526e-05,0,0.00011593,0,0.000252945,0.000105164,8.33432e-05
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.000419731,0.00031644,0.000474188,0.000232784,0.000478966,0.000502762,0.000607515,0.000567423,0.00041636,0.000404507,0.000236112,0.000374533,0.000140478,0.000509794,0.000579658,0.000242311,0.000566463,0.000514479,0.000418157,0.000224624,0.000292389,0.000422564,0.000189375,0.000239304,0.000179534,0.000404167,0.000633368,0.000490088,0.000467348,0.000319242,0.000611557,0.000427589,0.000677942,0.000575378,0.000664909,0.000347594,0.000293964,0.000598044,0.000353022,0.000231685,0.000251608,0.000454867,0.000349792,0.000344102,0.000545348,0.000591371,0.000170765,0.000566635,0.00032733,0.000545137,0.000392855,0.000416443,0.000365358,0.000323242,0.000326605,0.000360875,0.000628678,0.000452152,0.000658484,0.000357186,0.000239004,0.000679202,0.000329227,0.000503226,0.000206461,0.000197951,0.000495776,0.000555085,0.000302087,0.0001987,0.000183195,0.000282101,0.000316652,0.000314687,0.000116928,0.000346462,0.00027269,0.000238795,0.000242266,0.00057149,0.000414269,0.000318776,0.00050711,0.000650245,0.000376017,0.00023162,0.000593627,0.00031305,0.000229561,0.000668979,0.000351821,0.000445187,0.000422148,0.000559692,0.000608148,0.000135188,0.000379544,0.00053338,0.000522191,0.000221384,0.000436477,0.000803504,0.000419168,0.000479576,0.00033811,0.000287739,0.000408632,0.000408145,0.000365246,0.000180903,0.000679941,0.000531484,0.000519132,0.00025208,0.000366118,0.000637745,0.000452765,0.000430866,0.000447107,0.00017538,0.00052427,0.000159899,0.000203335,0.000429298,0.000356696,0,0.000407483,0.00032313,0.00031857,0,0.000192263,0.000448408,0.000462788,0.000365252,0.000219575,0.000356202,0.00046283,0.000278817,0.000375058,0.000369267,0.000412147,0.000393706,0.000379987,0.000176357,0.000333627,0.000286411,0.000302273,6.94291e-05,0.000143422,0.00027251,0.00023114,0.000174254,0.000251309,0.000402,0.000377462,0.000124185
