"","SRR6915091_500K_merged_Abundance","SRR6915092_500K_merged_Abundance","SRR6915093_500K_merged_Abundance","SRR6915094_500K_merged_Abundance","SRR6915095_500K_merged_Abundance","SRR6915096_500K_merged_Abundance","SRR6915097_500K_merged_Abundance","SRR6915098_500K_merged_Abundance","SRR6915099_500K_merged_Abundance","SRR6915100_500K_merged_Abundance","SRR6915101_500K_merged_Abundance","SRR6915102_500K_merged_Abundance","SRR6915113_500K_merged_Abundance","SRR6915115_500K_merged_Abundance","SRR6915116_500K_merged_Abundance","SRR6915118_500K_merged_Abundance","SRR6915119_500K_merged_Abundance","SRR6915120_500K_merged_Abundance","SRR6915121_500K_merged_Abundance","SRR6915122_500K_merged_Abundance","SRR6915123_500K_merged_Abundance","SRR6915124_500K_merged_Abundance","SRR6915137_500K_merged_Abundance","SRR6915138_500K_merged_Abundance","SRR6915139_500K_merged_Abundance","SRR6915140_500K_merged_Abundance","SRR6915141_500K_merged_Abundance","SRR6915142_500K_merged_Abundance","SRR6915143_500K_merged_Abundance","SRR6915144_500K_merged_Abundance","SRR6915145_500K_merged_Abundance","SRR6915146_500K_merged_Abundance","SRR6915157_500K_merged_Abundance","SRR6915158_500K_merged_Abundance","SRR6915159_500K_merged_Abundance","SRR6915160_500K_merged_Abundance","SRR6915161_500K_merged_Abundance","SRR6915162_500K_merged_Abundance","SRR6915163_500K_merged_Abundance","SRR6915164_500K_merged_Abundance","SRR6915165_500K_merged_Abundance","SRR6915166_500K_merged_Abundance","SRR6915188_500K_merged_Abundance","SRR6915189_500K_merged_Abundance","SRR6915190_500K_merged_Abundance","SRR6915191_500K_merged_Abundance","SRR6915192_500K_merged_Abundance","SRR6915193_500K_merged_Abundance","SRR6915194_500K_merged_Abundance","SRR6915201_500K_merged_Abundance","SRR6915202_500K_merged_Abundance","SRR6915203_500K_merged_Abundance","SRR6915204_500K_merged_Abundance","SRR6915205_500K_merged_Abundance","SRR6915206_500K_merged_Abundance","SRR6915207_500K_merged_Abundance","SRR6915208_500K_merged_Abundance","SRR6915209_500K_merged_Abundance","SRR6915210_500K_merged_Abundance","SRR6915211_500K_merged_Abundance","SRR6915212_500K_merged_Abundance","SRR6915213_500K_merged_Abundance","SRR6915214_500K_merged_Abundance","SRR6915215_500K_merged_Abundance","SRR6915216_500K_merged_Abundance","SRR6915217_500K_merged_Abundance","SRR6915218_500K_merged_Abundance","SRR6915219_500K_merged_Abundance","SRR6915220_500K_merged_Abundance","SRR6915221_500K_merged_Abundance","SRR6915222_500K_merged_Abundance","SRR6915223_500K_merged_Abundance","SRR6915224_500K_merged_Abundance","SRR6915225_500K_merged_Abundance","SRR6915226_500K_merged_Abundance","SRR6915227_500K_merged_Abundance","SRR6915228_500K_merged_Abundance","SRR6915229_500K_merged_Abundance","SRR6915230_500K_merged_Abundance"
"UNMAPPED",0.249784,0.636219,0.347542,0.167685,0.0571174,0.131517,0.383683,0.124555,0.394546,0.255118,0.302617,0.339056,0.188707,0.288583,0.561112,0.21816,0.337856,0.362101,0.447946,0.337556,0.487209,0.465791,0.446928,0.311002,0.293964,0.313404,0.165809,0.373808,0.369627,0.491374,0.200427,0.244994,0.176476,0.233852,0.472088,0.156582,0.29757,0.339526,0.236438,0.395946,0.251956,0.510922,0.474022,0.352666,0.455212,0.19725,0.360677,0.34069,0.303147,0.342314,0.203832,0.389897,0.347459,0.433275,0.508533,0.450476,0.233129,0.424746,0.433239,0.572966,0.464093,0.281768,0.453877,0.400315,0.355276,0.423309,0.391994,0.147815,0.363941,0.277949,0.248684,0.369383,0.371179,0.254065,0.232201,0.385382,0.358121,0.396683,0.416888
"UNINTEGRATED",0.701522,0.344891,0.62344,0.771253,0.862432,0.782639,0.585325,0.789664,0.574294,0.716615,0.669263,0.621335,0.782444,0.681845,0.41695,0.754454,0.624536,0.608855,0.523807,0.626696,0.485361,0.509033,0.523071,0.652528,0.674866,0.649316,0.774479,0.597376,0.595094,0.485221,0.770597,0.706922,0.773441,0.742041,0.503626,0.797184,0.674842,0.627603,0.728508,0.570486,0.718547,0.467207,0.497959,0.614296,0.515613,0.774382,0.608691,0.626832,0.662008,0.608572,0.769604,0.579044,0.624097,0.536105,0.464952,0.520769,0.726712,0.547939,0.54191,0.410514,0.511947,0.675243,0.519355,0.564038,0.612998,0.544682,0.583966,0.777172,0.608639,0.672003,0.718519,0.607195,0.599963,0.686021,0.732908,0.584639,0.61719,0.574022,0.53578
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1CMET2-PWY: folate transformations III (E. coli)",0.00033556,0.000197761,0.000404039,0.000291797,0.000244414,0.000319494,0.000261152,0.000316852,0.000252437,0.000220202,0.000361062,0.000273292,0.000145882,0.000184594,0.000277072,0.000345119,0.000571267,0.000273412,0.000130106,0.000378508,0.000176308,0.000213271,0.000307034,0.000244948,0.000249815,0.000411813,0.00029029,0.000252807,0.000225996,0.000292242,0.00015333,0.00029833,0.000181879,0.000232783,0.000145041,0.000211428,0,0.000190156,0.000267509,0.000276012,7.95438e-05,0.000308394,0.000305431,0.000229424,0.00024099,0.000224304,0.000237469,0.000258124,0.000319811,0.000154332,0.000309016,0.000203309,0.000202816,0.000280489,0.000177434,0.000306608,0.000351306,0.000156208,0.000231349,0.000124653,0.000218044,0.000227047,0.000252889,0.000350308,0.000329242,0.000449436,0.00016512,0.000288563,0.00025432,0.00023337,0.000273889,0.000201079,0.000307683,0.000265357,0.000230863,8.38341e-05,0.000279083,0.000271354,8.60851e-05
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",1.10173e-05,0,0,0,9.72497e-05,0.00014531,0,9.99924e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49702e-05,0,0,0,0,0,0,0,0,0,0,0
"AEROBACTINSYN-PWY: aerobactin biosynthesis",0,0,0,3.79547e-05,0.000203205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90669e-05,4.15676e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24039e-05,0,0,0,0,0
"ALL-CHORISMATE-PWY: superpathway of chorismate metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49683e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANAEROFRUCAT-PWY: homolactic fermentation",0.000227055,0,6.84283e-05,0.000327999,0.000292043,0.000318106,0.000116457,0.00031797,9.15214e-05,0.000135141,7.21442e-05,0.00018139,0.000152846,0.000131165,9.22162e-05,0,0,0,0,9.69021e-05,0.000142686,9.71121e-05,0,0.000239547,6.84942e-05,0,0.000200383,5.33732e-05,0.000204071,8.11422e-05,0.000105571,0.00021208,0.000192592,0.000125734,7.01858e-05,0.000184976,0,6.58911e-05,0.000192801,8.26972e-05,0,7.37645e-05,8.57976e-05,0.000223381,0.000109218,0,0.000193159,9.46545e-05,0.000164442,0.000203299,4.87152e-05,0.000134371,8.00686e-05,0.00014489,9.44815e-05,0.000124711,0.000125007,0.000102723,8.77854e-05,7.23557e-05,0,0.000152364,6.31308e-05,0.000110288,0.000246027,0,0.000123143,0.000302538,0.000132577,0.000269366,0.000109845,0,8.42622e-05,0.000232647,7.6679e-05,0,6.02494e-05,7.86303e-05,0.000187088
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.000337564,0.000220239,0.000160281,0.000438306,0.000413644,0.000392817,0.000192129,0.000393258,0.000333741,0.000291671,0.000155389,0.000267736,0.000277967,0.000189422,0.000294138,0.000398555,0.000129046,0.000411536,0.000247955,0.000338644,0.000232061,0.00020625,0.000147455,0.000316644,0.000147556,0.000201739,0.000306781,0.000232159,0.000402661,0.000154177,0.000584543,0.000302763,0.000268093,0.000238709,0.000188858,0.000233348,0.000173675,0.000267908,0.000299123,0.000345441,0,0.000176553,0.000198643,0.000379161,0.000248195,0.000362442,0.000344745,0.000383131,0.000250521,0.000405958,7.86683e-05,0.000261331,0.000232712,0.000354108,0.000258427,0.000203966,0.00030809,0.000191559,0.00014962,0.000203501,0.000132741,0.000257946,0.000148672,0.000179718,0.000570795,0,0.000205727,0.000411846,0.000272908,0.000340418,0.000345106,0.000256258,0.000287795,0.000344034,0.000318545,0.000235953,0.000355276,0.000135445,0.000516579
