"","SRR6915103_500K_merged_Abundance","SRR6915104_500K_merged_Abundance","SRR6915105_500K_merged_Abundance","SRR6915106_500K_merged_Abundance","SRR6915107_500K_merged_Abundance","SRR6915108_500K_merged_Abundance","SRR6915109_500K_merged_Abundance","SRR6915110_500K_merged_Abundance","SRR6915111_500K_merged_Abundance","SRR6915112_500K_merged_Abundance","SRR6915114_500K_merged_Abundance","SRR6915117_500K_merged_Abundance","SRR6915125_500K_merged_Abundance","SRR6915126_500K_merged_Abundance","SRR6915127_500K_merged_Abundance","SRR6915128_500K_merged_Abundance","SRR6915129_500K_merged_Abundance","SRR6915130_500K_merged_Abundance","SRR6915131_500K_merged_Abundance","SRR6915132_500K_merged_Abundance","SRR6915133_500K_merged_Abundance","SRR6915134_500K_merged_Abundance","SRR6915135_500K_merged_Abundance","SRR6915136_500K_merged_Abundance","SRR6915147_500K_merged_Abundance","SRR6915149_500K_merged_Abundance","SRR6915150_500K_merged_Abundance","SRR6915151_500K_merged_Abundance","SRR6915152_500K_merged_Abundance","SRR6915153_500K_merged_Abundance","SRR6915155_500K_merged_Abundance","SRR6915156_500K_merged_Abundance","SRR6915167_500K_merged_Abundance","SRR6915168_500K_merged_Abundance","SRR6915169_500K_merged_Abundance","SRR6915170_500K_merged_Abundance","SRR6915171_500K_merged_Abundance","SRR6915172_500K_merged_Abundance","SRR6915173_500K_merged_Abundance","SRR6915174_500K_merged_Abundance","SRR6915175_500K_merged_Abundance","SRR6915176_500K_merged_Abundance","SRR6915177_500K_merged_Abundance","SRR6915178_500K_merged_Abundance","SRR6915179_500K_merged_Abundance","SRR6915180_500K_merged_Abundance","SRR6915181_500K_merged_Abundance","SRR6915182_500K_merged_Abundance","SRR6915183_500K_merged_Abundance","SRR6915184_500K_merged_Abundance","SRR6915185_500K_merged_Abundance","SRR6915186_500K_merged_Abundance","SRR6915195_500K_merged_Abundance","SRR6915196_500K_merged_Abundance","SRR6915197_500K_merged_Abundance","SRR6915198_500K_merged_Abundance","SRR6915199_500K_merged_Abundance","SRR6915200_500K_merged_Abundance"
"UNMAPPED",0.435677,0.39194,0.565602,0.293947,0.42513,0.461147,0.463921,0.496091,0.250887,0.459905,0.380128,0.434156,0.328186,0.38944,0.509735,0.490867,0.518223,0.60729,0.4411,0.476208,0.529051,0.428963,0.507819,0.481931,0.449327,0.570259,0.400868,0.53837,0.513024,0.511043,0.442838,0.521664,0.403735,0.597635,0.425635,0.437307,0.378315,0.352873,0.381503,0.448613,0.439381,0.349908,0.514427,0.424811,0.438003,0.419956,0.551455,0.44466,0.500662,0.426557,0.504723,0.341024,0.436737,0.400659,0.521781,0.452306,0.50477,0.408458
"UNINTEGRATED",0.535978,0.574057,0.412327,0.656755,0.545123,0.508846,0.502421,0.474437,0.706576,0.509576,0.588017,0.534662,0.631281,0.581888,0.463211,0.479564,0.454355,0.373684,0.527047,0.498539,0.448732,0.543647,0.467949,0.488956,0.523239,0.407349,0.565163,0.441528,0.457141,0.462121,0.521837,0.451216,0.562239,0.384151,0.544751,0.527393,0.584348,0.610224,0.585897,0.518191,0.535358,0.622855,0.459361,0.539207,0.530045,0.546586,0.424044,0.527778,0.470758,0.543254,0.465964,0.628526,0.535885,0.56269,0.453355,0.514669,0.469057,0.564039
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1CMET2-PWY: folate transformations III (E. coli)",0.00013836,0.0002853,6.82824e-05,0.000226288,0.00029896,0.000283356,0.000233813,0.000273826,0.000433373,0.000187994,0.00026754,0.000280278,0.000177001,0.000220493,0.000254027,0.000292962,0.000179486,0.000164475,0.000201034,0.00012406,0.000185323,0.000227236,0.000235539,0.000184761,0.000182383,0.000198483,0.000274235,9.389e-05,0.000236818,0.000245325,0.000210821,0.000192034,0.000269924,0.000203707,0.000277521,0.000304004,0.000348637,0.000272817,0.000314765,0.00025786,0.000244765,0.000171416,0.000266226,0.00031357,0.000199082,0.000279445,0.000201163,0.000197669,0.000221863,0.000283063,0.000307439,0.000253458,0.00020296,0.000322019,0.000254876,0.00026508,0.000238784,0.000177786
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEROBACTINSYN-PWY: aerobactin biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALL-CHORISMATE-PWY: superpathway of chorismate metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",0,0,0,0,0,0,0,0,0,0,0,0,2.3712e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANAEROFRUCAT-PWY: homolactic fermentation",0.000191566,0.000171821,0.000146521,0.000241255,0.000109644,0.000107013,0.000262907,0.000120027,0.000282304,0.000117881,0.000169687,7.25055e-05,0.000240734,0.000172513,0.000177573,9.51373e-05,0.000107112,0.000111281,0.000207079,0.000158612,0.000111538,0.000174895,9.39677e-05,0.000173299,0.000132885,0.000100563,0.000169742,0.000136639,0,9.3108e-05,0.000147819,0.000168933,0.000211653,0.000149382,0.00020885,5.0007e-05,0.000167973,0.000268205,0.000195632,8.07193e-05,0.0001104,0,0,0.000242592,0.000178306,0.000170797,0,0.000165559,0.000237063,0.000192813,8.63208e-05,0.000115063,8.07501e-05,0.000254197,9.37592e-05,0.000116738,9.24233e-05,7.73852e-05
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.000337085,0.000317774,0.000254084,0.000296672,0.000336968,0.00038358,0.000351498,0.000346661,0.000433582,0.000386784,0.000291138,0.000401693,0.000284266,0.000304461,0.000282417,0.000382893,0.000299981,0.000257798,0.000390651,0.000269882,0.000272297,0.000284397,0.000241224,0.000407772,0.000379037,0.000312075,0.000374856,0.000234534,0.000361886,0.000319198,0.000411108,0.00030604,0.000371985,0.000224508,0.000339649,0.000407465,0.000449315,0.0003611,0.000367833,0.000373288,0.000241856,0.000404244,0.000381552,0.000337096,0.000277451,0.000264892,0.000330222,0.000235074,0.000330001,0.000357151,0.000389025,0.000365578,0.000307513,0.000539151,0.000326487,0.000385917,0.000217798,0.000215441
