	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs
PHOSLIPSYN-PWY	3.163766563919286e-05	4.045184324022001e-05	0.00010731223667231334	0.00014264515151054033	0.00014165827065850195	5.931435934597978e-05	0.00016129155430570074	7.244521753588116e-05	4.975658290329457e-05
PWY-5981	3.9111491064035835e-05	3.213873451259044e-06	3.605352539629041e-05	3.625833608773434e-05	0.00012521938194445714	2.839209707539618e-05	0.0001557767147196335	5.70649208954298e-06	1.574659033191751e-05
PWY0-1319	6.137414301073719e-05	5.8721093211935155e-05	0.00016375489854614407	0.00013897278714978278	0.00012957152474484101	0.00010823395533370969	0.00015674979101978247	0.00010224975514861934	7.436879117015367e-05
PWY4FS-7	2.2369768475523232e-05	2.4768506646262295e-05	8.16836251147787e-05	0.00013251557722726828	0.00013875119273607474	4.5684882937080143e-05	0.00015443189840163362	7.705763364329256e-05	4.024829146269628e-05
COLANSYN-PWY	2.1492759118861843e-05	1.9787470490074016e-05	0.00011940346046994953	3.9476189555509364e-05	6.79604770078941e-05	4.0877887974287696e-05	6.964077584120731e-05	6.916550180333301e-05	3.424960216302286e-05
GLUCONEO-PWY	4.2772537078452875e-05	4.562292738713931e-05	0.0001276563707614986	0.00016571035240355245	0.00016346583798258318	5.273625658492911e-05	0.00017116855591160426	3.9977434926989355e-05	4.558741300319407e-05
PWY-7115	3.44329743481716e-06	5.085289940061872e-06	6.7062843590436995e-06	6.58114804559381e-05	7.805936601964452e-05	5.566050610422887e-06	6.058625832251165e-05	1.6517253672808868e-05	2.0335669652018015e-05
P163-PWY	3.69828336532003e-08	4.755876500133092e-08	4.8054947624918736e-08	4.511887183494592e-08	2.377956404448764e-08	4.782458616225456e-08	4.897523917840231e-08	5.03494915226955e-08	4.562622598588964e-08
1CMET2-PWY	6.411157626403925e-05	0.00013078760549843963	0.000148566537189038	0.00013188358344939783	0.00016505155896647935	9.725423156846357e-05	0.00016149282730219328	9.842764068407772e-05	7.89557862176946e-05
PWY-2201	4.2018781252837085e-05	4.1655168077682604e-05	7.824967157581192e-05	7.526714895369046e-05	8.194387150500369e-05	9.777591396165337e-05	0.0001261958214633009	9.866866938406181e-05	8.431784358635118e-05
PWY-3841	8.59241035372653e-05	0.00014694477614759225	0.00014453013647156747	0.00010606372157460483	0.00015145412462943343	0.0001431505666559697	0.00014852154394393835	0.0001229785696495302	8.482413443211957e-05
PWY-5345	7.743186783679385e-06	1.109230217505769e-05	0.00011787046964777596	0.00010185360175319538	0.00014831762625963085	1.368204298592877e-05	0.00017240972272567168	3.9140401604008405e-05	7.383475253879762e-06
PWY-821	2.497245760973574e-06	3.811757801661017e-06	8.693708844884354e-05	6.482923053026957e-05	9.705815242440649e-05	3.4496170906754346e-07	0.00011203957979774447	1.922553468237595e-05	9.55680511743546e-07
PWY1ZNC-1	3.1776056305273375e-06	5.117753604590591e-06	6.423445408935666e-05	9.147760004394202e-05	0.00016020679092436897	5.750942101705438e-06	0.00016545880714047287	1.7146923462292042e-05	2.8851181812350558e-06
SO4ASSIM-PWY	3.1776056305273375e-06	5.117753604590591e-06	9.225926500051162e-05	0.0001826514758787205	0.0002177267195572024	5.750942101705438e-06	0.00023921187571999722	2.5695971752535804e-05	2.8851181812350558e-06
