Reaction,EC,UniRef_families...
RXN66-81,1.14.13.8
PHENYLPYRUVATE-DECARBOXYLASE-RXN,4.1.1.43
RXN-18297,2.4.99.8
RXN-21341,1.3.1.114
RXN-15258,2.4.1.243
PUTRESCINE-N-METHYLTRANSFERASE-RXN,2.1.1.53
RXN-10471,1.11.1.8
PEPDEPHOS-RXN,2.7.1.40,UniRef90_A0A174ENK3,UniRef90_A0A1C5NMF0,UniRef90_A0A355L714,UniRef90_A0A3D3YM42,UniRef90_A0A3E2B1T8,UniRef90_E1WRK2,UniRef90_R5B6C0
1.14.13.59-RXN,1.14.13.59
RXN-19010,2.4.1.86
CYPRIDINA-LUCIFERIN-2-MONOOXYGENASE-RXN,1.13.12.6
RXN-14822,1.14.11.44
GALACTITOL-2-DEHYDROGENASE-RXN,1.1.1.16
3.1.4.43-RXN,3.1.4.43
RXN-10907,1.4.3.4
GLYOXII-RXN,3.1.2.6,UniRef90_A0A0X1U8C6,UniRef90_B0MTT9,UniRef90_R5AXW6
PGLUCISOM-RXN,5.3.1.9,UniRef90_A0A2G6GPJ9,UniRef90_A0A380FEV4,UniRef90_A0A3D3YKM5,UniRef90_A6L7P7,UniRef90_A8AUL5,UniRef90_B4U0D8,UniRef90_D4INE6,UniRef90_I3YMR8,UniRef90_Q042K0,UniRef90_Q8A5W2,UniRef90_R5B0B1
RXN-17678,1.1.1.219
RXN-12626,3.2.1.52,UniRef90_A0A0P0M3Y6,UniRef90_A0A173XP45,UniRef90_A0A173YV47,UniRef90_A0A174C481,UniRef90_A0A174CSA0,UniRef90_A0A174CSD6,UniRef90_A0A174GLK0,UniRef90_A0A174H2K0,UniRef90_A0A174HCV6,UniRef90_A0A174ICF1,UniRef90_A0A174MVW0,UniRef90_A0A174NM61,UniRef90_A0A174QZY5,UniRef90_A0A174UCT7,UniRef90_A0A373ZTA8,UniRef90_A0A395W5Z4,UniRef90_A0A415KKC7,UniRef90_B7B7I4,UniRef90_D4IK38,UniRef90_D4VEY3,UniRef90_D6CY43,UniRef90_D6D415,UniRef90_I3YHK0,UniRef90_I3YKE4,UniRef90_I3YL03,UniRef90_I3YLN2,UniRef90_R5AYS5,UniRef90_R5B303,UniRef90_R5UDN8
RXN66-14,1.3.1.70
1.1.1.197-RXN,1.1.1.197
RXN-15676,1.14.15.31
RXN-13426,1.14.19.3
RXN-15011,2.4.2.58
RXN-1103,1.14.14.96
RXNQT-4166,2.3.3.17
RXN-4282,1.3.1.72
RXN-13264,6.2.1.47
RXN-11555,2.8.2.35
RXNQT-4321,4.4.1.13
RXN-21675,3.1.2.14
RXN-21672,1.3.1.9,UniRef90_A0A0N7IFV8,UniRef90_A0A0P0EVM1,UniRef90_A0A173WCD7,UniRef90_I3YMZ2,UniRef90_Q9FBC5
RXN-15515,2.7.7.88
2.7.7.1-RXN,2.7.7.1
RXN-15302,1.11.2.5
ALLOSE-KINASE-RXN,2.7.1.55
ALANINE-AMINOTRANSFERASE-RXN,2.6.1.2,UniRef90_A0A1I7G0J6,UniRef90_A0A3R3H3T9
RXN-2841,1.4.9.1
RXN-17688,2.3.1.23
RXN-21395,6.2.1.47
RXN-10707,1.3.3.6
RXN-12224,1.3.8.2
RXN-9536,1.1.1.100,UniRef90_A0A076IUR5,UniRef90_A0A0N7IAW6,UniRef90_A0A0N7IFU0,UniRef90_A0A0N7J7N2,UniRef90_A0A0P0GAC7,UniRef90_A0A139LLM8,UniRef90_A0A173WDN5,UniRef90_A0A174A1G6,UniRef90_A0A174AAQ5,UniRef90_A0A174B5G6,UniRef90_A0A1C6GM86,UniRef90_A0A1Q6FCP2,UniRef90_A0A3N2MCJ1,UniRef90_A0A3R6DPL5,UniRef90_B0MXU2,UniRef90_D4VP73,UniRef90_K5ZPH5,UniRef90_W4RHH8
RXN-7697,2.3.1.199
3.4.21.105-RXN,3.4.21.105,UniRef90_A0A174NK37,UniRef90_C9KRB0,UniRef90_UPI00101F041E
RXN66-362,5.3.3.1
1.2.1.13-RXN,1.2.1.13
ARGSUCCINSYN-RXN,6.3.4.5,UniRef90_A0A0N7IF66,UniRef90_A0A174DI39,UniRef90_A0A355IGI2,UniRef90_A0A3D1PR73,UniRef90_P59846
RXN-14716,5.3.3.8
3.6.3.26-RXN,7.3.2.4
RXN-17412,1.1.1.392
RXN66-482,1.3.1.38
1.14.11.2-RXN,1.14.11.2
RXN-14138,1.7.1.14
GALACTOLIPASE-RXN,3.1.1.26
RXN-14951,5.4.4.7
RXN-11619,1.2.1.94
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN,5.1.3.15
RXN-12721,1.8.4.9
325-BISPHOSPHATE-NUCLEOTIDASE-RXN,3.1.3.7,UniRef90_A0A1C7GY57,UniRef90_A0A1H4F764,UniRef90_A0A3D3YJR5,UniRef90_D4ILJ7,UniRef90_E4MEV7
RXN-6562,3.5.1.3
ACETOOHBUTSYN-RXN,2.2.1.6,UniRef90_A0A0P0FB50,UniRef90_A0A0P0FLU4,UniRef90_A0A0P0M2N0,UniRef90_A0A174L778,UniRef90_A0A174WUT5,UniRef90_A0A1C6E6N4,UniRef90_A0A1E3ACY8,UniRef90_A0A1V5PPX5,UniRef90_A0A2V2GR48,UniRef90_A0A373ZX14,UniRef90_D4IKC2,UniRef90_E4MDL0,UniRef90_E4MDL1,UniRef90_F5T3X0,UniRef90_R5BA67,UniRef90_UPI0005CC4FFD,UniRef90_W0U9H7
3.4.21.76-RXN,3.4.21.76
BETA-UREIDOPROPIONASE-RXN,3.5.1.6
RXN-18604,7.1.1.8
4.1.1.75-RXN,4.1.1.75
RXN-7774,4.1.1.71
RXN-20669,3.6.1.58
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN,1.2.1.25
DHLBXANAU-RXN,3.8.1.3
2.4.1.133-RXN,2.4.1.133
